table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_hhs_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12710,r001,All institutions,All institutions,,1,-,"['33,097,927', '']","['194,801', '']","['59,854', '']","['28,903,440', '']","['73,821', '']","['729,009', '']","['713,565', '']","['505,495', '']","['137,975', '']","['1,346,015', '']","['433,952', '']"
12710,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['919,852', '']","['16,143', '']","['5,652', '']","['816,245', '']","['623', '']","['6,108', '']","['6,311', '']","['1,890', '']","['0', '']","['66,608', '']","['272', '']"
12710,r003,All institutions -> Duke U.,All institutions,Duke U.,2,2,"['833,339', '']","['1,864', '']","['0', '']","['758,843', '']","['1,397', '']","['4,647', '']","['6,731', '']","['19,835', '']","['0', '']","['39,979', '']","['43', '']"
12710,r004,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,3,"['795,553', '']","['0', '']","['0', '']","['765,476', '']","['0', '']","['30,077', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12710,r005,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,4,"['784,145', '']","['732', '']","['0', '']","['733,734', '']","['1,790', '']","['10,982', '']","['6,059', '']","['4,750', '']","['0', '']","['20,738', '']","['5,360', '']"
12710,r006,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,5,"['777,420', '']","['2,313', '']","['7,863', '']","['722,640', '']","['1,451', '']","['5,168', '']","['13,250', '']","['842', '']","['1,381', '']","['20,875', '']","['1,637', '']"
12710,r007,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,6,"['770,184', '']","['1,458', '']","['1,862', '']","['685,712', '']","['1,414', '']","['13,730', '']","['6,905', '']","['3,068', '']","['0', '']","['36,369', '']","['19,666', '']"
12710,r008,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,7,"['766,707', '']","['609', '']","['473', '']","['710,903', '']","['16', '']","['6,211', '']","['2,264', '']","['315', '']","['0', '']","['26,233', '']","['19,683', '']"
12710,r009,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,8,"['729,970', '']","['15,860', '']","['2,543', '']","['631,640', '']","['863', '']","['9,296', '']","['14,133', '']","['20,163', '']","['0', '']","['14,028', '']","['21,444', '']"
12710,r010,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,9,"['728,763', '']","['3,206', '']","['249', '']","['594,626', '']","['1,280', '']","['11,051', '']","['6,873', '']","['81,047', '']","['0', '']","['27,163', '']","['3,268', '']"
12710,r011,All institutions -> Stanford U.,All institutions,Stanford U.,2,10,"['712,159', '']","['658', '']","['313', '']","['652,803', '']","['1,192', '']","['22,662', '']","['8,539', '']","['994', '']","['0', '']","['24,610', '']","['388', '']"
12710,r012,All institutions -> New York U.,All institutions,New York U.,2,11,"['696,483', '']","['1,788', '']","['0', '']","['654,950', '']","['1,274', '']","['5,277', '']","['18,783', '']","['1,705', '']","['0', '']","['2,549', '']","['10,157', '']"
12710,r013,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,12,"['689,724', '']","['313', '']","['0', '']","['633,138', '']","['22', '']","['12,118', '']","['6,681', '']","['40', '']","['0', '']","['12,738', '']","['24,674', '']"
12710,r014,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,13,"['688,073', '']","['805', '']","['4,078', '']","['602,838', '']","['0', '']","['23,414', '']","['7,283', '']","['34', '']","['0', '']","['32,999', '']","['16,622', '']"
12710,r015,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,14,"['652,981', '']","['1,333', '']","['28', '']","['604,928', '']","['434', '']","['9,439', '']","['12,085', '']","['6,472', '']","['3,365', '']","['11,481', '']","['3,416', '']"
12710,r016,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,15,"['647,384', '']","['532', '']","['0', '']","['598,701', '']","['39', '']","['11,362', '']","['8,722', '']","['71', '']","['0', '']","['21,255', '']","['6,702', '']"
12710,r017,All institutions -> Yale U.,All institutions,Yale U.,2,16,"['639,636', '']","['165', '']","['0', '']","['614,818', '']","['155', '']","['8,238', '']","['5,728', '']","['1,726', '']","['0', '']","['8,806', '']","['0', '']"
12710,r018,All institutions -> Emory U.,All institutions,Emory U.,2,17,"['630,229', '']","['1,347', '']","['1,391', '']","['600,930', '']","['149', '']","['7,308', '']","['3,387', '']","['579', '']","['0', '']","['14,540', '']","['598', '']"
12710,r019,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,18,"['629,952', '']","['0', '']","['0', '']","['629,952', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
