table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_personnel_functions_personnel,field_all_personnel_functions_ftes,field_researchers_personnel,field_researchers_ftes,field_r_d_technicians_personnel,field_r_d_technicians_ftes,field_r_d_support_staff_personnel,field_r_d_support_staff_ftes
10170,r001,United States,United States,,,,1,"['1,030,999', '']","['496,129.4', '']","['371,468', '']","['198,599.8', '']","['384,411', '']","['177,336.1', '']","['275,120', '']","['120,193.5', '']"
10170,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['290', '']","['112.7', 'i']","['46', '']","['21.1', 'i']","['135', '']","['54.6', 'i']","['109', '']","['37.0', 'i']"
10170,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['301', 'i']","['126.3', 'i']","['168', 'i']","['77.2', 'i']","['65', 'i']","['26.2', 'i']","['68', 'i']","['22.9', 'i']"
10170,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['4,202', 'i']","['1,710.7', 'i']","['1,389', 'i']","['638.5', 'i']","['1,804', 'i']","['729.7', 'i']","['1,009', 'i']","['342.5', 'i']"
10170,r007,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['38', '']","['17.5', '']","['17', '']","['8.5', '']","['14', '']","['7.3', '']","['7', '']","['1.7', '']"
10170,r008,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['9,811', '']","['6,671.0', '']","['4,264', '']","['2,899.0', '']","['3,953', '']","['2,688.0', '']","['1,594', '']","['1,084.0', '']"
10170,r009,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['1,463', '']","['632.3', 'i']","['832', '']","['382.4', 'i']","['548', '']","['221.7', 'i']","['83', '']","['28.2', 'i']"
10170,r010,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['2,912', '']","['1,188.6', '']","['1,314', '']","['562.8', '']","['1,482', '']","['568.2', '']","['116', '']","['57.6', '']"
10170,r011,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['594', '']","['248.2', 'i']","['175', '']","['80.4', 'i']","['393', '']","['159.0', 'i']","['26', '']","['8.8', 'i']"
10170,r012,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r013,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['20', '']","['19.0', '']","['20', '']","['6.0', '']","['0', '']","['10.0', '']","['0', '']","['3.0', '']"
10170,r014,United States -> Alaska,United States,Alaska,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r015,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10170,r016,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['442', 'i']","['164.8', 'i']","['76', 'i']","['35.1', 'i']","['86', 'i']","['34.7', 'i']","['280', 'i']","['95.0', 'i']"
