table_id,row_id,highest_degree_field_full_path,highest_degree_field_level_1,highest_degree_field_level_2,highest_degree_field_level_3,highest_degree_field_level_4,highest_degree_field_hierarchy_depth,field_total,field_asian_number,field_asian_percent,field_american_indian_or_alaska_native_number,field_american_indian_or_alaska_native_percent,field_black_or_african_american_number,field_black_or_african_american_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_white_number,field_white_percent,field_native_hawaiian_or_other_pacific_islander_number,field_native_hawaiian_or_other_pacific_islander_percent,field_more_than_one_race_number,field_more_than_one_race_percent
4410,r001,All S&E degrees,All S&E degrees,,,,1,15362,2457,16.0,35,0.2,1035,6.7,1453,9.5,10004,65.1,42,0.3,336,2.2
4410,r002,All S&E degrees -> Computer and mathematical sciences,All S&E degrees,Computer and mathematical sciences,,,2,2837,699,24.6,s,s,217,7.6,187,6.6,1657,58.4,11,0.4,64,2.3
4410,r003,All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences,All S&E degrees,Computer and mathematical sciences,Computer and information sciences,,3,2203,580,26.3,s,s,185,8.4,145,6.6,1235,56.0,s,s,55,2.5
4410,r004,"All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences -> Computer and information sciences, general",All S&E degrees,Computer and mathematical sciences,Computer and information sciences,"Computer and information sciences, general",4,350,100,28.7,s,s,45,12.7,37,10.6,157,44.9,s,s,10,3.0
4410,r005,All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences -> Computer sciences,All S&E degrees,Computer and mathematical sciences,Computer and information sciences,Computer sciences,4,1218,378,31.1,s,s,79,6.5,59,4.9,674,55.3,s,s,24,2.0
4410,r006,All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences -> Computer systems analysis,All S&E degrees,Computer and mathematical sciences,Computer and information sciences,Computer systems analysis,4,46,9,19.2,s,s,s,s,4,7.8,31,66.9,s,s,s,s
4410,r007,All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences -> Information services and systems,All S&E degrees,Computer and mathematical sciences,Computer and information sciences,Information services and systems,4,437,79,18.1,s,s,36,8.2,35,8.0,272,62.2,s,s,15,3.5
4410,r008,All S&E degrees -> Computer and mathematical sciences -> Computer and information sciences -> Other computer and information sciences,All S&E degrees,Computer and mathematical sciences,Computer and information sciences,Other computer and information sciences,4,152,13,8.6,s,s,22,14.5,10,6.5,102,66.7,s,s,5,3.6
4410,r009,All S&E degrees -> Computer and mathematical sciences -> Mathematics and statistics,All S&E degrees,Computer and mathematical sciences,Mathematics and statistics,,3,634,119,18.8,s,s,32,5.1,42,6.6,422,66.6,9,1.4,10,1.5
4410,r010,All S&E degrees -> Computer and mathematical sciences -> Mathematics and statistics -> Applied mathematics,All S&E degrees,Computer and mathematical sciences,Mathematics and statistics,Applied mathematics,4,76,17,22.7,s,s,s,s,11,13.9,43,56.3,s,s,s,s
4410,r011,"All S&E degrees -> Computer and mathematical sciences -> Mathematics and statistics -> Mathematics, general",All S&E degrees,Computer and mathematical sciences,Mathematics and statistics,"Mathematics, general",4,397,55,13.9,s,s,22,5.5,22,5.7,291,73.4,s,s,5,1.4
4410,r012,All S&E degrees -> Computer and mathematical sciences -> Mathematics and statistics -> Operations research,All S&E degrees,Computer and mathematical sciences,Mathematics and statistics,Operations research,4,42,7,16.7,s,s,s,s,1,3.0,33,77.5,s,s,s,s
4410,r013,All S&E degrees -> Computer and mathematical sciences -> Mathematics and statistics -> Statistics,All S&E degrees,Computer and mathematical sciences,Mathematics and statistics,Statistics,4,98,38,38.3,s,s,s,s,4,3.6,50,50.8,s,s,s,s
4410,r014,All S&E degrees -> Computer and mathematical sciences -> Mathematics and statistics -> Other mathematics,All S&E degrees,Computer and mathematical sciences,Mathematics and statistics,Other mathematics,4,21,2,9.6,s,s,s,s,s,s,5,26.2,s,s,s,s
4410,r015,"All S&E degrees -> Biological, agricultural, and environmental life sciences",All S&E degrees,"Biological, agricultural, and environmental life sciences",,,2,2437,347,14.2,3,0.1,133,5.5,216,8.9,1683,69.1,3,0.1,51,2.1
