table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
12341,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['NA', '&nbsp;']","['2,671', '&nbsp;']","['5,166', '&nbsp;']","['3,400', '&nbsp;']","['3,336', '&nbsp;']","['3,633', '&nbsp;']","['3,677', '&nbsp;']","['536 - 5,694', '  ']","['3,101', '  ']","['3,046', '&nbsp;']","['3,102', '&nbsp;']","['3,454', '  ']","['3,710', '  ']","['3,816', '  ']"
12341,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['NA', '&nbsp;']","['1,038', '&nbsp;']","['1,117', '&nbsp;']","['D', '&nbsp;']","['1,794', '&nbsp;']","['1,842', '&nbsp;']","['1,780', '&nbsp;']","['332 - 5,490', '  ']","['805', '  ']","['2,435', '&nbsp;']","['1,695', '&nbsp;']","['1,745', '  ']","['1,969', 'i ']","['2,032', '  ']"
12341,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['NA', '&nbsp;']","['D', '&nbsp;']","['2,049', '&nbsp;']","['D', '&nbsp;']","['1,966', 'i']","['2,042', 'i']","['3,405', '&nbsp;']","['0 - 5,157', '  ']","['1,864', '  ']","['1,782 - 1,797', '&nbsp;']","['2,272 - 2,297', '&nbsp;']","['1,173', '  ']","['1,279', '  ']","['1,344', '  ']"
12341,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['53,456', '&nbsp;']","['60,537', '&nbsp;']","['58,866', '&nbsp;']","['58,920', '&nbsp;']","['62,480', '&nbsp;']","['66,731', '&nbsp;']","['D', '&nbsp;']","['73,193', '  ']","['79,004', '  ']","['88,776', '&nbsp;']","['103,636', '&nbsp;']","['108,843', '  ']","['124,493', '  ']","['138,339', '  ']"
12341,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['NA', '&nbsp;']","['3,285', '&nbsp;']","['3,386', '&nbsp;']","['3,212', '&nbsp;']","['3,358', '&nbsp;']","['3,501', '&nbsp;']","['D', '&nbsp;']","['3,589', '  ']","['3,699', '  ']","['3,567', '&nbsp;']","['3,517', '&nbsp;']","['3,432', '  ']","['3,613', '  ']","['3,803', '  ']"
12341,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['NA', '&nbsp;']","['D', '&nbsp;']","['1,485', '&nbsp;']","['D', '&nbsp;']","['1,617', '&nbsp;']","['1,679', 'i']","['1,664', '&nbsp;']","['1,806 - 1,830', '  ']","['1,764', '  ']","['1,508 - 1,529', '&nbsp;']","['1,531 - 1,562', '&nbsp;']","['2,017', '  ']","['1,505', '  ']","['1,456', '  ']"
12341,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,982', '&nbsp;']","['2,515', '&nbsp;']","['2,640', '&nbsp;']","['4,446', '&nbsp;']","['4,576', '&nbsp;']","['4,519', '&nbsp;']","['2,906', '&nbsp;']","['4,583', '  ']","['4,626', '  ']","['3,170', '&nbsp;']","['3,348', '&nbsp;']","['3,143', '  ']","['3,750', '  ']","['4,151', '  ']"
12341,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,153', 'i']","['1,596', '&nbsp;']","['1,428', '&nbsp;']","['1,588', 'i']","['1,578', '&nbsp;']","['1,599', '&nbsp;']","['1,487', '&nbsp;']","['1,474', '  ']","['1,485', '  ']","['1,567', 'i']","['1,699', 'i']","['1,902', 'i ']","['1,730', '  ']","['1,623', '  ']"
12341,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['993', '&nbsp;']","['802', '&nbsp;']","['763', '&nbsp;']","['818', '&nbsp;']","['700', '&nbsp;']","['770', '&nbsp;']","['711', '&nbsp;']","['662', '  ']","['862', '  ']","['990', '&nbsp;']","['721 - 747', '&nbsp;']","['848', '  ']","['974', '  ']","['1,139', '  ']"
12341,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,174', '&nbsp;']","['1,818', '&nbsp;']","['1,993', '&nbsp;']","['1,949', 'i']","['2,303', 'i']","['2,329', '&nbsp;']","['2,467', 'i']","['2,273', '  ']","['2,405', '  ']","['2,533', '&nbsp;']","['3,144', '&nbsp;']","['3,739', '  ']","['4,423', '  ']","['3,757', '  ']"
12341,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['11,156', '&nbsp;']","['12,403', '&nbsp;']","['18,312', '&nbsp;']","['17,462', '&nbsp;']","['15,420', '&nbsp;']","['15,089', '&nbsp;']","['16,827', '&nbsp;']","['15,958', '  ']","['16,626', '  ']","['19,279', '&nbsp;']","['19,283', '&nbsp;']","['20,529', '  ']","['23,090', '  ']","['25,378', '  ']"
12341,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['NA', '&nbsp;']","['D', '&nbsp;']","['1,570', '&nbsp;']","['2,142', '&nbsp;']","['2,243', '&nbsp;']","['D', '&nbsp;']","['2,152', '&nbsp;']","['2,189', '  ']","['2,132', '  ']","['2,730', '&nbsp;']","['2,777', '&nbsp;']","['2,451', '  ']","['2,774', '  ']","['3,277', '  ']"
12341,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['NA', '&nbsp;']","['2,469', '&nbsp;']","['2,727', '&nbsp;']","['1,357', '&nbsp;']","['3,645', '&nbsp;']","['3,434', '&nbsp;']","['3,812', '&nbsp;']","['4,138', '  ']","['4,530', '  ']","['5,077', '&nbsp;']","['5,374', '&nbsp;']","['5,836', '  ']","['6,648', '  ']","['7,074', '  ']"
12341,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,795', '&nbsp;']","['2,894', '&nbsp;']","['2,920', '&nbsp;']","['2,484', '  ']","['2,577', '  ']","['3,418 - 3,440', '&nbsp;']","['1,780', '&nbsp;']","['2,211', '  ']","['1,920', '  ']","['4,097', '  ']"
12341,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['NA', '&nbsp;']","['6,566', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['7,736', '&nbsp;']","['D', '&nbsp;']","['7,943', '&nbsp;']","['7,147', '  ']","['7,387', '  ']","['8,030 - 8,057', '&nbsp;']","['9,352', '&nbsp;']","['10,031', '  ']","['11,748', '  ']","['10,930', '  ']"
12341,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['68,772', '&nbsp;']","['75,345', '&nbsp;']","['79,145', '&nbsp;']","['87,406', '&nbsp;']","['90,114', '&nbsp;']","['94,199', '&nbsp;']","['92,860', '&nbsp;']","['98,319', '  ']","['101,910', '  ']","['112,188', '&nbsp;']","['110,836', '&nbsp;']","['126,055', '  ']","['133,399', '  ']","['140,254', '  ']"
12341,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['NA', '&nbsp;']","['17,069', '&nbsp;']","['15,197', '&nbsp;']","['18,877', '&nbsp;']","['20,392', '&nbsp;']","['22,048', '&nbsp;']","['23,049', '&nbsp;']","['16,124', '  ']","['15,568', '  ']","['16,467', '&nbsp;']","['15,814', '&nbsp;']","['15,483', '  ']","['15,965', '  ']","['15,174', '  ']"
12341,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['26,082', '&nbsp;']","['29,354', '&nbsp;']","['32,146', '&nbsp;']","['38,300', '&nbsp;']","['40,611', '&nbsp;']","['42,028', '&nbsp;']","['40,348', '&nbsp;']","['41,789', '  ']","['41,362', '  ']","['45,795', '&nbsp;']","['48,175', 'i']","['56,207', '  ']","['64,684', '  ']","['71,114', '  ']"
12341,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['16,498', '&nbsp;']","['17,905', '&nbsp;']","['18,242', '&nbsp;']","['18,640', '&nbsp;']","['18,046', '&nbsp;']","['18,993', '&nbsp;']","['17,020', '&nbsp;']","['18,112', '  ']","['17,965', '  ']","['20,828', '&nbsp;']","['21,596', '&nbsp;']","['21,616', '  ']","['17,258', '  ']","['15,445', '  ']"
12341,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['NA', '&nbsp;']","['4,548', '&nbsp;']","['4,987', '&nbsp;']","['4,999', '&nbsp;']","['2,837', '&nbsp;']","['5,049', '&nbsp;']","['3,599', '&nbsp;']","['3,553', '  ']","['3,702', '  ']","['1,167 - 14,309', 'i']","['4,621', 'i']","['3,371', '  ']","['3,591', '  ']","['5,007', '  ']"
12341,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['NA', '&nbsp;']","['8,769', '&nbsp;']","['8,641', '&nbsp;']","['8,312', '&nbsp;']","['8,753', '&nbsp;']","['8,486', '&nbsp;']","['8,033', '&nbsp;']","['8,372', '  ']","['8,347', '  ']","['0 - 13,142', '&nbsp;']","['10,541', '&nbsp;']","['11,271', '  ']","['5,895', '  ']","['4,473', '  ']"
12341,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['NA', '&nbsp;']","['4,588', '&nbsp;']","['4,615', '&nbsp;']","['5,329', '&nbsp;']","['6,456', '&nbsp;']","['5,458', '&nbsp;']","['5,387', '&nbsp;']","['6,187', '  ']","['5,916', '  ']","['6,520', '&nbsp;']","['6,434', '&nbsp;']","['6,975', '  ']","['7,771', '  ']","['5,965', '  ']"
12341,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['NA', '&nbsp;']","['11,017', '&nbsp;']","['13,559', '&nbsp;']","['11,589', '&nbsp;']","['11,065', '&nbsp;']","['11,130', '&nbsp;']","['12,443', '&nbsp;']","['22,294', '  ']","['27,016', '  ']","['29,099', '&nbsp;']","['25,251', '&nbsp;']","['32,748', '  ']","['35,492', '  ']","['38,521', '  ']"
12341,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,475', '&nbsp;']","['4,767', '&nbsp;']","['5,319', '&nbsp;']","['4,140', '&nbsp;']","['5,738', '&nbsp;']","['5,705', '&nbsp;']","['5,710', '&nbsp;']","['6,207', '  ']","['6,154', '  ']","['6,179', '&nbsp;']","['7,025', '&nbsp;']","['6,864', '  ']","['7,320', '  ']","['8,661', '  ']"
12341,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['56,183', '&nbsp;']","['51,362', '&nbsp;']","['49,030', '&nbsp;']","['50,415', '&nbsp;']","['51,547', '&nbsp;']","['56,597', '&nbsp;']","['57,698', '&nbsp;']","['60,161', '  ']","['59,432', '  ']","['59,850', '&nbsp;']","['53,518', '&nbsp;']","['55,736', '  ']","['62,312', '  ']","['79,294', '  ']"
12341,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['NA', '&nbsp;']","['17,764', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['23,610', '&nbsp;']","['D', '&nbsp;']","['25,735', '&nbsp;']","['6,671 - 54,230', '  ']","['30,069', '  ']","['31,869 - 31,899', '&nbsp;']","['31,440', '&nbsp;']","['29,308', '  ']","['36,862', '  ']","['38,916', '  ']"
12341,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['36,409', '&nbsp;']","['31,627', '&nbsp;']","['26,858', '&nbsp;']","['D', '&nbsp;']","['25,684', '&nbsp;']","['D', '&nbsp;']","['29,113', '&nbsp;']","['3,240 - 50,799', '  ']","['26,189', '  ']","['25,006', '&nbsp;']","['18,943', 'i']","['23,453', '  ']","['22,313', 'i ']","['37,175', '  ']"
12341,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['27,463', '&nbsp;']","['1,812 - 49,371', '  ']","['24,666', '  ']","['23,683', '&nbsp;']","['17,476', 'i']","['21,791', '  ']","['20,671', 'i ']","['25,224', '  ']"
12341,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,425', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,649', 'i']","['1,428', 'i ']","['1,523', '  ']","['1,323', '&nbsp;']","['1,467', '&nbsp;']","['1,662', '  ']","['1,642', '  ']","['11,951', '  ']"
12341,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['NA', '&nbsp;']","['D', '&nbsp;']","['52', '&nbsp;']","['D', '&nbsp;']","['9', 'i']","['D', '&nbsp;']","['16', '&nbsp;']","['3 - 38', '  ']","['9', '  ']","['11', '&nbsp;']","['35', '&nbsp;']","['11', '  ']","['24', '  ']","['31', '  ']"
12341,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2,245', '&nbsp;']","['D', '&nbsp;']","['2,834', '&nbsp;']","['2,653 - 2,690', 'i ']","['3,164', '  ']","['2,936 - 2,961', '&nbsp;']","['3,100', '&nbsp;']","['2,964', '  ']","['3,113', '  ']","['3,172', '  ']"
12341,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['433', '&nbsp;']","['407', '&nbsp;']","['347', '&nbsp;']","['383', '&nbsp;']","['401', '&nbsp;']","['422', '&nbsp;']","['477', '&nbsp;']","['381', '  ']","['470', '  ']","['418 - 444', '&nbsp;']","['444', '&nbsp;']","['456', '  ']","['466', '  ']","['445', '  ']"
12341,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['NA', '&nbsp;']","['9,528', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['18,900', '&nbsp;']","['14,951', '&nbsp;']","['15,869', '&nbsp;']","['18,045', '  ']","['19,257', '  ']","['20,515', '&nbsp;']","['22,005', '&nbsp;']","['21,650 - 24,298', '  ']","['25,455', '  ']","['28,014', '  ']"
12341,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['NA', '&nbsp;']","['7,461', '&nbsp;']","['D', '&nbsp;']","['10,311', '&nbsp;']","['15,938', '&nbsp;']","['12,091', '&nbsp;']","['13,166', '&nbsp;']","['15,387 - 15,400', '  ']","['16,470', '  ']","['17,443', '&nbsp;']","['19,068', '&nbsp;']","['19,893', '  ']","['22,394', '  ']","['24,628', '  ']"
12341,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['NA', '&nbsp;']","['2,066', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2,962', '&nbsp;']","['2,860', '&nbsp;']","['2,703', 'i']","['2,646 - 2,657', 'i ']","['2,788', '  ']","['3,072', '&nbsp;']","['2,937', '&nbsp;']","['1,758 - 4,406', '  ']","['3,061', '  ']","['3,385', '  ']"
12341,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['99,713', '&nbsp;']","['94,840', '&nbsp;']","['105,669', '&nbsp;']","['113,220', '&nbsp;']","['120,242', '&nbsp;']","['130,682', '&nbsp;']","['141,279', '&nbsp;']","['154,547', '  ']","['170,574', '  ']","['204,293', '&nbsp;']","['246,779', '&nbsp;']","['273,240', '  ']","['332,646', '  ']","['384,253', '  ']"
12341,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['NA', '&nbsp;']","['2,785', '&nbsp;']","['2,597', '&nbsp;']","['D', '&nbsp;']","['4,452', '&nbsp;']","['D', '&nbsp;']","['4,348', '&nbsp;']","['3,604', '  ']","['3,647', '  ']","['1,990', '&nbsp;']","['3,306', '&nbsp;']","['1,290', 'i ']","['1,069', 'i ']","['1,008', 'i ']"
12341,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['NA', '&nbsp;']","['442', '&nbsp;']","['396', '&nbsp;']","['368', '&nbsp;']","['317', '&nbsp;']","['314', '&nbsp;']","['483', '&nbsp;']","['353', '  ']","['336', '  ']","['283', '&nbsp;']","['284', '&nbsp;']","['271', '  ']","['D', '  ']","['D', '  ']"
12341,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['NA', '&nbsp;']","['1,145', '&nbsp;']","['1,697', 'i']","['2,165', 'i']","['459', 'i']","['D', '&nbsp;']","['1,723', 'i']","['489', 'i ']","['0 - 12,105', '  ']","['883', 'i']","['1,298', '&nbsp;']","['1,098', '  ']","['1,852', 'i ']","['1,861', '  ']"
12341,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,845', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0 - 14,624', '  ']","['0 - 12,105', '  ']","['11,715 - 15,515', 'i']","['69 - 21,372', 'i']","['18,875 - 25,758', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']"
12341,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['NA', '&nbsp;']","['124', '&nbsp;']","['159', '&nbsp;']","['186', '&nbsp;']","['D', '&nbsp;']","['692', '&nbsp;']","['416', '&nbsp;']","['495', '  ']","['1,221', '  ']","['2,562', 'i']","['9,952', 'i']","['6,217', 'i ']","['7,281', '  ']","['9,516', '  ']"
12341,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['43,197', '&nbsp;']","['45,099', '&nbsp;']","['52,341', '&nbsp;']","['56,815', '&nbsp;']","['68,375', '&nbsp;']","['78,013', '&nbsp;']","['77,965', '&nbsp;']","['84,400', '  ']","['94,412', '  ']","['111,653', '&nbsp;']","['129,742', '&nbsp;']","['152,284', '  ']","['177,621', '  ']","['219,288', '  ']"
12341,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['33,171', '&nbsp;']","['33,883', '&nbsp;']","['36,310', '&nbsp;']","['36,947', '&nbsp;']","['43,821', '&nbsp;']","['46,806', '&nbsp;']","['42,190', '&nbsp;']","['42,156', '  ']","['42,368', '  ']","['39,890', '&nbsp;']","['39,918', '&nbsp;']","['42,677 - 42,710', '  ']","['49,218', '  ']","['62,697', '  ']"
12341,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['NA', '&nbsp;']","['826', '&nbsp;']","['401', '&nbsp;']","['221', 'i']","['348', 'i']","['92', 'i']","['107', 'i']","['84', 'i ']","['72', '  ']","['150', '&nbsp;']","['61', '&nbsp;']","['30 - 63', '  ']","['100', '  ']","['72', '  ']"
