table_id,row_id,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_full_path,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_1,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_2,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_3,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_4,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_5,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_6,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10112,r001,All institutions,All institutions,,,,,,1,,,,,,,,,,,,,
10112,r002,All institutions -> Number of institutions with clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,,,,,2,173,178,166,168,175,177,173,180,179,190,189,194,195
10112,r003,All institutions -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,,,,3,43587067,46154058,46182393,47418917,48723966,50430594,52864519,56008482,60122411,64855950,66902937,69659572,76975963
10112,r004,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,,4,1714192,1794605,1873001,1965214,2202132,2340220,2587395,2852132,3180148,3353337,3424231,3691698,4142673
10112,r005,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,,4,27502023,29715665,28976410,28789379,28198218,28177539,29009441,30367880,31974883,34781483,36094442,38583025,42963506
10112,r006,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,,5,705908,827470,851445,934697,978436,1023680,1069439,1128365,1248313,1417236,1433080,1726712,1892665
10112,r007,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,,4,16085044,16438393,17205983,18629538,20525748,22253055,23855078,25640602,28147528,30074467,30808495,31076547,34012457
10112,r008,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,,5,1008284,967135,1021556,1030517,1223696,1316540,1517956,1723767,1931835,1936101,1991151,1964986,2250008
10112,r009,All institutions -> Doctorate,All institutions,Doctorate,,,,,2,,,,,,,,,,,,,
10112,r010,All institutions -> Doctorate -> Number of institutions with clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,,,,3,147,150,150,153,158,162,158,166,167,177,179,181,183
10112,r011,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,,,4,43531732,46058907,46080033,47361367,48665453,50369223,52788285,55935168,60065299,64779841,66833097,69540915,76841870
10112,r012,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,1707121,1785054,1864766,1957251,2192744,2333744,2580786,2847006,3176169,3349337,3419355,3684688,4136504
10112,r013,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,27465906,29664114,28918557,28753249,28169821,28149627,28979577,30339888,31948946,34749034,36069100,38534189,42907174
10112,r014,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,701140,820906,844494,927428,970563,1018512,1064609,1123993,1245075,1414153,1429637,1721223,1887904
10112,r015,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,5,16065826,16394793,17161476,18608118,20495632,22219596,23808708,25595280,28116353,30030807,30763997,31006726,33934696
10112,r016,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,6,1005981,964148,1020272,1029823,1222181,1315232,1516177,1723013,1931094,1935184,1989718,1963465,2248600
10112,r017,All institutions -> Nondoctorate,All institutions,Nondoctorate,,,,,2,,,,,,,,,,,,,
10112,r018,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,,,,3,26,28,16,15,17,15,15,14,12,13,10,13,12
10112,r019,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,,,4,55335,95151,102360,57550,58513,61371,76234,73314,57112,76109,69840,118657,134093
10112,r020,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,7071,9551,8235,7963,9388,6476,6609,5126,3979,4000,4876,7010,6169
10112,r021,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,36117,51551,57853,36130,28397,27912,29864,27992,25937,32449,25342,48836,56332
10112,r022,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,4768,6564,6951,7269,7873,5168,4830,4372,3238,3083,3443,5489,4761
10112,r023,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,5,19218,43600,44507,21420,30116,33459,46370,45322,31175,43660,44498,69821,77761
10112,r024,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,6,2303,2987,1284,694,1515,1308,1779,754,741,917,1433,1521,1408
10112,r025,All institutions -> Public,All institutions,Public,,,,,2,,,,,,,,,,,,,
10112,r026,All institutions -> Public -> Number of institutions with clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,,,,3,100,101,96,99,105,110,106,110,113,123,123,124,123
10112,r027,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,,,4,27143937,29081518,28993617,29729578,30628443,31888357,33093010,34885172,37838586,40986027,42415108,43881084,48264210
10112,r028,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,578615,599545,633542,709484,754680,802260,946784,1070209,1209865,1291224,1416674,1561088,1737704
10112,r029,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,15921337,17253156,16779967,16780475,16373306,16420639,16971884,17696570,18755790,20552572,21362477,22578833,25286088
10112,r030,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,162213,204202,223816,244154,235678,245828,262305,264682,304152,387333,440614,577481,642691
10112,r031,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,5,11222600,11828362,12213650,12949103,14255137,15467718,16121126,17188602,19082796,20433455,21052631,21302251,22978122
10112,r032,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,6,416402,395343,409726,465330,519002,556432,684479,805527,905713,903891,976060,983607,1095013
10112,r033,All institutions -> Private,All institutions,Private,,,,,2,,,,,,,,,,,,,
10112,r034,All institutions -> Private -> Number of institutions with clinical trials R&D,All institutions,Private,Number of institutions with clinical trials R&D,,,,3,73,77,70,69,70,67,67,70,66,67,66,70,72
10112,r035,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,,,4,16443130,17072540,17188776,17689339,18095523,18542237,19771509,21123310,22283825,23869923,24487829,25778488,28711753
10112,r036,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,1135577,1195060,1239459,1255730,1447452,1537960,1640611,1781923,1970283,2062113,2007557,2130610,2404969
10112,r037,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,11580686,12462509,12196443,12008904,11824912,11756900,12037557,12671310,13219093,14228911,14731965,16004192,17677418
10112,r038,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,543695,623268,627629,690543,742758,777852,807134,863683,944161,1029903,992466,1149231,1249974
