table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_totala,field_u_s_citizen,field_temp_visa_holder,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_temp_visa_holder,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_temp_visa_holder,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_temp_visa_holder,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_temp_visa_holder,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_temp_visa_holder,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_temp_visa_holder,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_temp_visa_holder,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_temp_visa_holder
11739,r001,All doctorate recipients (number),All doctorate recipients (number),,,,1,52109,33702,18143,3255,1314,94,,3697,12570,2597,709,22255,3079,1283,120,335,,186,143
11739,r002,All doctorate recipients (number) -> Definite postdoctoral training plans,All doctorate recipients (number),Definite postdoctoral training plans,,,2,26.9,25.4,29.8,27.3,31.1,21.3,,24.8,30.2,17.5,22.4,25.9,30.0,32.0,,20.3,24.0,17.2,25.9
11739,r003,All doctorate recipients (number) -> Definite employment plans,All doctorate recipients (number),Definite employment plans,,,2,46.6,46.9,46.1,43.9,42.5,59.6,,44.8,46.7,53.4,46.4,47.1,44.7,41.9,,44.2,48.5,52.7,56.6
11739,r004,All doctorate recipients (number) -> Seeking employment or study,All doctorate recipients (number),Seeking employment or study,,,2,23.5,24.3,22.3,24.9,24.3,17.0,,25.2,21.7,25.1,28.8,24.0,22.7,21.9,25.8,28.7,,22.0,14.0
11739,r005,All doctorate recipients (number) -> Other status<sup>b</sup>,All doctorate recipients (number),Other status<sup>b</sup>,,,2,2.8,3.4,1.7,3.9,1.8,2.1,,5.1,1.4,3.9,1.8,2.8,2.4,4.1,1.7,6.9,,8.1,3.5
11739,r006,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup>,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,,,2,,,,,,,,,,,,,,,,,,,
11739,r007,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Academe,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Academe,,3,35.8,38.6,30.5,39.7,45.0,51.8,,28.7,26.6,38.9,37.7,39.9,38.1,39.8,55.3,38.5,,35.7,30.9
11739,r008,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Academe -> In tenure track faculty position (%),All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Academe,In tenure track faculty position (%),4,44.5,35.7,65.7,40.4,62.5,37.9,,47.9,67.8,39.0,66.1,33.1,61.0,37.4,73.1,38.6,,25.7,52.0
11739,r009,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Academe -> Not in tenure track position (%),All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Academe,Not in tenure track position (%),4,53.0,62.6,30.2,57.8,34.3,58.6,,50.4,28.7,58.4,32.3,65.3,33.3,60.3,23.1,56.1,,74.3,32.0
11739,r010,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Government,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Government,,3,7.0,9.2,3.0,9.4,5.9,8.9,,7.5,2.2,11.9,4.3,9.1,4.5,8.0,,6.8,,12.2,3.7
