table_id,row_id,_b_sex_and_financial_resource_b_full_path,_b_sex_and_financial_resource_b_level_1,_b_sex_and_financial_resource_b_level_2,_b_sex_and_financial_resource_b_level_3,_b_sex_and_financial_resource_b_level_4,_b_sex_and_financial_resource_b_hierarchy_depth,field_all_fields_number_,field_all_fields_percent_,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
11683,r001,All doctorate recipients reporting source of support,All doctorate recipients reporting source of support,,,,1,51181,100.0,80.0,2.2,17.3,3.9,18.5,2.2,4.6,3.6,3.0,9.6,6.2,8.9,20.0,2.5,6.7,5.7,1.4,3.7
11683,r002,All doctorate recipients reporting source of support -> Fellowship or scholarship,All doctorate recipients reporting source of support,Fellowship or scholarship,,,2,34305,100.0,79.4,2.2,18.6,3.2,17.1,2.4,4.1,3.4,2.9,8.9,5.8,10.7,20.6,2.7,5.1,7.1,1.9,3.8
11683,r003,All doctorate recipients reporting source of support -> Dissertation grant,All doctorate recipients reporting source of support,Dissertation grant,,,2,9385,100.0,70.3,2.2,14.2,1.4,9.0,2.1,5.3,1.4,2.2,4.5,8.0,20.0,29.7,2.4,5.4,12.6,3.2,6.1
11683,r004,All doctorate recipients reporting source of support -> Assistantship,All doctorate recipients reporting source of support,Assistantship,,,2,,,,,,,,,,,,,,,,,,,,
11683,r005,All doctorate recipients reporting source of support -> Assistantship -> Teaching,All doctorate recipients reporting source of support,Assistantship,Teaching,,3,35082,100.0,80.9,1.7,14.2,4.3,17.7,2.5,3.1,4.9,3.1,12.3,6.4,10.8,19.1,2.6,3.7,7.1,1.8,3.8
11683,r006,All doctorate recipients reporting source of support -> Assistantship -> Research,All doctorate recipients reporting source of support,Assistantship,Research,,3,35008,100.0,86.8,2.6,16.8,4.8,23.0,2.7,3.5,3.4,3.4,12.4,5.6,8.4,13.2,2.4,3.6,3.3,0.7,3.2
11683,r007,All doctorate recipients reporting source of support -> Assistantship -> Other,All doctorate recipients reporting source of support,Assistantship,Other,,3,4250,100.0,67.3,2.0,8.5,2.2,11.2,2.1,4.0,2.5,2.3,4.8,15.4,12.4,32.7,2.5,11.6,10.0,2.5,6.0
11683,r008,All doctorate recipients reporting source of support -> Traineeship,All doctorate recipients reporting source of support,Traineeship,,,2,2053,100.0,95.9,1.1,49.6,1.4,12.0,0.8,7.5,1.4,1.9,4.8,10.4,5.1,4.1,0.3,1.0,1.4,0.3,1.1
11683,r009,All doctorate recipients reporting source of support -> Internship or clinical residency,All doctorate recipients reporting source of support,Internship or clinical residency,,,2,6245,100.0,93.8,1.0,6.5,13.1,27.8,1.9,2.3,5.9,6.0,5.1,20.3,4.0,6.2,0.8,1.5,1.8,0.7,1.4
11683,r010,All doctorate recipients reporting source of support -> Loan (any source),All doctorate recipients reporting source of support,Loan (any source),,,2,10459,100.0,66.3,1.9,12.4,1.7,8.9,1.2,8.2,1.3,1.9,4.4,13.8,10.7,33.7,2.2,14.8,8.1,2.2,6.3
11683,r011,All doctorate recipients reporting source of support -> Personal sources,All doctorate recipients reporting source of support,Personal sources,,,2,,,,,,,,,,,,,,,,,,,,
11683,r012,All doctorate recipients reporting source of support -> Personal sources -> Savings,All doctorate recipients reporting source of support,Personal sources,Savings,,3,27389,100.0,76.2,2.2,17.0,3.4,15.2,2.0,5.3,3.0,2.9,7.3,7.9,10.0,23.8,3.0,8.4,6.3,1.7,4.4
11683,r013,All doctorate recipients reporting source of support -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support,Personal sources,Other earnings during graduate school,,3,15317,100.0,66.9,2.2,13.3,2.3,9.8,1.7,7.1,2.4,2.3,4.6,9.7,11.7,33.1,2.1,13.2,9.4,2.7,5.6
11683,r014,"All doctorate recipients reporting source of support -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support,"Spouse's, partner's, or family's earnings or savings",,,2,20751,100.0,76.4,1.9,17.5,3.1,15.2,2.0,5.2,2.9,2.7,7.3,8.9,9.7,23.6,3.0,7.6,6.9,1.8,4.3
11683,r015,All doctorate recipients reporting source of support -> Employer reimbursement or assistance,All doctorate recipients reporting source of support,Employer reimbursement or assistance,,,2,5229,100.0,67.4,2.2,12.9,4.0,13.2,2.1,9.7,2.6,2.7,5.4,5.1,7.4,32.6,3.0,18.2,5.5,0.8,5.2
11683,r016,All doctorate recipients reporting source of support -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support,Foreign (non-U.S.) support,,,2,2280,100.0,77.5,3.1,12.3,4.8,22.7,2.6,5.4,3.3,3.4,6.4,1.6,11.8,22.5,3.2,5.9,6.1,2.2,5.1
11683,r017,All doctorate recipients reporting source of support -> Other ,All doctorate recipients reporting source of support,Other ,,,2,553,100.0,71.4,2.4,14.3,4.3,8.7,2.2,8.5,2.2,3.4,5.2,10.3,9.9,28.6,3.6,10.3,6.7,2.4,5.6
11683,r018,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,,,2,26872,100.0,84.5,1.9,14.9,5.6,26.0,2.3,2.5,4.9,3.5,12.0,2.7,8.2,15.5,2.6,3.4,5.5,1.2,2.8
11683,r019,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Fellowship or scholarship,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Fellowship or scholarship,,3,17345,100.0,82.9,1.9,16.1,4.6,23.8,2.5,2.3,4.9,3.2,11.0,2.5,10.2,17.1,3.0,2.6,7.0,1.5,3.0
11683,r020,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Dissertation grant,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Dissertation grant,,3,3910,100.0,72.0,2.0,13.5,2.3,14.5,2.3,2.0,2.4,2.7,6.3,3.2,20.7,28.0,2.6,2.9,14.3,2.5,5.7
11683,r021,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Assistantship,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Assistantship,,3,,,,,,,,,,,,,,,,,,,,
