table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
2852,r001,All doctorate recipients (number)<sup>c</sup>,All doctorate recipients (number)<sup>c</sup>,,,,1,55703,12781,6585,4240,9071,10303,4635,5054,3034
2852,r002,All doctorate recipients (number)<sup>c</sup> -> Sex (%),All doctorate recipients (number)<sup>c</sup>,Sex (%),,,2,,,,,,,,,
2852,r003,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>c</sup>,Sex (%),Male,,3,54.1,45.5,66.3,74.2,40.5,76.0,30.7,49.1,46.6
2852,r004,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>c</sup>,Sex (%),Female,,3,45.9,54.5,33.6,25.8,59.5,24.0,69.3,50.9,53.4
2852,r005,All doctorate recipients (number)<sup>c</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Sex (%),Unknown,,3,0.05,0.05,0.1,0.05,0.0,0.05,0.0,0.05,0.0
2852,r006,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Citizenship (%),,,2,,,,,,,,,
2852,r007,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,63.3,70.8,59.3,42.1,74.1,41.3,83.0,78.9,56.7
2852,r008,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),Temporary visa holder,,3,32.9,26.6,37.8,54.5,21.1,55.2,13.3,16.4,36.5
2852,r009,All doctorate recipients (number)<sup>c</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Citizenship (%),Unknown,,3,3.7,2.5,3.0,3.4,4.8,3.6,3.7,4.7,6.8
2852,r010,All doctorate recipients (number)<sup>c</sup> -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Marital status (%),,,2,,,,,,,,,
2852,r011,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Never married,,3,36.2,37.0,48.1,43.3,31.6,43.2,19.2,28.7,25.0
2852,r012,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Married,,3,42.5,42.7,33.7,39.2,41.5,40.6,57.7,45.1,48.3
2852,r013,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Marriage-like relationship,,3,6.7,8.5,7.7,4.9,8.6,4.0,4.1,8.3,4.4
2852,r014,"All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Marital status (%),"Separated, divorced, widowed",,3,3.3,2.9,1.4,1.9,4.7,1.3,7.2,4.4,5.6
2852,r015,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Unknown,,3,11.3,8.8,9.2,10.8,13.6,11.0,11.9,13.5,16.6
2852,r016,All doctorate recipients (number)<sup>c</sup> -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Bachelor's in same field as doctorate (%)<sup>d</sup>,,,2,55.8,50.3,69.1,61.1,51.4,77.1,24.6,53.1,34.8
2852,r017,All doctorate recipients (number)<sup>c</sup> -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Master's earned (%),,,2,69.9,52.1,53.1,71.6,82.9,72.0,88.8,84.1,80.4
2852,r018,All doctorate recipients (number)<sup>c</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Age at doctorate (median years),,,2,31.5,31.0,29.5,30.3,32.4,30.1,38.3,34.2,34.9
2852,r019,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),,,2,,,,,,,,,
