table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_hierarchy_depth,field_occupation_stw,field_occupation_non_stw
1548,r001,Total,Total,,,1,13.5,86.5
1548,r002,Total -> Sex,Total,Sex,,2,,
1548,r003,Total -> Sex -> Male,Total,Sex,Male,3,18.0,82.0
1548,r004,Total -> Sex -> Female,Total,Sex,Female,3,7.0,93.0
1548,r005,Total -> Race or ethnicity<sup>a</sup>,Total,Race or ethnicity<sup>a</sup>,,2,,
1548,r006,Total -> Race or ethnicity<sup>a</sup> -> White,Total,Race or ethnicity<sup>a</sup>,White,3,16.8,83.2
1548,r007,Total -> Race or ethnicity<sup>a</sup> -> Black or African American,Total,Race or ethnicity<sup>a</sup>,Black or African American,3,8.3,91.7
1548,r008,Total -> Race or ethnicity<sup>a</sup> -> Hispanic or Latino,Total,Race or ethnicity<sup>a</sup>,Hispanic or Latino,3,8.0,92.0
1548,r009,Total -> Race or ethnicity<sup>a</sup> -> Asian,Total,Race or ethnicity<sup>a</sup>,Asian,3,9.9,90.1
1548,r010,Total -> Race or ethnicity<sup>a</sup> -> Other,Total,Race or ethnicity<sup>a</sup>,Other,3,20.7,79.3
1548,r011,Total -> Highest level of parents' education<sup>b</sup>,Total,Highest level of parents' education<sup>b</sup>,,2,,
1548,r012,Total -> Highest level of parents' education<sup>b</sup> -> High school or less,Total,Highest level of parents' education<sup>b</sup>,High school or less,3,13.2,86.8
1548,r013,Total -> Highest level of parents' education<sup>b</sup> -> Sub-baccalaureate certificate or associate&#8217;s degree,Total,Highest level of parents' education<sup>b</sup>,Sub-baccalaureate certificate or associate&#8217;s degree,3,15.3,84.7
1548,r014,Total -> Highest level of parents' education<sup>b</sup> -> Bachelor's or higher degree,Total,Highest level of parents' education<sup>b</sup>,Bachelor's or higher degree,3,12.5,87.5
1548,r015,Total -> Family socioeconomic status in quintile,Total,Family socioeconomic status in quintile,,2,,
1548,r016,Total -> Family socioeconomic status in quintile -> Lowest fifth,Total,Family socioeconomic status in quintile,Lowest fifth,3,14.0,86.0
1548,r017,Total -> Family socioeconomic status in quintile -> Middle three-fifths,Total,Family socioeconomic status in quintile,Middle three-fifths,3,13.2,86.8
1548,r018,Total -> Family socioeconomic status in quintile -> Highest fifth,Total,Family socioeconomic status in quintile,Highest fifth,3,13.9,86.1
