table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,characteristic_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
1791,r001,All doctorate recipients (number)<sup>c</sup>,All doctorate recipients (number)<sup>c</sup>,,,,,,1,55195,12780,6335,4030,8899,10183,4834,5145,2989
1791,r002,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,,,,,2,,,,,,,,,
1791,r003,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study,,,,3,13219,4616,2306,888,2306,2088,280,559,176
1791,r004,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment,,,,3,21070,3138,1644,1887,3574,4021,2841,2183,1782
1791,r005,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Seeking employment or study,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Seeking employment or study,,,,3,14479,3434,1819,864,1910,3015,1152,1742,543
1791,r006,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Other<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Other<sup>e</sup>,,,,3,1568,664,129,59,177,205,126,155,53
1791,r007,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,,,,3,,,,,,,,,
1791,r008,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup> -> Postdoc fellowship or research associateship,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,Postdoc fellowship or research associateship,,,4,94.1,94.0,97.1,96.2,90.2,95.4,89.6,93.0,93.2
1791,r009,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup> -> Other or unknown<sup>g</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,Other or unknown<sup>g</sup>,,,4,5.9,6.0,2.9,3.8,9.8,4.6,10.4,7.0,6.8
1791,r010,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,,,,3,,,,,,,,,
1791,r011,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Academe,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Academe,,,4,45.0,41.0,20.1,32.6,55.9,16.0,56.6,74.7,76.2
1791,r012,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Government,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Government,,,4,7.2,10.3,7.3,4.3,10.7,8.0,4.8,2.9,5.0
1791,r013,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Industry or business<sup>i</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Industry or business<sup>i</sup>,,,4,35.0,35.3,65.6,59.0,19.9,70.7,6.3,6.8,11.2
