table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_usda_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12708,r001,All institutions,All institutions,,1,-,"['1,700,216', '']","['19,686', '']","['40,799', '']","['1,385,357', '']","['7,056', '']","['14,884', '']","['3,620', '']","['69,862', '']","['11,168', '']","['106,665', '']","['41,119', '']"
12708,r002,All institutions -> Washington State U.,All institutions,Washington State U.,2,1,"['61,410', '']","['3,263', '']","['850', '']","['45,980', '']","['0', '']","['600', '']","['0', '']","['1,342', '']","['545', '']","['2,464', '']","['6,366', '']"
12708,r003,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,2,"['58,599', '']","['108', '']","['1,048', '']","['52,963', '']","['181', '']","['117', '']","['153', '']","['1,376', '']","['146', '']","['2,484', '']","['23', '']"
12708,r004,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,3,"['57,989', '']","['10', '']","['1,703', '']","['49,963', '']","['0', '']","['3,366', '']","['0', '']","['1,017', '']","['0', '']","['1,909', '']","['21', '']"
12708,r005,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,4,"['53,462', '']","['109', '']","['1,590', '']","['47,050', '']","['111', '']","['68', '']","['0', '']","['2,005', '']","['138', '']","['2,173', '']","['218', '']"
12708,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['52,842', '']","['105', '']","['891', '']","['47,951', '']","['0', '']","['242', '']","['0', '']","['1,985', '']","['0', '']","['435', '']","['1,233', '']"
12708,r007,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,6,"['50,328', '']","['446', '']","['329', '']","['34,150', '']","['5,555', '']","['47', '']","['0', '']","['335', '']","['0', '']","['8,985', '']","['481', '']"
12708,r008,All institutions -> U. Florida,All institutions,U. Florida,2,7,"['50,082', '']","['9', '']","['847', '']","['45,270', '']","['0', '']","['54', '']","['0', '']","['944', '']","['0', '']","['2,509', '']","['449', '']"
12708,r009,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,8,"['47,660', '']","['246', '']","['332', '']","['35,278', '']","['0', '']","['36', '']","['93', '']","['2,194', '']","['186', '']","['9,036', '']","['259', '']"
12708,r010,All institutions -> Cornell U.,All institutions,Cornell U.,2,9,"['44,545', '']","['107', '']","['0', '']","['41,260', '']","['0', '']","['0', '']","['149', '']","['113', '']","['0', '']","['719', '']","['2,197', '']"
12708,r011,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,10,"['44,107', '']","['2,527', '']","['302', '']","['36,627', '']","['0', '']","['20', '']","['0', '']","['381', '']","['681', '']","['3,527', '']","['42', '']"
12708,r012,All institutions -> U. Georgia,All institutions,U. Georgia,2,11,"['42,427', '']","['160', '']","['34', '']","['31,385', '']","['52', '']","['186', '']","['44', '']","['9,386', '']","['3', '']","['1,116', '']","['61', '']"
12708,r013,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,12,"['39,042', '']","['528', '']","['23', '']","['34,136', '']","['0', '']","['966', '']","['0', '']","['859', '']","['712', '']","['1,743', '']","['75', '']"
