table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2020,field_2021,field_2022_all_non_s_e_fields,field_2022_business_management_and_business_administration,field_2022_communication_and_communications_technologies,field_2022_education,field_2022_humanities,field_2022_law,field_2022_social_work,field_2022_visual_and_performing_arts,field_2022_other
10151,r001,All institutions,All institutions,,1,-,"['1,238,035', '']","['1,355,932', '']","['1,490,752', '']","['97,962', '']","['42,707', '']","['783,518', '']","['68,956', '']","['32,391', '']","['181,943', '']","['21,188', '']","['262,087', '']"
10151,r002,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,1,"['37,000', '']","['46,225', '']","['49,224', '']","['0', '']","['4,873', '']","['26,232', '']","['3,428', '']","['101', '']","['10,326', '']","['1,409', '']","['2,855', '']"
10151,r003,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,2,"['33,733', '']","['35,971', '']","['42,579', '']","['71', '']","['147', '']","['15,899', '']","['914', '']","['12', '']","['5,346', '']","['520', '']","['19,670', '']"
10151,r004,All institutions -> U. Kansas,All institutions,U. Kansas,2,3,"['33,020', '']","['30,542', '']","['35,791', '']","['276', '']","['1,092', '']","['20,894', '']","['984', '']","['0', '']","['11,867', '']","['137', '']","['541', '']"
10151,r005,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,4,"['20,294', '']","['20,850', '']","['30,311', '']","['976', '']","['279', '']","['9,132', '']","['264', '']","['12', '']","['11,580', '']","['2,255', '']","['5,813', '']"
10151,r006,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,5,"['21,951', '']","['24,298', '']","['29,763', '']","['669', '']","['1,494', '']","['14,865', '']","['626', '']","['0', '']","['8,519', '']","['150', '']","['3,440', '']"
10151,r007,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,6,"['18,374', '']","['27,114', '']","['28,963', '']","['379', '']","['0', '']","['4,458', '']","['298', '']","['526', '']","['22,908', '']","['0', '']","['394', '']"
10151,r008,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,7,"['17,919', '']","['14,801', '']","['25,882', '']","['3', '']","['12', '']","['20,573', '']","['3,285', '']","['294', '']","['0', '']","['18', '']","['1,697', '']"
10151,r009,All institutions -> Stanford U.,All institutions,Stanford U.,2,8,"['25,472', '']","['26,065', '']","['24,794', '']","['6', '']","['602', '']","['24,044', '']","['12', '']","['110', '']","['0', '']","['0', '']","['20', '']"
10151,r010,All institutions -> Florida State U.,All institutions,Florida State U.,2,9,"['21,067', '']","['22,599', '']","['24,597', '']","['67', '']","['1,427', '']","['21,672', '']","['244', '']","['0', '']","['1,041', '']","['49', '']","['97', '']"
