table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_hierarchy_depth,field_1988_number,field_1988_percent,field_1993_number,field_1993_percent,field_1998_number,field_1998_percent,field_2003_number,field_2003_percent,field_2008_number,field_2008_percent,field_2013_number,field_2013_percent,field_2018_number,field_2018_percent
1747,r001,All fields,All fields,,,1,33497,100.0,39800,100.0,42636,100.0,40762,100.0,48776,100.0,52703,100.0,55195,100.0
1747,r002,All fields -> Life sciences,All fields,Life sciences,,2,6222,18.6,7463,18.8,8611,20.2,8506,20.9,11086,22.7,12207,23.2,12780,23.2
1747,r003,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,3,1229,3.7,1174,2.9,1266,3.0,1178,2.9,1198,2.5,1324,2.5,1445,2.6
1747,r004,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,4111,12.3,5092,12.8,5846,13.7,5696,14.0,7797,16.0,8354,15.9,8801,15.9
1747,r005,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,882,2.6,1197,3.0,1499,3.5,1632,4.0,2091,4.3,2529,4.8,2534,4.6
1747,r006,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,3986,11.9,4402,11.1,4566,10.7,3971,9.7,4946,10.1,5584,10.6,6335,11.5
1747,r007,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,3,2014,6.0,2137,5.4,2216,5.2,2041,5.0,2246,4.6,2484,4.7,2810,5.1
1747,r008,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",3,670,2.0,721,1.8,766,1.8,682,1.7,865,1.8,989,1.9,1185,2.1
1747,r009,All fields -> Physical sciences and earth sciences -> Physics and astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy,3,1302,3.9,1544,3.9,1584,3.7,1248,3.1,1835,3.8,2111,4.0,2340,4.2
1747,r010,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,1264,3.8,2026,5.1,2104,4.9,1859,4.6,3187,6.5,3660,6.9,4030,7.3
