table_id,row_id,_b_field_and_sex_b_full_path,_b_field_and_sex_b_level_1,_b_field_and_sex_b_level_2,_b_field_and_sex_b_level_3,_b_field_and_sex_b_level_4,_b_field_and_sex_b_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field__change_2011_21
7522,r001,All doctorate recipients<sup>a</sup>,All doctorate recipients<sup>a</sup>,,,,1,48909,50943,52703,53986,54886,54809,54552,55080,55609,55224,52250,6.8
7522,r002,All doctorate recipients<sup>a</sup> -> Life sciences,All doctorate recipients<sup>a</sup>,Life sciences,,,2,11535,11964,12207,12484,12493,12539,12554,12754,12748,12549,11814,2.4
7522,r003,All doctorate recipients<sup>a</sup> -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Life sciences,Agricultural sciences and natural resources,,3,1206,1255,1324,1338,1434,1379,1493,1442,1488,1470,1334,10.6
7522,r004,All doctorate recipients<sup>a</sup> -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Life sciences,Biological and biomedical sciences,,3,8152,8322,8354,8868,8783,8863,8566,8782,8678,8410,8149,0.0
7522,r005,All doctorate recipients<sup>a</sup> -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Life sciences,Health sciences,,3,2177,2387,2529,2278,2276,2297,2495,2530,2582,2669,2331,7.1
7522,r006,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,,,2,5271,5419,5584,5910,5916,6251,6082,6330,6579,6241,5757,9.2
7522,r007,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Chemistry,,3,2432,2416,2484,2673,2666,2703,2699,2807,2939,2761,2555,5.1
7522,r008,"All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,3,852,941,989,1098,1057,1227,1169,1185,1272,1241,1064,24.9
7522,r009,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Physics and astronomy,,3,1987,2062,2111,2139,2193,2321,2214,2338,2368,2239,2138,7.6
7522,r010,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,,,2,3273,3496,3660,3862,3818,3954,3842,4022,4230,4387,4373,33.6
7522,r011,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Computer and information sciences,,3,1667,1793,1843,1988,2003,2082,1998,2000,2220,2363,2361,41.6
7522,r012,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Mathematics and statistics,,3,1606,1703,1817,1874,1815,1872,1844,2022,2010,2024,2012,25.3
7522,r013,All doctorate recipients<sup>a</sup> -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,,,2,8220,8498,8580,8748,9073,9037,9034,8876,9043,8932,8675,5.5
7522,r014,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Psychology,,3,3576,3599,3592,3724,3776,3910,3925,3821,3909,3871,3797,6.2
7522,r015,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Anthropology,,3,553,547,550,523,492,460,446,424,445,447,400,-27.7
7522,r016,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Economics,,3,1121,1243,1183,1196,1255,1236,1239,1245,1247,1212,1230,9.7
7522,r017,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Political science and government,,3,685,724,803,775,859,745,743,734,707,636,581,-15.2
7522,r018,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Sociology,,3,656,633,636,678,741,613,683,668,632,606,560,-14.6
7522,r019,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Other social sciences,,3,1629,1752,1816,1852,1950,2073,1998,1984,2103,2160,2107,29.3
7522,r020,All doctorate recipients<sup>a</sup> -> Engineering,All doctorate recipients<sup>a</sup>,Engineering,,,2,8032,8469,9000,9626,9875,9459,9776,10164,10298,10471,10240,27.5
7522,r021,"All doctorate recipients<sup>a</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,262,307,348,386,361,370,379,383,379,399,373,42.4
7522,r022,All doctorate recipients<sup>a</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Engineering,Bioengineering and biomedical engineering,,3,898,943,1039,1046,1125,1089,1032,1133,1163,1082,1064,18.5
7522,r023,All doctorate recipients<sup>a</sup> -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,Engineering,Chemical engineering,,3,823,840,824,973,1002,921,931,981,980,994,1024,24.4
7522,r024,All doctorate recipients<sup>a</sup> -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Engineering,Civil engineering,,3,634,495,542,617,632,564,713,675,700,795,621,-2.1
7522,r025,"All doctorate recipients<sup>a</sup> -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Engineering,"Electrical, electronics, and communications engineering",,3,1886,1938,1897,1952,1997,1823,1879,1943,1799,1973,2081,10.3
7522,r026,All doctorate recipients<sup>a</sup> -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Engineering,Industrial and manufacturing engineering,,3,258,226,241,298,243,256,249,272,234,304,361,39.9
7522,r027,All doctorate recipients<sup>a</sup> -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Engineering,Materials science engineering,,3,662,743,815,832,871,984,937,992,992,879,936,41.4
7522,r028,All doctorate recipients<sup>a</sup> -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Engineering,Mechanical engineering,,3,1084,1220,1277,1331,1466,1297,1398,1503,1532,1633,1444,33.2
