table_id,row_id,teaching_field_and_selected_school_characteristic_full_path,teaching_field_and_selected_school_characteristic_level_1,teaching_field_and_selected_school_characteristic_level_2,teaching_field_and_selected_school_characteristic_level_3,teaching_field_and_selected_school_characteristic_level_4,teaching_field_and_selected_school_characteristic_hierarchy_depth,field_average_annualsalarya
4107,r001,All public middle and high school teachers,All public middle and high school teachers,,,,1,59500
4107,r002,All public middle and high school teachers -> Mathematics,All public middle and high school teachers,Mathematics,,,2,59600
4107,r003,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent),All public middle and high school teachers,Mathematics,Minority enrollment (percent),,3,
4107,r004,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 0&#8211;24,All public middle and high school teachers,Mathematics,Minority enrollment (percent),0&#8211;24,4,58000
4107,r005,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 25&#8211;49,All public middle and high school teachers,Mathematics,Minority enrollment (percent),25&#8211;49,4,57000
4107,r006,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 50&#8211;74,All public middle and high school teachers,Mathematics,Minority enrollment (percent),50&#8211;74,4,59100
4107,r007,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 75 or more,All public middle and high school teachers,Mathematics,Minority enrollment (percent),75 or more,4,63800
4107,r008,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>b</sup>,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>b</sup>,,3,
4107,r009,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>b</sup> -> 0&#8211;34,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>b</sup>,0&#8211;34,4,62000
4107,r010,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>b</sup> -> 35&#8211;49,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>b</sup>,35&#8211;49,4,58600
4107,r011,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>b</sup> -> 50&#8211;74,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>b</sup>,50&#8211;74,4,56700
4107,r012,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>b</sup> -> 75 or more,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>b</sup>,75 or more,4,59900
4107,r013,All public middle and high school teachers -> Mathematics -> Community type ,All public middle and high school teachers,Mathematics,Community type ,,3,
4107,r014,All public middle and high school teachers -> Mathematics -> Community type  -> City,All public middle and high school teachers,Mathematics,Community type ,City,4,60400
4107,r015,All public middle and high school teachers -> Mathematics -> Community type  -> Suburban,All public middle and high school teachers,Mathematics,Community type ,Suburban,4,64500
4107,r016,All public middle and high school teachers -> Mathematics -> Community type  -> Town,All public middle and high school teachers,Mathematics,Community type ,Town,4,51100
4107,r017,All public middle and high school teachers -> Mathematics -> Community type  -> Rural,All public middle and high school teachers,Mathematics,Community type ,Rural,4,50900
4107,r018,All public middle and high school teachers -> Mathematics -> Region,All public middle and high school teachers,Mathematics,Region,,3,
4107,r019,All public middle and high school teachers -> Mathematics -> Region -> Northeast,All public middle and high school teachers,Mathematics,Region,Northeast,4,72500
4107,r020,All public middle and high school teachers -> Mathematics -> Region -> Midwest,All public middle and high school teachers,Mathematics,Region,Midwest,4,60400
4107,r021,All public middle and high school teachers -> Mathematics -> Region -> South,All public middle and high school teachers,Mathematics,Region,South,4,50300
4107,r022,All public middle and high school teachers -> Mathematics -> Region -> West,All public middle and high school teachers,Mathematics,Region,West,4,64200
4107,r023,All public middle and high school teachers -> Science,All public middle and high school teachers,Science,,,2,60500
4107,r024,All public middle and high school teachers -> Science -> Minority enrollment (percent),All public middle and high school teachers,Science,Minority enrollment (percent),,3,
4107,r025,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 0&#8211;24,All public middle and high school teachers,Science,Minority enrollment (percent),0&#8211;24,4,59600
4107,r026,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 25&#8211;49,All public middle and high school teachers,Science,Minority enrollment (percent),25&#8211;49,4,59500
4107,r027,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 50&#8211;74,All public middle and high school teachers,Science,Minority enrollment (percent),50&#8211;74,4,57200
4107,r028,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 75 or more,All public middle and high school teachers,Science,Minority enrollment (percent),75 or more,4,64200
4107,r029,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>b</sup>,All public middle and high school teachers,Science,School poverty level (percent)<sup>b</sup>,,3,
4107,r030,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>b</sup> -> 0&#8211;34,All public middle and high school teachers,Science,School poverty level (percent)<sup>b</sup>,0&#8211;34,4,65100
4107,r031,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>b</sup> -> 35&#8211;49,All public middle and high school teachers,Science,School poverty level (percent)<sup>b</sup>,35&#8211;49,4,59400
4107,r032,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>b</sup> -> 50&#8211;74,All public middle and high school teachers,Science,School poverty level (percent)<sup>b</sup>,50&#8211;74,4,56100
4107,r033,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>b</sup> -> 75 or more,All public middle and high school teachers,Science,School poverty level (percent)<sup>b</sup>,75 or more,4,59000
4107,r034,All public middle and high school teachers -> Science -> Community type ,All public middle and high school teachers,Science,Community type ,,3,
4107,r035,All public middle and high school teachers -> Science -> Community type  -> City,All public middle and high school teachers,Science,Community type ,City,4,60900
