table_id,row_id,time_period,steps_3_8211_4_level_1,steps_3_8211_4_level_2,steps_3_8211_4_hierarchy_depth,value
9405,r001_1,Matches with month-year of birth information available,Steps 3–4,Before filters,2,41485
9405,r001_2,Matches with month-year of birth information available,Steps 3–4,After filters,2,24120
9405,r001_3,Matches with month-year of birth information available,Steps 5–6,Before filters,2,47916
9405,r001_4,Matches with month-year of birth information available,Steps 5–6,After filters,2,24105
9405,r002_1,Matches with matching month-year of birth,Steps 3–4,Before filters,2,32539
9405,r002_2,Matches with matching month-year of birth,Steps 3–4,After filters,2,19119
9405,r002_3,Matches with matching month-year of birth,Steps 5–6,Before filters,2,32508
9405,r002_4,Matches with matching month-year of birth,Steps 5–6,After filters,2,18487
9405,r003_1,Matches with wrong month-year of birth,Steps 3–4,Before filters,2,8946
9405,r003_2,Matches with wrong month-year of birth,Steps 3–4,After filters,2,5001
9405,r003_3,Matches with wrong month-year of birth,Steps 5–6,Before filters,2,15408
9405,r003_4,Matches with wrong month-year of birth,Steps 5–6,After filters,2,5618
9405,r004_1,Loss of accuracy compared to steps 1&#8211;2 (%),Steps 3–4,Before filters,2,21.56
9405,r004_2,Loss of accuracy compared to steps 1&#8211;2 (%),Steps 3–4,After filters,2,20.73
9405,r004_3,Loss of accuracy compared to steps 1&#8211;2 (%),Steps 5–6,Before filters,2,32.16
9405,r004_4,Loss of accuracy compared to steps 1&#8211;2 (%),Steps 5–6,After filters,2,23.31
