table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
7856,r001,Alabama,Alabama,,,1,"['14,000', '']","['2,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['12,000', '']","['0', '']","['0', '']","['0', '']"
7856,r002,Alabama -> Public,Alabama,Public,,2,"['14,000', '']","['2,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['12,000', '']","['0', '']","['0', '']","['0', '']"
7856,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['2,000', '']","['2,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r006,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['12,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['12,000', '']","['0', '']","['0', '']","['0', '']"
7856,r007,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r008,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r009,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r010,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r011,Alabama -> Private,Alabama,Private,,2,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r012,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r013,Alaska,Alaska,,,1,"['13,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8,000', '']","['0', '']","['0', '']","['2,500', '']","['2,500', '']","['0', '']","['0', '']","['0', '']"
7856,r014,Alaska -> Public,Alaska,Public,,2,"['13,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8,000', '']","['0', '']","['0', '']","['2,500', '']","['2,500', '']","['0', '']","['0', '']","['0', '']"
7856,r015,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r016,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r017,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['13,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8,000', '']","['0', '']","['0', '']","['2,500', '']","['2,500', '']","['0', '']","['0', '']","['0', '']"
7856,r018,Alaska -> Public -> Private,Alaska,Public,Private,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r019,Alaska -> Public -> Alaska Pacific U.,Alaska,Public,Alaska Pacific U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r020,Arizona,Arizona,,,1,"['189,776', '']","['0', '']","['0', '']","['11,880', '']","['153,146', '']","['0', '']","['0', '']","['0', '']","['0', '']","['24,750', '']","['0', '']","['0', '']","['0', '']"
7856,r021,Arizona -> Public,Arizona,Public,,2,"['189,776', '']","['0', '']","['0', '']","['11,880', '']","['153,146', '']","['0', '']","['0', '']","['0', '']","['0', '']","['24,750', '']","['0', '']","['0', '']","['0', '']"
7856,r022,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['88,376', '']","['0', '']","['0', '']","['0', '']","['88,376', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r023,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['2,400', '']","['0', '']","['0', '']","['0', '']","['2,400', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r024,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['99,000', '']","['0', '']","['0', '']","['11,880', '']","['62,370', '']","['0', '']","['0', '']","['0', '']","['0', '']","['24,750', '']","['0', '']","['0', '']","['0', '']"
7856,r025,Arkansas,Arkansas,,,1,"['114,000', '']","['0', '']","['68,400', '']","['0', '']","['0', '']","['0', '']","['22,800', '']","['0', '']","['0', '']","['22,800', '']","['0', '']","['0', '']","['0', '']"
7856,r026,Arkansas -> Public,Arkansas,Public,,2,"['114,000', '']","['0', '']","['68,400', '']","['0', '']","['0', '']","['0', '']","['22,800', '']","['0', '']","['0', '']","['22,800', '']","['0', '']","['0', '']","['0', '']"
7856,r027,"Arkansas -> Public -> Arkansas State U., Jonesboro",Arkansas,Public,"Arkansas State U., Jonesboro",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r028,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7856,r029,"Arkansas -> Public -> U. Arkansas, Fayetteville",Arkansas,Public,"U. Arkansas, Fayetteville",3,"['114,000', '']","['0', '']","['68,400', '']","['0', '']","['0', '']","['0', '']","['22,800', '']","['0', '']","['0', '']","['22,800', '']","['0', '']","['0', '']","['0', '']"
7856,r030,"Arkansas -> Public -> U. Arkansas, Little Rock",Arkansas,Public,"U. Arkansas, Little Rock",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
