table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2020,field_2021,field_2022,field_2023_all_social_sciences,field_2023_anthropology,field_2023_economics,field_2023_political_science_and_government,field_2023_sociology_demography_and_population_studies,field_2023_social_sciences_nec
12698,r001,All institutions,All institutions,,1,-,"['963,623', '']","['949,941', '']","['1,074,208', '']","['1,202,546', '']","['46,631', '']","['206,477', '']","['111,794', '']","['317,113', '']","['520,531', '']"
12698,r002,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,1,"['89,211', '']","['85,904', '']","['94,899', '']","['113,394', '']","['865', '']","['27,373', '']","['19,285', '']","['19,604', '']","['46,267', '']"
12698,r003,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,2,"['56,291', '']","['43,473', '']","['52,761', '']","['65,162', '']","['62', '']","['123', '']","['3,090', '']","['56,406', '']","['5,481', '']"
12698,r004,All institutions -> U. Southern California,All institutions,U. Southern California,2,3,"['28,212', '']","['41,252', '']","['54,732', '']","['60,441', '']","['17', '']","['32,733', '']","['384', '']","['134', '']","['27,173', '']"
12698,r005,All institutions -> Harvard U.,All institutions,Harvard U.,2,4,"['27,768', '']","['32,441', '']","['37,799', '']","['45,358', '']","['30', '']","['3,630', '']","['1,565', '']","['17,686', '']","['22,447', '']"
12698,r006,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,5,"['36,918', '']","['35,980', '']","['30,603', '']","['39,549', '']","['650', '']","['560', '']","['1,512', '']","['3,168', '']","['33,659', '']"
12698,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,"['24,863', '']","['26,100', '']","['24,878', '']","['30,209', '']","['30', '']","['1,698', '']","['1,109', '']","['2,512', '']","['24,860', '']"
12698,r008,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,7,"['21,158', '']","['19,939', '']","['21,805', '']","['25,628', '']","['2,490', '']","['1,454', '']","['3,278', '']","['3,068', '']","['15,338', '']"
12698,r009,All institutions -> Duke U.,All institutions,Duke U.,2,8,"['20,611', '']","['21,294', '']","['22,646', '']","['25,177', '']","['2,337', '']","['1,927', '']","['458', '']","['9,918', '']","['10,537', '']"
12698,r010,All institutions -> Brown U.,All institutions,Brown U.,2,9,"['17,975', '']","['20,519', '']","['22,828', '']","['24,744', '']","['0', '']","['249', '']","['10', '']","['418', '']","['24,067', '']"
12698,r011,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,10,"['15,486', '']","['18,265', '']","['25,517', '']","['22,801', '']","['216', '']","['2,804', '']","['850', '']","['18,543', '']","['388', '']"
12698,r012,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,11,"['23,664', '']","['20,456', '']","['17,060', '']","['19,628', '']","['143', '']","['10,487', '']","['231', '']","['955', '']","['7,812', '']"
12698,r013,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,12,"['12,255', '']","['10,718', '']","['18,106', '']","['19,189', '']","['402', '']","['3,843', '']","['879', '']","['14,065', '']","['0', '']"
12698,r014,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,13,"['12,384', '']","['13,706', '']","['19,444', '']","['18,325', '']","['0', '']","['5,890', '']","['3,429', '']","['728', '']","['8,278', '']"
12698,r015,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,14,"['16,651', '']","['12,742', '']","['14,697', '']","['16,193', '']","['298', '']","['691', '']","['1,071', '']","['12,241', '']","['1,892', '']"
12698,r016,All institutions -> U. South Florida<sup>b</sup>,All institutions,U. South Florida<sup>b</sup>,2,15,"['14,278', '']","['15,894', '']","['14,818', '']","['16,052', '']","['764', '']","['0', '']","['350', '']","['913', '']","['14,025', '']"
