table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8461,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,1436,1436,1655,0.0,15.3
8461,r002,R&D and R&D plant -> Hospital and medical care for veterans (703),R&D and R&D plant,Hospital and medical care for veterans (703),,,,2,1436,1436,1655,0.0,15.3
8461,r003,R&D and R&D plant -> Hospital and medical care for veterans (703) ->    Department of Veterans Affairs,R&D and R&D plant,Hospital and medical care for veterans (703),   Department of Veterans Affairs,,,3,1436,1436,1655,0.0,15.3
8461,r004,R&D and R&D plant -> Hospital and medical care for veterans (703) ->    Department of Veterans Affairs -> Medical and prosthetic research,R&D and R&D plant,Hospital and medical care for veterans (703),   Department of Veterans Affairs,Medical and prosthetic research,,4,795,795,916,0.0,15.2
8461,r005,R&D and R&D plant -> Hospital and medical care for veterans (703) ->    Department of Veterans Affairs -> Medical services,R&D and R&D plant,Hospital and medical care for veterans (703),   Department of Veterans Affairs,Medical services,,4,641,641,739,0.0,15.3
8461,r006,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,1436,1436,1655,0.0,15.3
8461,r007,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703),R&D and R&D plant,R&D,Hospital and medical care for veterans (703),,,3,1436,1436,1655,0.0,15.3
8461,r008,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703) ->    Department of Veterans Affairs,R&D and R&D plant,R&D,Hospital and medical care for veterans (703),   Department of Veterans Affairs,,4,1436,1436,1655,0.0,15.3
8461,r009,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703) ->    Department of Veterans Affairs -> Medical and prosthetic research,R&D and R&D plant,R&D,Hospital and medical care for veterans (703),   Department of Veterans Affairs,Medical and prosthetic research,5,795,795,916,0.0,15.2
8461,r010,R&D and R&D plant -> R&D -> Hospital and medical care for veterans (703) ->    Department of Veterans Affairs -> Medical services,R&D and R&D plant,R&D,Hospital and medical care for veterans (703),   Department of Veterans Affairs,Medical services,5,641,641,739,0.0,15.3
