table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
7896,r001,All states,All states,,1,"['5,600,668', '&nbsp;']","['4,274,137', '&nbsp;']","['140,976', '&nbsp;']","['202,765', '&nbsp;']","['18,505', '&nbsp;']","['26,135', 'r']","['14,335', '&nbsp;']","['867,027', '&nbsp;']","['42,281', '&nbsp;']","['14,508', '&nbsp;']"
7896,r002,All states -> Alabama,All states,Alabama,2,"['59,496', '&nbsp;']","['41,280', 'r']","['0', '&nbsp;']","['5,094', '&nbsp;']","['408', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['12,714', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r003,All states -> Alaska,All states,Alaska,2,"['281', '&nbsp;']","['209', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['72', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r004,All states -> Arizona,All states,Arizona,2,"['117,036', '&nbsp;']","['98,675', '&nbsp;']","['717', 'r']","['4,407', '&nbsp;']","['0', '&nbsp;']","['326', '&nbsp;']","['584', 'r']","['12,117', '&nbsp;']","['211', '&nbsp;']","['0', '&nbsp;']"
7896,r005,All states -> Arkansas,All states,Arkansas,2,"['13,506', '&nbsp;']","['12,915', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['591', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r006,All states -> California,All states,California,2,"['1,758,934', '&nbsp;']","['1,397,925', '&nbsp;']","['95,701', '&nbsp;']","['35,441', '&nbsp;']","['5,112', '&nbsp;']","['2,218', 'r']","['1,785', 'r']","['204,828', '&nbsp;']","['4,469', '&nbsp;']","['11,455', 'r']"
7896,r007,All states -> Colorado,All states,Colorado,2,"['163,113', '&nbsp;']","['102,657', '&nbsp;']","['4,212', 'r']","['10,279', 'r']","['682', 'r']","['339', '&nbsp;']","['0', '&nbsp;']","['43,632', '&nbsp;']","['1,064', '&nbsp;']","['247', '&nbsp;']"
7896,r008,All states -> Connecticut,All states,Connecticut,2,"['65,202', '&nbsp;']","['50,872', '&nbsp;']","['0', '&nbsp;']","['3,419', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['10,647', 'r']","['264', 'r']","['0', '&nbsp;']"
7896,r009,All states -> Delaware,All states,Delaware,2,"['51,109', '&nbsp;']","['37,811', '&nbsp;']","['0', '&nbsp;']","['405', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['74', '&nbsp;']","['12,271', '&nbsp;']","['499', 'r']","['49', 'r']"
7896,r010,All states -> District of Columbia,All states,District of Columbia,2,"['9,259', '&nbsp;']","['7,895', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,363', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r011,All states -> Florida,All states,Florida,2,"['189,261', '&nbsp;']","['162,379', '&nbsp;']","['7,287', 'r']","['4,102', '&nbsp;']","['99', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['14,830', '&nbsp;']","['459', 'r']","['105', '&nbsp;']"
7896,r012,All states -> Georgia,All states,Georgia,2,"['84,661', '&nbsp;']","['49,289', '&nbsp;']","['0', '&nbsp;']","['9,099', 'r']","['0', '&nbsp;']","['58', '&nbsp;']","['0', '&nbsp;']","['25,968', 'r']","['247', '&nbsp;']","['0', '&nbsp;']"
7896,r013,All states -> Hawaii,All states,Hawaii,2,"['2,738', '&nbsp;']","['1,569', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,056', '&nbsp;']","['112', '&nbsp;']","['0', '&nbsp;']"
7896,r014,All states -> Idaho,All states,Idaho,2,"['11,838', '&nbsp;']","['5,878', '&nbsp;']","['0', '&nbsp;']","['752', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['5,208', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r015,All states -> Illinois,All states,Illinois,2,"['166,995', '&nbsp;']","['109,213', '&nbsp;']","['7,587', 'r']","['4,630', 'r']","['533', 'r']","['19,678', 'r']","['259', 'r']","['24,685', '&nbsp;']","['410', 'r']","['0', '&nbsp;']"
7896,r016,All states -> Indiana,All states,Indiana,2,"['34,136', '&nbsp;']","['25,689', '&nbsp;']","['0', '&nbsp;']","['2,631', '&nbsp;']","['0', '&nbsp;']","['726', 'r']","['0', '&nbsp;']","['5,013', '&nbsp;']","['76', '&nbsp;']","['0', '&nbsp;']"
7896,r017,All states -> Iowa,All states,Iowa,2,"['22,886', '&nbsp;']","['8,727', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['482', 'r']","['0', '&nbsp;']","['4,471', 'r']","['8,219', 'r']","['987', '&nbsp;']","['0', '&nbsp;']"
7896,r018,All states -> Kansas,All states,Kansas,2,"['14,543', '&nbsp;']","['13,275', '&nbsp;']","['0', '&nbsp;']","['53', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,215', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7896,r019,All states -> Kentucky,All states,Kentucky,2,"['20,542', '&nbsp;']","['10,587', '&nbsp;']","['0', '&nbsp;']","['2,476', 'r']","['284', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['5,629', '&nbsp;']","['1,566', 'r']","['0', '&nbsp;']"
7896,r020,All states -> Louisiana,All states,Louisiana,2,"['8,501', '&nbsp;']","['7,519', '&nbsp;']","['0', '&nbsp;']","['724', '&nbsp;']","['52', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['206', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
