table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_federally_funded_r_d_expenditures,field_funding_agency_department_of_agriculture,field_funding_agency_department_of_commerce,field_funding_agency_department_of_defense,field_funding_agency_department_of_energy,field_funding_agency_department_of_health_and_human_services,field_funding_agency_department_of_homeland_security,field_funding_agency_department_of_the_interior,field_funding_agency_department_of_transportation,field_funding_agency_department_of_veterans_affairs,field_funding_agency_environmental_protection_agency,field_funding_agency_national_aeronautics_and_space_administration,field_funding_agency_other_federal_agencies
12494,r001,All agencies,All agencies,,,,,,1,"['34,067,764', ' ']","['1,654,412', 'i']","['1,370,220', ' ']","['20,637,599', ' ']","['113,576', ' ']","['3,357,578', ' ']","['39,625', ' ']","['906,367', ' ']","['71,023', 'i']","['1,532,618', ' ']","['314,120', ' ']","['3,819,300', ' ']","['251,325', 'i']"
12494,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,,,,,2,"['1,661,254', 'i']","['1,639,086', 'i']","['90', ' ']","['1,169', ' ']","['4,606', ' ']","['8', ' ']","['0', ' ']","['9,833', ' ']","['0', ' ']","['0', ' ']","['0', ' ']","['737', ' ']","['5,725', ' ']"
12494,r003,All agencies -> Department of Agriculture -> Agricultural Research Service,All agencies,Department of Agriculture,Agricultural Research Service,,,,3,"['1,237,476', 'i']","['1,237,476', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12494,r004,All agencies -> Department of Agriculture -> Agricultural Research Service -> Midwest Area,All agencies,Department of Agriculture,Agricultural Research Service,Midwest Area,,,4,"['165,788', 'i']","['165,788', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12494,r005,All agencies -> Department of Agriculture -> Agricultural Research Service -> Northeast Area,All agencies,Department of Agriculture,Agricultural Research Service,Northeast Area,,,4,"['261,199', 'i']","['261,199', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12494,r006,All agencies -> Department of Agriculture -> Agricultural Research Service -> Pacific West Area,All agencies,Department of Agriculture,Agricultural Research Service,Pacific West Area,,,4,"['208,801', 'i']","['208,801', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12494,r007,All agencies -> Department of Agriculture -> Agricultural Research Service -> Plains Area,All agencies,Department of Agriculture,Agricultural Research Service,Plains Area,,,4,"['314,563', 'i']","['314,563', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12494,r008,All agencies -> Department of Agriculture -> Agricultural Research Service -> Southeast Area,All agencies,Department of Agriculture,Agricultural Research Service,Southeast Area,,,4,"['287,125', 'i']","['287,125', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12494,r009,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,,,,3,"['36,005', '']","['34,434', '']","['0', '']","['943', '']","['0', '']","['0', '']","['0', '']","['628', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r010,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Forest Pest Methods Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Forest Pest Methods Laboratory,,,4,"['6,618', '']","['6,618', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12494,r011,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Insect Management and Molecular Diagnostics Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Insect Management and Molecular Diagnostics Laboratory,,,4,"['1,358', '']","['1,358', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
