table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_hierarchy_depth,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
1768,r001,Cumulative debt,Cumulative debt,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
1768,r002,Cumulative debt -> Mean,Cumulative debt,Mean,,2,"['$18,981', '']","['$26,122', '']","['$29,951', '']","['$6,600', '']","['$38,492', '']","['$47,970', '']","['$13,576', '']","['$65,315', '']","['$27,574', '']","['$33,642', '']","['$27,879', '']","['$32,683', '']"
1768,r003,Cumulative debt -> ,Cumulative debt,,,2,"['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']"
1768,r004,Cumulative debt -> No debt,Cumulative debt,No debt,,2,"['16,379', '60.0']","['12,368', '53.6']","['15,627', '46.4']","['13,010', '78.6']","['876', '35.9']","['32', '31.7']","['2,115', '66.6']","['456', '19.5']","['11,407', '47.4']","['498', '45.2']","['161', '55.5']","['82', '50.0']"
1768,r005,"Cumulative debt -> $10,000 or less",Cumulative debt,"$10,000 or less",,2,"['2,386', '8.7']","['1,836', '8.0']","['2,756', '8.2']","['1,453', '8.8']","['241', '9.9']","['9', '8.9']","['260', '8.2']","['155', '6.6']","['1,975', '8.2']","['79', '7.2']","['20', '6.9']","['17', '10.4']"
1768,r006,"Cumulative debt -> $10,001&#8211;$20,000",Cumulative debt,"$10,001&#8211;$20,000",,2,"['1,685', '6.2']","['1,410', '6.1']","['2,511', '7.5']","['577', '3.5']","['182', '7.4']","['5', '5.0']","['205', '6.5']","['122', '5.2']","['1,898', '7.9']","['79', '7.2']","['14', '4.8']","['6', '3.7']"
1768,r007,"Cumulative debt -> $20,001&#8211;$30,000",Cumulative debt,"$20,001&#8211;$30,000",,2,"['1,301', '4.8']","['1,172', '5.1']","['2,063', '6.1']","['402', '2.4']","['152', '6.2']","['D', 'D']","['145', '4.6']","['117', '5.0']","['1,565', '6.5']","['61', '5.5']","['D', 'D']","['4', '2.4']"
1768,r008,"Cumulative debt -> $30,001&#8211;$40,000",Cumulative debt,"$30,001&#8211;$40,000",,2,"['928', '3.4']","['852', '3.7']","['1,540', '4.6']","['237', '1.4']","['130', '5.3']","['7', '6.9']","['88', '2.8']","['124', '5.3']","['1,136', '4.7']","['37', '3.4']","['11', '3.8']","['7', '4.3']"
1768,r009,"Cumulative debt -> $40,001&#8211;$50,000",Cumulative debt,"$40,001&#8211;$50,000",,2,"['707', '2.6']","['686', '3.0']","['1,229', '3.7']","['158', '1.0']","['109', '4.5']","['8', '7.9']","['52', '1.6']","['99', '4.2']","['914', '3.8']","['36', '3.3']","['6', '2.1']","['5', '3.0']"
1768,r010,"Cumulative debt -> $50,001&#8211;$60,000",Cumulative debt,"$50,001&#8211;$60,000",,2,"['504', '1.8']","['505', '2.2']","['901', '2.7']","['105', '0.6']","['84', '3.4']","['0', '0.0']","['50', '1.6']","['83', '3.6']","['638', '2.7']","['34', '3.1']","['5', '1.7']","['7', '4.3']"
