table_id,row_id,industry_and_naics_code_full_path,industry_and_naics_code_level_1,industry_and_naics_code_level_2,industry_and_naics_code_level_3,industry_and_naics_code_level_4,industry_and_naics_code_hierarchy_depth,field_all_r_da,field_paid_for_by_the_companyb,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_companies_domestic,field_paid_for_by_others_companies_foreignc,field_paid_for_by_others_all_other_organizationsd
6308,r001,&#160;Millions of dollars,&#160;Millions of dollars,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6308,r002,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,"['492,956', '&nbsp;']","['428,968', '&nbsp;']","['63,989', '  ']","['21,941', '  ']","['21,461', '  ']","['19,554', '  ']","['1,033', '&nbsp;']"
6308,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,"['285,674', '&nbsp;']","['248,109', '&nbsp;']","['37,564', '  ']","['16,023', 'i']","['5,470', '  ']","['15,749', '  ']","['322', '&nbsp;']"
6308,r004,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",,3,"['97,063', '&nbsp;']","['87,288', '&nbsp;']","['9,775', '  ']","['289', '  ']","['1,967', '  ']","['7,459', '  ']","['60', '&nbsp;']"
6308,r005,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Pharmaceuticals and medicines, 3254","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325","Pharmaceuticals and medicines, 3254",4,"['87,619', '&nbsp;']","['78,652', '&nbsp;']","['8,966', '  ']","['269', '  ']","['1,938', '  ']","['6,707', '  ']","['52', '&nbsp;']"
6308,r006,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Other 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",Other 325,4,"['9,444', '&nbsp;']","['8,636', '&nbsp;']","['809', '&#160;']","['20', '&#160;']","['29', '&#160;']","['752', '&#160;']","['8', '&nbsp;']"
6308,r007,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,"['15,184', '&nbsp;']","['13,930', '&nbsp;']","['1,254', '  ']","['193', '  ']","['371', '  ']","['689', '  ']","['1', '&nbsp;']"
6308,r008,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,"['86,729', '&nbsp;']","['75,570', '&nbsp;']","['11,159', '  ']","['5,802', '  ']","['1,679', '  ']","['3,604', '  ']","['74', '&nbsp;']"
6308,r009,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Electrical equipment, appliances, and components, 335","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Electrical equipment, appliances, and components, 335",,3,"['5,263', '&nbsp;']","['4,886', '&nbsp;']","['377', '  ']","['27', '  ']","['30', 'i']","['317', '  ']","['3', '&nbsp;']"
6308,r010,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",,3,"['45,375', '&nbsp;']","['31,505', '&nbsp;']","['13,870', 'i ']","['9,652', 'i ']","['1,031', '  ']","['3,020', '  ']","['167', '&nbsp;']"
