table_id,row_id,time_period,_b_all_education_levels_b_level_1,_b_all_education_levels_b_level_2,_b_all_education_levels_b_hierarchy_depth,value
11018,r001_1,Alabama,All education levels,Non-STEM workers,2,75.0
11018,r001_2,Alabama,All education levels,STEM workers,2,25.0
11018,r001_3,Alabama,All education levels,S&E workers,2,5.2
11018,r001_4,Alabama,All education levels,S&E-related workers,2,8.9
11018,r001_5,Alabama,All education levels,STEM middle-skill workers,2,10.9
11018,r001_6,Alabama,Bachelor's degree or higher,Non-STEM workers,2,22.2
11018,r001_7,Alabama,Bachelor's degree or higher,STEM workers,2,9.5
11018,r001_8,Alabama,Bachelor's degree or higher,S&E,2,4.1
11018,r001_9,Alabama,Bachelor's degree or higher,S&E-related workers,2,4.5
11018,r001_10,Alabama,Bachelor's degree or higher,STEM middle-skill workers,2,0.9
11018,r001_11,Alabama,Without a bachelor's degree,Non-STEM workers,2,52.8
11018,r001_12,Alabama,Without a bachelor's degree,STEM workers,2,15.5
11018,r001_13,Alabama,Without a bachelor's degree,S&E workers,2,1.1
11018,r001_14,Alabama,Without a bachelor's degree,S&E-related workers,2,4.4
11018,r001_15,Alabama,Without a bachelor's degree,STEM middle-skill workers,2,10.1
11018,r002_1,Alaska,All education levels,Non-STEM workers,2,75.2
11018,r002_2,Alaska,All education levels,STEM workers,2,24.8
11018,r002_3,Alaska,All education levels,S&E workers,2,4.4
11018,r002_4,Alaska,All education levels,S&E-related workers,2,8.9
11018,r002_5,Alaska,All education levels,STEM middle-skill workers,2,11.4
11018,r002_6,Alaska,Bachelor's degree or higher,Non-STEM workers,2,23.5
11018,r002_7,Alaska,Bachelor's degree or higher,STEM workers,2,9.9
11018,r002_8,Alaska,Bachelor's degree or higher,S&E,2,3.4
11018,r002_9,Alaska,Bachelor's degree or higher,S&E-related workers,2,5.6
11018,r002_10,Alaska,Bachelor's degree or higher,STEM middle-skill workers,2,0.9
11018,r002_11,Alaska,Without a bachelor's degree,Non-STEM workers,2,51.7
11018,r002_12,Alaska,Without a bachelor's degree,STEM workers,2,14.9
11018,r002_13,Alaska,Without a bachelor's degree,S&E workers,2,1.0
11018,r002_14,Alaska,Without a bachelor's degree,S&E-related workers,2,3.3
11018,r002_15,Alaska,Without a bachelor's degree,STEM middle-skill workers,2,10.6
11018,r003_1,Arizona,All education levels,Non-STEM workers,2,76.4
11018,r003_2,Arizona,All education levels,STEM workers,2,23.6
11018,r003_3,Arizona,All education levels,S&E workers,2,6.6
11018,r003_4,Arizona,All education levels,S&E-related workers,2,8.7
11018,r003_5,Arizona,All education levels,STEM middle-skill workers,2,8.3
11018,r003_6,Arizona,Bachelor's degree or higher,Non-STEM workers,2,23.6
11018,r003_7,Arizona,Bachelor's degree or higher,STEM workers,2,10.7
11018,r003_8,Arizona,Bachelor's degree or higher,S&E,2,4.7
11018,r003_9,Arizona,Bachelor's degree or higher,S&E-related workers,2,5.2
11018,r003_10,Arizona,Bachelor's degree or higher,STEM middle-skill workers,2,0.8
11018,r003_11,Arizona,Without a bachelor's degree,Non-STEM workers,2,52.8
11018,r003_12,Arizona,Without a bachelor's degree,STEM workers,2,12.9
11018,r003_13,Arizona,Without a bachelor's degree,S&E workers,2,2.0
11018,r003_14,Arizona,Without a bachelor's degree,S&E-related workers,2,3.5
11018,r003_15,Arizona,Without a bachelor's degree,STEM middle-skill workers,2,7.5
11018,r004_1,Arkansas,All education levels,Non-STEM workers,2,76.0
11018,r004_2,Arkansas,All education levels,STEM workers,2,24.0
11018,r004_3,Arkansas,All education levels,S&E workers,2,3.5
11018,r004_4,Arkansas,All education levels,S&E-related workers,2,8.9
11018,r004_5,Arkansas,All education levels,STEM middle-skill workers,2,11.6
11018,r004_6,Arkansas,Bachelor's degree or higher,Non-STEM workers,2,20.3
11018,r004_7,Arkansas,Bachelor's degree or higher,STEM workers,2,8.5
11018,r004_8,Arkansas,Bachelor's degree or higher,S&E,2,2.4
11018,r004_9,Arkansas,Bachelor's degree or higher,S&E-related workers,2,4.9
11018,r004_10,Arkansas,Bachelor's degree or higher,STEM middle-skill workers,2,1.3
11018,r004_11,Arkansas,Without a bachelor's degree,Non-STEM workers,2,55.7
11018,r004_12,Arkansas,Without a bachelor's degree,STEM workers,2,15.5
11018,r004_13,Arkansas,Without a bachelor's degree,S&E workers,2,1.1
11018,r004_14,Arkansas,Without a bachelor's degree,S&E-related workers,2,4.1
11018,r004_15,Arkansas,Without a bachelor's degree,STEM middle-skill workers,2,10.3
11018,r005_1,California,All education levels,Non-STEM workers,2,76.7
11018,r005_2,California,All education levels,STEM workers,2,23.3
11018,r005_3,California,All education levels,S&E workers,2,7.5
11018,r005_4,California,All education levels,S&E-related workers,2,8.0
11018,r005_5,California,All education levels,STEM middle-skill workers,2,7.9
