table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_level_4,academic_institution_hierarchy_depth,field_doctorate_recipients
1171,r001,Female,Female,,,,1,
1171,r002,Female -> All institutions,Female,All institutions,,,2,78095
1171,r003,Female -> All institutions -> Top 50 institutions,Female,All institutions,Top 50 institutions,,3,37251
1171,r004,"Female -> All institutions -> Top 50 institutions -> Alliant International U., San Diego",Female,All institutions,Top 50 institutions,"Alliant International U., San Diego",4,1308
1171,r005,"Female -> All institutions -> Top 50 institutions -> U. Michigan, Ann Arbor",Female,All institutions,Top 50 institutions,"U. Michigan, Ann Arbor",4,1143
1171,r006,"Female -> All institutions -> Top 50 institutions -> U. California, Berkeley",Female,All institutions,Top 50 institutions,"U. California, Berkeley",4,1093
1171,r007,Female -> All institutions -> Top 50 institutions -> U. Wisconsin-Madison,Female,All institutions,Top 50 institutions,U. Wisconsin-Madison,4,1028
1171,r008,Female -> All institutions -> Top 50 institutions -> U. Florida,Female,All institutions,Top 50 institutions,U. Florida,4,1022
1171,r009,"Female -> All institutions -> Top 50 institutions -> U. California, Davis",Female,All institutions,Top 50 institutions,"U. California, Davis",4,999
1171,r010,Female -> All institutions -> Top 50 institutions -> Stanford U.,Female,All institutions,Top 50 institutions,Stanford U.,4,973
1171,r011,Female -> All institutions -> Top 50 institutions -> Harvard U.,Female,All institutions,Top 50 institutions,Harvard U.,4,951
1171,r012,"Female -> All institutions -> Top 50 institutions -> U. California, Los Angeles",Female,All institutions,Top 50 institutions,"U. California, Los Angeles",4,922
1171,r013,"Female -> All institutions -> Top 50 institutions -> U. Minnesota, Twin Cities",Female,All institutions,Top 50 institutions,"U. Minnesota, Twin Cities",4,916
1171,r014,Female -> All institutions -> Top 50 institutions -> Capella U.,Female,All institutions,Top 50 institutions,Capella U.,4,886
1171,r015,"Female -> All institutions -> Top 50 institutions -> Texas A&M U., College Station and Health Science Center",Female,All institutions,Top 50 institutions,"Texas A&M U., College Station and Health Science Center",4,879
1171,r016,"Female -> All institutions -> Top 50 institutions -> U. Illinois, Urbana-Champaign",Female,All institutions,Top 50 institutions,"U. Illinois, Urbana-Champaign",4,874
1171,r017,"Female -> All institutions -> Top 50 institutions -> U. Washington, Seattle",Female,All institutions,Top 50 institutions,"U. Washington, Seattle",4,874
1171,r018,Female -> All institutions -> Top 50 institutions -> Purdue U.,Female,All institutions,Top 50 institutions,Purdue U.,4,867
1171,r019,"Female -> All institutions -> Top 50 institutions -> U. Texas, Austin",Female,All institutions,Top 50 institutions,"U. Texas, Austin",4,839
1171,r020,Female -> All institutions -> Top 50 institutions -> Walden U.,Female,All institutions,Top 50 institutions,Walden U.,4,820
1171,r021,Female -> All institutions -> Top 50 institutions -> Ohio State U.,Female,All institutions,Top 50 institutions,Ohio State U.,4,819
1171,r022,Female -> All institutions -> Top 50 institutions -> Cornell U.,Female,All institutions,Top 50 institutions,Cornell U.,4,775
1171,r023,"Female -> All institutions -> Top 50 institutions -> Rutgers, State U. New Jersey, New Brunswick",Female,All institutions,Top 50 institutions,"Rutgers, State U. New Jersey, New Brunswick",4,775
1171,r024,Female -> All institutions -> Top 50 institutions -> Pennsylvania State U.,Female,All institutions,Top 50 institutions,Pennsylvania State U.,4,766
1171,r025,Female -> All institutions -> Top 50 institutions -> Columbia U. in the City of New York,Female,All institutions,Top 50 institutions,Columbia U. in the City of New York,4,758
1171,r026,"Female -> All institutions -> Top 50 institutions -> U. California, San Diego",Female,All institutions,Top 50 institutions,"U. California, San Diego",4,754
1171,r027,Female -> All institutions -> Top 50 institutions -> Massachusetts Institute of Technology,Female,All institutions,Top 50 institutions,Massachusetts Institute of Technology,4,749
1171,r028,Female -> All institutions -> Top 50 institutions -> North Carolina State U.,Female,All institutions,Top 50 institutions,North Carolina State U.,4,743
