table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_level_5,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_number,field_all_fields_median,field_science_and_engineering_total_number,field_science_and_engineering_total_median,field_agricultural_sciences_and_natural_resources_number,field_agricultural_sciences_and_natural_resources_median,field_biological_and_biomedical_sciences_number,field_biological_and_biomedical_sciences_median,field_computer_and_information_sciences_number,field_computer_and_information_sciences_median,field_engineering_number,field_engineering_median,field_geosciences_atmospheric_and_ocean_sciences_number,field_geosciences_atmospheric_and_ocean_sciences_median,field_health_sciences_number,field_health_sciences_median,field_mathematics_and_statistics_number,field_mathematics_and_statistics_median,field_multidisciplinary_interdisciplinary_sciences_number,field_multidisciplinary_interdisciplinary_sciences_median,field_physical_sciences_number,field_physical_sciences_median,field_psychology_number,field_psychology_median,field_social_sciences_number,field_social_sciences_median
9583,r001,Years since bachelor's degree,Years since bachelor's degree,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r002,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,,,,2,54514,8.6,43529,8.0,1232,8.6,8983,7.9,2065,8.4,10207,7.5,1114,7.9,2556,11.2,2064,7.0,1697,8.3,5187,6.6,3590,8.6,4834,10.3
9583,r003,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r004,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex -> Male,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,Male,,4,28906,8.3,24366,7.9,594,8.6,4171,8.0,1560,8.3,7428,7.6,600,8.0,787,10.0,1463,7.0,1078,8.1,3485,6.8,907,8.6,2293,10.0
9583,r005,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Sex -> Female,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Sex,Female,,4,25603,9.0,19162,8.3,638,8.5,4812,7.7,505,9.0,2779,7.1,514,7.8,1769,12.0,601,7.1,619,9.0,1702,6.4,2683,8.6,2540,10.5
9583,r006,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r007,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status -> U.S. citizen or permanent resident,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,U.S. citizen or permanent resident,,4,34628,8.8,26270,8.0,746,8.3,6640,7.6,757,8.6,4351,7.0,722,7.7,1903,12.0,949,6.7,800,8.4,3056,6.3,3192,8.4,3154,10.6
9583,r008,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Citizenship status -> Temporary visa holder,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Citizenship status,Temporary visa holder,,4,19075,8.4,16646,8.2,472,8.6,2247,8.3,1280,8.3,5703,7.9,377,8.2,609,9.7,1076,7.2,873,8.3,2067,7.3,321,8.9,1621,9.9
9583,r009,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents),Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9583,r010,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3306,8.6,2488,7.9,68,8.0,721,7.7,42,8.5,359,6.6,60,7.5,151,10.1,59,6.3,80,8.4,256,6.3,362,8.3,330,10.3
