table_id,row_id,industry_or_technology,definition
1965,r001,3D printing,"Three-dimensional (3D) printing is also known as additive manufacturing and refers to the manufacturing process and all technology related to printing a 3D object. 3D printing encompasses the actual printer as well as software, including 3D versions of computer-aided design, which utilizes multiple data points to create cross-sectional patterns of the object to be formed."
1965,r002,Advanced manufacturing,"Advanced manufacturing refers to companies utilizing innovative and novel technologies to improve products or processes related to manufacturing. This encompasses technologies such as 3D printing, sensors and Internet of Things platforms, automation and robotics, artificial intelligence/ machine learning and big data applications, wearable devices and exoskeletons, augmented and virtual reality applications, as well as software relating to enterprise resource planning and warehouse management systems."
1965,r003,Advertising technology,"Advertising technology consists of all technologies, software, and services used for delivering, controlling, and targeting online advertising. This includes an extensive range of products and services (e.g., ad exchanges, contextual advertising, personalized advertising, adware, and retargeting)."
1965,r004,Agricultural technology,"Agricultural technology includes companies that provide services, engage in scientific research, or develop technology with the express purpose of enhancing the sustainability of agriculture. This includes wireless sensors to monitor soil, air, and animal health; hydroponic and aquaponic systems; remote-controlled irrigation systems; aerial photo technology to analyze field conditions; biotechnology platforms for crop yields; data analysis software to augment planting, herd, poultry, and livestock management; automation software to manage farm task workflows; and accounting software to track and manage facility and task expenses."
1965,r005,Artificial intelligence and machine learning,"Companies in artificial intelligence (AI) and machine learning develop technologies that enable computers to autonomously learn, deduce, and act through utilization of large data sets. The technology enables development of systems that collect and store massive amounts of data and analyze that content to make decisions based on probability and statistical analysis. Applications for AI and machine learning include speech recognition, computer vision, robotic control, and accelerating processes in the empirical sciences where large data sets are essential, such as gene-sequencing in life sciences."
1965,r006,Audio technology,"Audio technology (or developers of software and hardware technology for the music industry) includes providers of on-demand music services, such as Spotify and Apple Music, that connect products from music artists with the public. This also includes developers of audio technology for the professional and consumer sound markets, including earphones, transmitters, automobile sound systems, and home and studio systems. NOTE: Audio technology does NOT include retailers of physical audio products, such as electronics stores or installers of home audio equipment."
1965,r007,Augmented reality,"Augmented reality (AR) is a technology which overlays superimposed computer-generated images over a user’s view of the real world, thus altering and/ or enhancing one's current perception of reality. Companies in this space are involved with hardware and software development, content creation, and distribution related to AR products."
1965,r008,Autonomous cars,"Autonomous cars are street-legal vehicles that can sense their environments and navigate without human interaction. Companies in this field include related technology, which is based on radar, lidar, global positioning system (GPS), odometry, software, and computer vision."
1965,r009,B2B payments,"Business-to-business (B2B) payment companies develop software intended to facilitate transactions between businesses. This technology is primarily intended to improve the speed, security, and affordability of existing B2B payment solutions. This includes companies involved in accounts receivable and accounts payable software, electronic invoicing, international payments networks, blockchain B2B solutions, payments analytics, virtual payment cards, and supply chain and procurement software."
1965,r010,Beauty,"This vertical encompasses beauty companies that are incorporating digital technologies into their products or services, providing bespoke products that target a niche group of users, or are manufacturing and marketing their products as natural, clean, and organic."
1965,r011,Big data,"Big data companies provide a product or service whose core technology handles data that are too large for traditional database systems, usually due to data volume, data velocity, or data variety."
