table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_new_or_significantly_improved_products_companies_number_a,field_new_or_significantly_improved_products_yesb,field_new_or_significantly_improved_products_noc,field_new_or_significantly_improved_products_new_to_company_s_market_companies_number_d,field_new_or_significantly_improved_products_new_to_company_s_market_yes,field_new_or_significantly_improved_products_new_to_company_s_market_no,field_new_or_significantly_improved_products_new_only_to_company_companies_number_d,field_new_or_significantly_improved_products_new_only_to_company_yes,field_new_or_significantly_improved_products_new_only_to_company_no
783,r001,Industry (number),Industry (number),,,,,1,,,,,,,,,,
783,r002,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",1406937,146578,1260359,89692,88363,1330,130747,98119,32628
783,r003,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,112249,27267,84982,18535,17706,829,25023,18603,6421
783,r004,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,9659,1729,7930,1246,1214,32,1497,1124,373
783,r005,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,2370,475,1894,286,283,3,449,345,103
783,r006,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,4301,731,3570,572,560,12,679,494,184
783,r007,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,5125,662,4463,314,311,3,650,450,201
783,r008,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,1753,503,1250,374,370,4,495,314,182
783,r009,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,8154,1284,6870,567,561,6,1271,995,276
783,r010,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,247,79,167,53,,,63,48,16
783,r011,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,5293,1906,3387,1418,1299,119,1803,1299,504
783,r012,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,507,193,315,161,140,20,180,134,46
783,r013,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,858,396,462,326,322,4,367,146,221
783,r014,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,331,91,240,86,81,5,87,68,18
783,r015,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,1089,367,721,282,219,63,349,264,86
783,r016,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,956,379,576,266,257,10,348,309,39
783,r017,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259",1552,480,1072,298,281,17,471,377,93
783,r018,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,5103,1374,3729,959,,,1279,925,354
783,r019,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,4074,590,3484,378,367,11,537,403,134
783,r020,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,2064,270,1795,229,219,10,261,197,65
783,r021,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,25110,4455,20655,2588,2545,43,4166,3180,986
783,r022,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,11884,4025,7859,2686,2495,191,3515,2691,824
783,r023,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,670,293,377,224,216,7,271,196,75
783,r024,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,208,44,165,36,23,14,41,34,7
783,r025,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,562,364,199,288,285,3,363,348,14
783,r026,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,10444,3325,7118,2138,1972,166,2841,2113,728
783,r027,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,5750,2913,2837,2296,2160,137,2601,1797,803
783,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,923,524,399,408,388,20,399,324,75
783,r029,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,2012,812,1200,585,545,40,766,579,187
783,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,2033,1031,1002,843,788,55,921,584,337
783,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517",340,196,144,131,124,7,178,114,65
783,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,186,78,108,54,,,76,60,16
783,r033,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,1507,756,750,658,,,667,410,257
783,r034,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,781,546,235,460,439,22,515,311,204
783,r035,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,2482,1057,1424,693,654,39,993,789,204
783,r036,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,4458,1473,2986,1070,982,88,1304,967,337
783,r037,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,2696,929,1768,621,556,65,808,669,138
783,r038,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,773,177,596,114,103,11,157,130,28
783,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,748,165,583,104,93,11,147,123,24
783,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts ",5,"336414–15, 336419",25,12,13,10,10,0,11,7,4
783,r041,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,29,7,22,7,,,7,,
783,r042,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,960,360,600,328,,,332,,
783,r043,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,6049,734,5315,426,420,6,708,550,158
783,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,8374,3007,5367,2381,2301,81,2753,2036,717
783,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies ,,4,3391,3058,1279,1779,1061,1000,61,1204,722,482
783,r046,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,5316,1728,3588,1321,1301,20,1548,1314,234
783,r047,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81",1294688,119311,1175376,71157,70656,501,105723,79516,26208
783,r048,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,6395,422,5972,171,163,8,378,368,10
783,r049,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,835,100,736,9,6,3,63,56,7
783,r050,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,92602,15421,77182,10955,10940,14,13419,9508,3911
783,r051,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,3872,889,2983,629,629,0,848,740,108
783,r052,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,38646,1838,36808,766,763,3,1338,575,763
783,r053,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,18277,4817,13460,3006,2756,250,4364,3235,1129
783,r054,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,6327,1776,4551,1267,1211,56,1520,1139,381
783,r055,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,3855,530,3325,325,325,0,421,379,42
783,r056,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,2472,1246,1226,942,886,56,1098,759,339
783,r057,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,2766,615,2150,395,364,31,604,543,61
783,r058,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,3768,1512,2257,753,623,130,1463,1114,350
783,r059,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,5415,914,4501,591,558,32,777,439,338
783,r060,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,47782,2589,45193,822,810,12,2582,2000,582
783,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,39230,1654,37576,598,595,3,1400,1392,8
783,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,568,238,330,235,,,235,232,3
