table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
7972,r001,All HBCUs,All HBCUs,,1,-,"['549,289', '']","['14,383', '']","['25,515', '']","['310,027', '']","['6,443', '']","['52,735', '']","['6,323', '']","['20,135', '']","['1,952', '']","['66,548', '']","['45,228', '']"
7972,r002,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,1,"['52,412', '']","['1,747', '']","['289', '']","['30,787', '']","['198', '']","['5,720', '']","['2,214', '']","['952', '']","['0', '']","['9,535', '']","['970', '']"
7972,r003,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,2,"['47,124', '']","['16', '']","['5,633', '']","['23,507', '']","['4', '']","['1,346', '']","['212', '']","['5', '']","['0', '']","['5,222', '']","['11,179', '']"
7972,r004,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,3,"['40,751', '']","['1,227', '']","['0', '']","['20,086', '']","['797', '']","['1,158', '']","['236', '']","['69', '']","['0', '']","['11,616', '']","['5,562', '']"
7972,r005,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,4,"['32,637', '']","['0', '']","['0', '']","['32,637', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7972,r006,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,5,"['26,880', 'i']","['454', 'i']","['314', 'i']","['21,260', 'i']","['116', 'i']","['435', 'i']","['259', 'i']","['509', 'i']","['0', 'i']","['3,062', 'i']","['471', 'i']"
7972,r007,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,6,"['23,193', '']","['334', '']","['377', '']","['14,196', '']","['3', '']","['2,304', '']","['1,144', '']","['528', '']","['0', '']","['308', '']","['3,999', '']"
7972,r008,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,7,"['21,355', '']","['463', '']","['0', '']","['8,136', '']","['1,146', '']","['169', '']","['0', '']","['5,828', '']","['85', '']","['5,528', '']","['0', '']"
7972,r009,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,8,"['20,628', '']","['660', '']","['3,298', '']","['5,810', '']","['146', '']","['774', '']","['9', '']","['160', '']","['0', '']","['8,031', '']","['1,740', '']"
7972,r010,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,9,"['17,582', '']","['188', '']","['0', '']","['8,187', '']","['81', '']","['1,348', '']","['292', '']","['17', '']","['67', '']","['4,687', '']","['2,715', '']"
7972,r011,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,10,"['16,157', '']","['662', '']","['2', '']","['3,183', '']","['44', '']","['8,231', '']","['174', '']","['73', '']","['217', '']","['2,236', '']","['1,335', '']"
7972,r012,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,11,"['15,840', '']","['0', '']","['0', '']","['15,840', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7972,r013,All HBCUs -> U. of the Virgin Islands,All HBCUs,U. of the Virgin Islands,2,12,"['15,231', '']","['90', '']","['6,508', '']","['6,045', '']","['439', '']","['1,069', '']","['0', '']","['248', '']","['0', '']","['832', '']","['0', '']"
7972,r014,All HBCUs -> Alcorn State U.,All HBCUs,Alcorn State U.,2,13,"['14,188', '']","['0', '']","['0', '']","['6,826', '']","['0', '']","['0', '']","['0', '']","['7,181', '']","['0', '']","['181', '']","['0', '']"
7972,r015,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,14,"['14,105', '']","['157', '']","['294', '']","['6,109', '']","['0', '']","['3,257', '']","['0', '']","['250', '']","['0', '']","['1,773', '']","['2,265', '']"
7972,r016,All HBCUs -> Xavier U. Louisiana,All HBCUs,Xavier U. Louisiana,2,15,"['12,799', '']","['652', '']","['0', '']","['3,511', '']","['0', '']","['8,440', '']","['0', '']","['0', '']","['0', '']","['57', '']","['139', '']"
7972,r017,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,16,"['11,669', '']","['994', '']","['2,881', '']","['1,685', '']","['344', '']","['3,409', '']","['0', '']","['1,041', '']","['0', '']","['827', '']","['488', '']"
7972,r018,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,17,"['10,123', '']","['0', '']","['8', '']","['7,191', '']","['217', '']","['0', '']","['95', '']","['0', '']","['0', '']","['1,273', '']","['1,339', '']"
7972,r019,All HBCUs -> Texas Southern U.,All HBCUs,Texas Southern U.,2,18,"['9,128', '']","['136', '']","['79', '']","['5,033', '']","['167', '']","['1,168', '']","['425', '']","['845', '']","['0', '']","['27', '']","['1,248', '']"
7972,r020,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,19,"['9,065', 'i']","['307', 'i']","['0', 'i']","['5,357', 'i']","['74', 'i']","['627', 'i']","['171', 'i']","['283', 'i']","['0', 'i']","['1,714', 'i']","['532', 'i']"
7972,r021,All HBCUs -> Clark Atlanta U.,All HBCUs,Clark Atlanta U.,2,20,"['8,892', '']","['160', '']","['0', '']","['6,614', '']","['286', '']","['1,616', '']","['0', '']","['0', '']","['0', '']","['36', '']","['180', '']"
7972,r022,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,21,"['8,756', '']","['15', '']","['2', '']","['8,546', '']","['193', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7972,r023,All HBCUs -> Central State U.,All HBCUs,Central State U.,2,22,"['8,751', '']","['0', '']","['102', '']","['8,134', '']","['69', '']","['67', '']","['0', '']","['0', '']","['168', '']","['211', '']","['0', '']"
7972,r024,"All HBCUs -> U. Arkansas, Pine Bluff",All HBCUs,"U. Arkansas, Pine Bluff",2,23,"['8,713', '']","['0', '']","['0', '']","['6,852', '']","['3', '']","['1,175', '']","['0', '']","['0', '']","['683', '']","['0', '']","['0', '']"
7972,r025,"All HBCUs -> U. Maryland, Eastern Shore",All HBCUs,"U. Maryland, Eastern Shore",2,24,"['8,636', '']","['0', '']","['4,182', '']","['4,310', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['144', '']","['0', '']"
7972,r026,All HBCUs -> Winston-Salem State U.,All HBCUs,Winston-Salem State U.,2,25,"['8,123', '']","['590', '']","['0', '']","['3,530', '']","['0', '']","['956', '']","['356', '']","['1,458', '']","['0', '']","['0', '']","['1,233', '']"
7972,r027,All HBCUs -> U. of the District of Columbia,All HBCUs,U. of the District of Columbia,2,26,"['8,104', '']","['242', '']","['177', '']","['3,054', '']","['447', '']","['0', '']","['0', '']","['0', '']","['0', '']","['3,134', '']","['1,050', '']"
