table_id,row_id,ethnicity_race_and_debt_level_full_path,ethnicity_race_and_debt_level_level_1,ethnicity_race_and_debt_level_level_2,ethnicity_race_and_debt_level_level_3,ethnicity_race_and_debt_level_level_4,ethnicity_race_and_debt_level_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
987,r001,All U.S. citizen and permanent resident doctorate recipients,All U.S. citizen and permanent resident doctorate recipients,,,,1,,,,,,,,,
987,r002,All U.S. citizen and permanent resident doctorate recipients -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Total (number)<sup>c</sup>,,,2,33385,8368,3528,1590,6340,3995,3776,4034,1754
987,r003,"All U.S. citizen and permanent resident doctorate recipients -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,"Debt > $30,000 (%)",,,2,24.1,18.0,7.8,10.4,36.4,9.2,40.0,29.8,40.6
987,r004,All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino,All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,,,2,,,,,,,,,
987,r005,All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,Total (number)<sup>c</sup>,,3,2391,582,209,76,531,272,305,293,123
987,r006,"All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,"Debt > $30,000 (%)",,3,29.9,19.4,8.6,13.2,41.2,12.9,49.8,35.5,52.0
987,r007,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,
987,r008,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,,,,,,,,,
987,r009,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Total (number)<sup>c</sup>,4,100,25,6,,22,10,20,,
987,r010,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,"Debt > $30,000 (%)",4,36.0,32.0,0.0,0.0,40.9,,50.0,,
