table_id,row_id,employer_type,veteran_status,s_e_occupations,s_e_related_occupations,stem_middle_skill_occupations
11028,r001,For-profit employers,Veterans,9.3,7.6,17.2
11028,r002,,Nonveterans,6.7,8.1,9.8
11028,r003,Nonprofit employers,Veterans,6.6,21.6,6.7
11028,r004,,Nonveterans,4.6,22.0,2.6
11028,r005,Federal government,Veterans,15.0,9.8,10.0
11028,r006,,Nonveterans,15.0,9.8,6.0
11028,r007,State government,Veterans,8.9,8.1,7.5
11028,r008,,Nonveterans,7.2,8.7,3.4
11028,r009,Local government,Veterans,4.4,3.5,15.1
11028,r010,,Nonveterans,3.0,4.9,6.1
11028,r011,Self-employed,Veterans,3.2,5.8,16.2
11028,r012,,Nonveterans,2.7,5.5,12.7
