table_id,row_id,_b_ethnicity_race_and_citizenship_status_b_full_path,_b_ethnicity_race_and_citizenship_status_b_level_1,_b_ethnicity_race_and_citizenship_status_b_level_2,_b_ethnicity_race_and_citizenship_status_b_level_3,_b_ethnicity_race_and_citizenship_status_b_level_4,_b_ethnicity_race_and_citizenship_status_b_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7530,r001,Female doctorate recipients,Female doctorate recipients,,,,1,22699,23526,24365,24813,25347,25222,25084,25309,25488,25364,24156
7530,r002,Female doctorate recipients -> U.S. citizen or permanent resident,Female doctorate recipients,U.S. citizen or permanent resident,,,2,16329,16909,17414,17343,17853,18147,18170,18037,17963,17697,16441
7530,r003,Female doctorate recipients -> Temporary visa holder,Female doctorate recipients,Temporary visa holder,,,2,5056,5224,5571,5633,5734,5805,5686,6274,6556,6606,6239
7530,r004,Female doctorate recipients -> Unknown citizenship,Female doctorate recipients,Unknown citizenship,,,2,1314,1393,1380,1837,1760,1270,1228,998,969,1061,1476
7530,r005,Female doctorate recipients -> Hispanic or Latino,Female doctorate recipients,Hispanic or Latino,,,2,1421,1515,1550,1559,1664,1806,1761,1726,1989,2061,2008
7530,r006,Female doctorate recipients -> Hispanic or Latino -> U.S. citizen or permanent resident,Female doctorate recipients,Hispanic or Latino,U.S. citizen or permanent resident,,3,1096,1196,1230,1191,1330,1414,1384,1375,1542,1584,1577
7530,r007,Female doctorate recipients -> Hispanic or Latino -> Temporary visa holder,Female doctorate recipients,Hispanic or Latino,Temporary visa holder,,3,324,317,309,364,330,386,363,350,440,475,424
7530,r008,Female doctorate recipients -> Hispanic or Latino -> Unknown citizenship,Female doctorate recipients,Hispanic or Latino,Unknown citizenship,,3,1,2,11,4,4,6,14,1,7,2,7
7530,r009,Female doctorate recipients -> Not Hispanic or Latino,Female doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,,,
7530,r010,Female doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,Female doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,79,65,64,55,77,73,62,72,66,61,65
7530,r011,Female doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> U.S. citizen or permanent resident,Female doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,U.S. citizen or permanent resident,4,77,63,63,54,73,71,61,72,63,58,62
7530,r012,Female doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Temporary visa holder<sup>a</sup>,Female doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Temporary visa holder<sup>a</sup>,4,,,,,,,,0,,,
7530,r013,Female doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Unknown citizenship,Female doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Unknown citizenship,4,,,,,,,,0,,,
7530,r014,Female doctorate recipients -> Not Hispanic or Latino -> Asian,Female doctorate recipients,Not Hispanic or Latino,Asian,,3,4904,5117,5392,5465,5598,5513,5588,5899,5999,5902,5665
