table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_received,field_total_from_educational_pass_through_entities,field_total_from_business,field_total_from_nonprofit_organizations,field_total_from_other_pass_through_entities,field_federally_financed_all_r_d_expenditures_received,field_federally_financed_from_educational_pass_through_entities,field_federally_financed_from_business,field_federally_financed_from_nonprofit_organizations,field_federally_financed_from_other_pass_through_entities
3188,r001,United States,United States,,,,1,"['7,604,984', '']","['3,781,448', '']","['1,180,453', '']","['1,518,623', '']","['1,124,460', '']","['6,416,042', '']","['3,381,005', '']","['940,290', '']","['1,159,616', '']","['935,131', '']"
3188,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3188,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3188,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['854', '']","['854', '']","['0', '']","['0', '']","['0', '']","['807', '']","['807', '']","['0', '']","['0', '']","['0', '']"
3188,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['414', '']","['414', '']","['0', '']","['0', '']","['0', '']","['414', '']","['414', '']","['0', '']","['0', '']","['0', '']"
3188,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['31,990', 'i']","['7,526', 'i']","['8,132', 'i']","['589', 'i']","['15,743', 'i']","['29,681', '']","['6,678', '']","['7,767', '']","['212', '']","['15,024', '']"
3188,r007,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['15', '']","['0', '']","['0', '']","['0', '']","['15', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3188,r008,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['65,902', '']","['30,762', '']","['26,835', '']","['6,575', '']","['1,730', '']","['65,902', '']","['30,762', '']","['26,835', '']","['6,575', '']","['1,730', '']"
3188,r009,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['34,840', '']","['2,329', '']","['28,344', '']","['1,342', '']","['2,825', '']","['32,941', '']","['2,328', '']","['27,275', '']","['1,041', '']","['2,297', '']"
3188,r010,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['17,839', '']","['4,093', '']","['1,813', '']","['5,157', '']","['6,776', '']","['17,839', '']","['4,093', '']","['1,813', '']","['5,157', '']","['6,776', '']"
3188,r011,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['4,806', '']","['2,236', '']","['1,579', '']","['289', '']","['702', '']","['3,087', '']","['2,236', '']","['171', '']","['43', '']","['637', '']"
3188,r012,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3188,r013,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['1,052', '']","['1,000', '']","['49', '']","['3', '']","['0', '']","['1,052', '']","['1,000', '']","['49', '']","['3', '']","['0', '']"
3188,r014,United States -> Alaska,United States,Alaska,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3188,r015,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3188,r016,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['3,365', '']","['1,251', '']","['45', '']","['367', '']","['1,702', '']","['3,317', '']","['1,251', '']","['45', '']","['337', '']","['1,684', '']"
3188,r017,"United States -> Alaska -> Public -> U. Alaska, Fairbanks",United States,Alaska,Public,"U. Alaska, Fairbanks",4,"['8,973', '']","['2,362', '']","['537', '']","['5,630', '']","['444', '']","['8,171', '']","['2,136', '']","['180', '']","['5,518', '']","['337', '']"
3188,r018,"United States -> Alaska -> Public -> U. Alaska, Southeast",United States,Alaska,Public,"U. Alaska, Southeast",4,"['59', '']","['0', '']","['0', '']","['35', '']","['24', '']","['59', '']","['0', '']","['0', '']","['35', '']","['24', '']"
3188,r019,United States -> Alaska -> Private,United States,Alaska,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3188,r020,United States -> Alaska -> Private -> Alaska Pacific U.,United States,Alaska,Private,Alaska Pacific U.,4,"['48', '']","['48', '']","['0', '']","['0', '']","['0', '']","['48', '']","['48', '']","['0', '']","['0', '']","['0', '']"
3188,r021,United States -> Arizona,United States,Arizona,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3188,r022,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3188,r023,United States -> Arizona -> Public -> Arizona State U.,United States,Arizona,Public,Arizona State U.,4,"['66,703', '']","['22,849', '']","['5,482', '']","['35,562', '']","['2,810', '']","['40,125', '']","['21,242', '']","['4,891', '']","['12,020', '']","['1,972', '']"
3188,r024,United States -> Arizona -> Public -> Dine C.,United States,Arizona,Public,Dine C.,4,"['116', '']","['53', '']","['0', '']","['63', '']","['0', '']","['116', '']","['53', '']","['0', '']","['63', '']","['0', '']"
3188,r025,United States -> Arizona -> Public -> Northern Arizona U.,United States,Arizona,Public,Northern Arizona U.,4,"['5,231', 'i']","['2,657', 'i']","['592', 'i']","['1,472', 'i']","['510', 'i']","['4,663', '']","['2,457', '']","['573', '']","['1,410', '']","['223', '']"
3188,r026,United States -> Arizona -> Public -> U. Arizona,United States,Arizona,Public,U. Arizona,4,"['56,501', 'i']","['26,148', 'i']","['6,895', 'i']","['18,640', 'i']","['4,818', 'i']","['50,876', '']","['24,087', '']","['5,998', '']","['17,716', '']","['3,075', '']"
3188,r027,United States -> Arizona -> Private,United States,Arizona,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3188,r028,United States -> Arizona -> Private -> Southwest C. of Naturopathic Medicine and Health Sciences,United States,Arizona,Private,Southwest C. of Naturopathic Medicine and Health Sciences,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3188,r029,United States -> Arkansas,United States,Arkansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3188,r030,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3188,r031,"United States -> Arkansas -> Public -> Arkansas State U., Jonesboro",United States,Arkansas,Public,"Arkansas State U., Jonesboro",4,"['2,065', '']","['1,220', '']","['0', '']","['0', '']","['845', '']","['2,042', '']","['1,220', '']","['0', '']","['0', '']","['822', '']"
3188,r032,United States -> Arkansas -> Public -> U. Arkansas for Medical Sciences,United States,Arkansas,Public,U. Arkansas for Medical Sciences,4,"['6,831', '']","['3,024', '']","['1,778', '']","['1,022', '']","['1,007', '']","['6,464', '']","['2,657', '']","['1,778', '']","['1,022', '']","['1,007', '']"
3188,r033,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['16,661', '']","['4,412', '']","['1,286', '']","['414', '']","['10,549', '']","['16,099', '']","['3,850', '']","['1,286', '']","['414', '']","['10,549', '']"
3188,r034,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['2,789', '']","['1,159', '']","['155', '']","['0', '']","['1,475', '']","['2,393', '']","['1,048', '']","['141', '']","['0', '']","['1,204', '']"
