table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_employed_college_graduates_total_number_,field_employed_college_graduates_attended_community_college_,field_employed_college_graduates_earned_an_associate_s_degree_,field_recent_graduates_earned_first_bachelor_s_degree_2008_17_total_number_,field_recent_graduates_earned_first_bachelor_s_degree_2008_17_attended_community_college_,field_recent_graduates_earned_first_bachelor_s_degree_2008_17_earned_an_associate_s_degree_,field_past_graduates_earned_first_bachelor_s_degree_2007_or_earlier_total_number_,field_past_graduates_earned_first_bachelor_s_degree_2007_or_earlier_attended_community_college_,field_past_graduates_earned_first_bachelor_s_degree_2007_or_earlier_earned_an_associate_s_degree_
3059,r001,Total,Total,,,,1,44687000,49.2,21.0,14848000,52.3,24.8,29840000,47.6,19.1
3059,r002,Total -> Sex,Total,Sex,,,2,,,,,,,,,
3059,r003,Total -> Sex -> Female ,Total,Sex,Female ,,3,23719000,52.7,22.1,8457000,56.3,25.9,15262000,50.7,20.0
3059,r004,Total -> Sex -> Male ,Total,Sex,Male ,,3,20969000,45.2,19.7,6391000,46.9,23.3,14578000,44.4,18.2
3059,r005,Total -> Ethnicity and race,Total,Ethnicity and race,,,2,,,,,,,,,
3059,r006,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup> ,Total,Ethnicity and race,Hispanic or Latino<sup>a</sup> ,,3,3952000,57.1,26.1,1888000,59.0,31.4,2064000,55.3,21.3
3059,r007,Total -> Ethnicity and race -> Not Hispanic or Latino,Total,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,
3059,r008,Total -> Ethnicity and race -> Not Hispanic or Latino -> Asian,Total,Ethnicity and race,Not Hispanic or Latino,Asian,4,2427000,56.7,19.7,1035000,58.2,21.4,1392000,55.6,18.5
3059,r009,Total -> Ethnicity and race -> Not Hispanic or Latino -> American Indian or Alaska Native ,Total,Ethnicity and race,Not Hispanic or Latino,American Indian or Alaska Native ,4,180000,56.9,23.9,80000,S ,S ,100000,45.0,36.3
3059,r010,Total -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American ,Total,Ethnicity and race,Not Hispanic or Latino,Black or African American ,4,3497000,54.7,26.7,1341000,57.9,31.8,2156000,52.7,23.5
3059,r011,Total -> Ethnicity and race -> Not Hispanic or Latino -> White ,Total,Ethnicity and race,Not Hispanic or Latino,White ,4,33392000,46.8,19.7,9889000,49.1,23.1,23503000,45.8,18.3
3059,r012,Total -> Ethnicity and race -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander ,Total,Ethnicity and race,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander ,4,115000,73.9,21.1,44000,80.4,S ,71000,69.8,13.9
3059,r013,Total -> Ethnicity and race -> Not Hispanic or Latino -> More than one race ,Total,Ethnicity and race,Not Hispanic or Latino,More than one race ,4,1123000,55.7,24.8,570000,56.1,23.3,554000,55.2,26.3
3059,r014,Total -> Disability status<sup>b</sup>,Total,Disability status<sup>b</sup>,,,2,,,,,,,,,
3059,r015,Total -> Disability status<sup>b</sup> -> Without disability,Total,Disability status<sup>b</sup>,Without disability,,3,39402000,48.3,20.4,13309000,50.9,23.8,26093000,46.9,18.6
3059,r016,Total -> Disability status<sup>b</sup> -> With disability,Total,Disability status<sup>b</sup>,With disability,,3,5285000,56.1,25.6,1539000,64.3,33.3,3746000,52.7,22.5
3059,r017,Total -> Professional certification or license,Total,Professional certification or license,,,2,,,,,,,,,
3059,r018,Total -> Professional certification or license -> No certification or license,Total,Professional certification or license,No certification or license,,3,25706000,47.4,20.5,9391000,50.5,23.0,16315000,45.6,19.1
3059,r019,Total -> Professional certification or license -> At least one certification or license ,Total,Professional certification or license,At least one certification or license ,,3,18981000,51.6,21.6,5457000,55.3,27.8,13525000,50.2,19.0
