table_id,row_id,_b_field_and_institution_b_full_path,_b_field_and_institution_b_level_1,_b_field_and_institution_b_level_2,_b_field_and_institution_b_level_3,_b_field_and_institution_b_hierarchy_depth,field_rank,field_totala,field_male,field_female
9500,r001,Science and engineering,Science and engineering,,,1,-,45924,25680,20243
9500,r002,Science and engineering -> From top 20 institutions,Science and engineering,From top 20 institutions,,2,-,12355,7287,5068
9500,r003,"Science and engineering -> From top 20 institutions -> U. Michigan, Ann Arbor",Science and engineering,From top 20 institutions,"U. Michigan, Ann Arbor",3,1,759,458,301
9500,r004,Science and engineering -> From top 20 institutions -> Stanford U.,Science and engineering,From top 20 institutions,Stanford U.,3,2,738,473,265
9500,r005,"Science and engineering -> From top 20 institutions -> U. California, Berkeley",Science and engineering,From top 20 institutions,"U. California, Berkeley",3,3,717,442,275
9500,r006,Science and engineering -> From top 20 institutions -> Massachusetts Institute of Technology,Science and engineering,From top 20 institutions,Massachusetts Institute of Technology,3,4,695,471,224
9500,r007,"Science and engineering -> From top 20 institutions -> Purdue U., West Lafayette",Science and engineering,From top 20 institutions,"Purdue U., West Lafayette",3,5,692,463,229
9500,r008,"Science and engineering -> From top 20 institutions -> U. Illinois, Urbana-Champaign",Science and engineering,From top 20 institutions,"U. Illinois, Urbana-Champaign",3,6,681,438,243
9500,r009,"Science and engineering -> From top 20 institutions -> Texas A&M U., College Station",Science and engineering,From top 20 institutions,"Texas A&M U., College Station",3,7,669,418,251
9500,r010,Science and engineering -> From top 20 institutions -> U. Florida,Science and engineering,From top 20 institutions,U. Florida,3,8,643,354,289
9500,r011,"Science and engineering -> From top 20 institutions -> U. California, Los Angeles",Science and engineering,From top 20 institutions,"U. California, Los Angeles",3,9,642,389,253
9500,r012,"Science and engineering -> From top 20 institutions -> Ohio State U., Columbus",Science and engineering,From top 20 institutions,"Ohio State U., Columbus",3,10,637,390,247
9500,r013,"Science and engineering -> From top 20 institutions -> U. Texas, Austin",Science and engineering,From top 20 institutions,"U. Texas, Austin",3,11,591,373,218
9500,r014,Science and engineering -> From top 20 institutions -> U. Wisconsin-Madison,Science and engineering,From top 20 institutions,U. Wisconsin-Madison,3,12,590,343,247
9500,r015,Science and engineering -> From top 20 institutions -> Harvard U.,Science and engineering,From top 20 institutions,Harvard U.,3,13,582,314,268
9500,r016,Science and engineering -> From top 20 institutions -> Pennsylvania State U.,Science and engineering,From top 20 institutions,Pennsylvania State U.,3,13,582,352,230
9500,r017,"Science and engineering -> From top 20 institutions -> U. Minnesota, Twin Cities",Science and engineering,From top 20 institutions,"U. Minnesota, Twin Cities",3,15,559,284,275
9500,r018,Science and engineering -> From top 20 institutions -> Georgia Institute of Technology,Science and engineering,From top 20 institutions,Georgia Institute of Technology,3,16,536,381,155
9500,r019,"Science and engineering -> From top 20 institutions -> U. California, Davis",Science and engineering,From top 20 institutions,"U. California, Davis",3,17,530,274,256
9500,r020,Science and engineering -> From top 20 institutions -> Walden U.,Science and engineering,From top 20 institutions,Walden U.,3,18,519,149,370
9500,r021,"Science and engineering -> From top 20 institutions -> U. Washington, Seattle",Science and engineering,From top 20 institutions,"U. Washington, Seattle",3,19,511,271,240
9500,r022,Science and engineering -> From top 20 institutions -> Johns Hopkins U.,Science and engineering,From top 20 institutions,Johns Hopkins U.,3,20,482,250,232
9500,r023, Agricultural sciences and natural resources, Agricultural sciences and natural resources,,,1,-,1305,626,679
9500,r024, Agricultural sciences and natural resources -> From top 20 institutions, Agricultural sciences and natural resources,From top 20 institutions,,2,-,701,348,353
9500,r025, Agricultural sciences and natural resources -> From top 20 institutions -> U. Florida, Agricultural sciences and natural resources,From top 20 institutions,U. Florida,3,1,75,37,38
9500,r026," Agricultural sciences and natural resources -> From top 20 institutions -> Texas A&M U., College Station", Agricultural sciences and natural resources,From top 20 institutions,"Texas A&M U., College Station",3,2,49,23,26
9500,r027, Agricultural sciences and natural resources -> From top 20 institutions -> North Carolina State U., Agricultural sciences and natural resources,From top 20 institutions,North Carolina State U.,3,3,46,21,25
9500,r028," Agricultural sciences and natural resources -> From top 20 institutions -> U. Minnesota, Twin Cities", Agricultural sciences and natural resources,From top 20 institutions,"U. Minnesota, Twin Cities",3,4,45,21,24
