table_id,row_id,_b_demographic_characteristic_and_field_b_full_path,_b_demographic_characteristic_and_field_b_level_1,_b_demographic_characteristic_and_field_b_level_2,_b_demographic_characteristic_and_field_b_level_3,_b_demographic_characteristic_and_field_b_level_4,_b_demographic_characteristic_and_field_b_level_5,_b_demographic_characteristic_and_field_b_hierarchy_depth,field_total_number_,field_parental_education_attainment_all,field_parental_education_attainment_high_school_or_less,field_parental_education_attainment_some_collegea,field_parental_education_attainment_bachelor_s_degree,field_parental_education_attainment_master_s_degree,field_parental_education_attainment_professional_degreeb,field_parental_education_attainment_research_doctoral_degree
4670,r001,All doctorate recipients,All doctorate recipients,,,,,1,,,,,,,,
4670,r002,All doctorate recipients -> Father's education<sup>c</sup>,All doctorate recipients,Father's education<sup>c</sup>,,,,2,47254,100.0,23.0,13.8,28.1,17.3,8.0,9.8
4670,r003,All doctorate recipients -> Mother's education<sup>d</sup>,All doctorate recipients,Mother's education<sup>d</sup>,,,,2,47657,100.0,26.5,17.4,29.5,17.8,4.4,4.3
4670,r004,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,,2,,,,,,,,
4670,r005,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,,3,,,,,,,,
4670,r006,All doctorate recipients -> Sex -> Male -> Father's education,All doctorate recipients,Sex,Male,Father's education,,4,25531,100.0,23.4,13.3,28.6,17.2,7.7,9.8
4670,r007,All doctorate recipients -> Sex -> Male -> Mother's education,All doctorate recipients,Sex,Male,Mother's education,,4,25667,100.0,28.8,16.3,29.8,17.0,4.3,3.7
4670,r008,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,,3,,,,,,,,
4670,r009,All doctorate recipients -> Sex -> Female -> Father's education,All doctorate recipients,Sex,Female,Father's education,,4,21723,100.0,22.5,14.5,27.4,17.5,8.3,9.9
4670,r010,All doctorate recipients -> Sex -> Female -> Mother's education,All doctorate recipients,Sex,Female,Mother's education,,4,21990,100.0,23.9,18.7,29.2,18.7,4.5,5.0
