table_id,row_id,time_period,stem_workers_level_1,stem_workers_level_2,stem_workers_hierarchy_depth,value
11002,r001,All workers -> 2016,STEM workers,In the labor force,2,89.9
11002,r002,All workers -> 2016,STEM workers,Employed,2,87.1
11002,r003,All workers -> 2016,STEM workers,Unemployed,2,2.7
11002,r004,All workers -> 2016,STEM workers,Not in the labor force,2,10.1
11002,r005,All workers -> 2016,Non-STEM workers,In the labor force,2,85.8
11002,r006,All workers -> 2016,Non-STEM workers,Employed,2,81.5
11002,r007,All workers -> 2016,Non-STEM workers,Unemployed,2,4.3
11002,r008,All workers -> 2016,Non-STEM workers,Not in the labor force,2,14.2
11002,r009,All workers -> 2017,STEM workers,In the labor force,2,89.9
11002,r010,All workers -> 2017,STEM workers,Employed,2,87.5
11002,r011,All workers -> 2017,STEM workers,Unemployed,2,2.5
11002,r012,All workers -> 2017,STEM workers,Not in the labor force,2,10.1
11002,r013,All workers -> 2017,Non-STEM workers,In the labor force,2,85.9
11002,r014,All workers -> 2017,Non-STEM workers,Employed,2,82.0
11002,r015,All workers -> 2017,Non-STEM workers,Unemployed,2,4.0
11002,r016,All workers -> 2017,Non-STEM workers,Not in the labor force,2,14.1
11002,r017,All workers -> 2018,STEM workers,In the labor force,2,89.9
11002,r018,All workers -> 2018,STEM workers,Employed,2,87.7
11002,r019,All workers -> 2018,STEM workers,Unemployed,2,2.2
11002,r020,All workers -> 2018,STEM workers,Not in the labor force,2,10.1
11002,r021,All workers -> 2018,Non-STEM workers,In the labor force,2,86.1
11002,r022,All workers -> 2018,Non-STEM workers,Employed,2,82.4
11002,r023,All workers -> 2018,Non-STEM workers,Unemployed,2,3.7
11002,r024,All workers -> 2018,Non-STEM workers,Not in the labor force,2,13.9
11002,r025,All workers -> 2019,STEM workers,In the labor force,2,90.0
11002,r026,All workers -> 2019,STEM workers,Employed,2,87.9
11002,r027,All workers -> 2019,STEM workers,Unemployed,2,2.1
11002,r028,All workers -> 2019,STEM workers,Not in the labor force,2,10.0
11002,r029,All workers -> 2019,Non-STEM workers,In the labor force,2,86.5
11002,r030,All workers -> 2019,Non-STEM workers,Employed,2,83.0
11002,r031,All workers -> 2019,Non-STEM workers,Unemployed,2,3.5
11002,r032,All workers -> 2019,Non-STEM workers,Not in the labor force,2,13.5
11002,r033,All workers -> 2021,STEM workers,In the labor force,2,89.1
11002,r034,All workers -> 2021,STEM workers,Employed,2,85.9
11002,r035,All workers -> 2021,STEM workers,Unemployed,2,3.1
11002,r036,All workers -> 2021,STEM workers,Not in the labor force,2,10.9
11002,r037,All workers -> 2021,Non-STEM workers,In the labor force,2,84.7
11002,r038,All workers -> 2021,Non-STEM workers,Employed,2,79.4
11002,r039,All workers -> 2021,Non-STEM workers,Unemployed,2,5.3
11002,r040,All workers -> 2021,Non-STEM workers,Not in the labor force,2,15.3
11002,r041,All workers -> Bachelor's degree or higher -> 2016,STEM workers,In the labor force,2,91.8
11002,r042,All workers -> Bachelor's degree or higher -> 2016,STEM workers,Employed,2,90.1
11002,r043,All workers -> Bachelor's degree or higher -> 2016,STEM workers,Unemployed,2,1.7
11002,r044,All workers -> Bachelor's degree or higher -> 2016,STEM workers,Not in the labor force,2,8.2
11002,r045,All workers -> Bachelor's degree or higher -> 2016,Non-STEM workers,In the labor force,2,88.1
11002,r046,All workers -> Bachelor's degree or higher -> 2016,Non-STEM workers,Employed,2,85.6
11002,r047,All workers -> Bachelor's degree or higher -> 2016,Non-STEM workers,Unemployed,2,2.5
11002,r048,All workers -> Bachelor's degree or higher -> 2016,Non-STEM workers,Not in the labor force,2,11.9
11002,r049,All workers -> Bachelor's degree or higher -> 2017,STEM workers,In the labor force,2,91.5
11002,r050,All workers -> Bachelor's degree or higher -> 2017,STEM workers,Employed,2,89.9
11002,r051,All workers -> Bachelor's degree or higher -> 2017,STEM workers,Unemployed,2,1.6
11002,r052,All workers -> Bachelor's degree or higher -> 2017,STEM workers,Not in the labor force,2,8.5
11002,r053,All workers -> Bachelor's degree or higher -> 2017,Non-STEM workers,In the labor force,2,88.3
11002,r054,All workers -> Bachelor's degree or higher -> 2017,Non-STEM workers,Employed,2,85.9
11002,r055,All workers -> Bachelor's degree or higher -> 2017,Non-STEM workers,Unemployed,2,2.4
11002,r056,All workers -> Bachelor's degree or higher -> 2017,Non-STEM workers,Not in the labor force,2,11.7
11002,r057,All workers -> Bachelor's degree or higher -> 2018,STEM workers,In the labor force,2,91.4
11002,r058,All workers -> Bachelor's degree or higher -> 2018,STEM workers,Employed,2,90.0
11002,r059,All workers -> Bachelor's degree or higher -> 2018,STEM workers,Unemployed,2,1.5
11002,r060,All workers -> Bachelor's degree or higher -> 2018,STEM workers,Not in the labor force,2,8.6
11002,r061,All workers -> Bachelor's degree or higher -> 2018,Non-STEM workers,In the labor force,2,88.5
11002,r062,All workers -> Bachelor's degree or higher -> 2018,Non-STEM workers,Employed,2,86.2
11002,r063,All workers -> Bachelor's degree or higher -> 2018,Non-STEM workers,Unemployed,2,2.3
11002,r064,All workers -> Bachelor's degree or higher -> 2018,Non-STEM workers,Not in the labor force,2,11.5
11002,r065,All workers -> Bachelor's degree or higher -> 2019,STEM workers,In the labor force,2,91.7
11002,r066,All workers -> Bachelor's degree or higher -> 2019,STEM workers,Employed,2,90.2
11002,r067,All workers -> Bachelor's degree or higher -> 2019,STEM workers,Unemployed,2,1.4
11002,r068,All workers -> Bachelor's degree or higher -> 2019,STEM workers,Not in the labor force,2,8.3
11002,r069,All workers -> Bachelor's degree or higher -> 2019,Non-STEM workers,In the labor force,2,88.8
11002,r070,All workers -> Bachelor's degree or higher -> 2019,Non-STEM workers,Employed,2,86.6
11002,r071,All workers -> Bachelor's degree or higher -> 2019,Non-STEM workers,Unemployed,2,2.2
11002,r072,All workers -> Bachelor's degree or higher -> 2019,Non-STEM workers,Not in the labor force,2,11.2
11002,r073,All workers -> Bachelor's degree or higher -> 2021,STEM workers,In the labor force,2,91.2
11002,r074,All workers -> Bachelor's degree or higher -> 2021,STEM workers,Employed,2,89.3
11002,r075,All workers -> Bachelor's degree or higher -> 2021,STEM workers,Unemployed,2,2.0
11002,r076,All workers -> Bachelor's degree or higher -> 2021,STEM workers,Not in the labor force,2,8.8
11002,r077,All workers -> Bachelor's degree or higher -> 2021,Non-STEM workers,In the labor force,2,87.9
11002,r078,All workers -> Bachelor's degree or higher -> 2021,Non-STEM workers,Employed,2,84.4
11002,r079,All workers -> Bachelor's degree or higher -> 2021,Non-STEM workers,Unemployed,2,3.5
11002,r080,All workers -> Bachelor's degree or higher -> 2021,Non-STEM workers,Not in the labor force,2,12.1
11002,r081,All workers -> Without a bachelor's degree -> 2016,STEM workers,In the labor force,2,88.5
11002,r082,All workers -> Without a bachelor's degree -> 2016,STEM workers,Employed,2,85.0
11002,r083,All workers -> Without a bachelor's degree -> 2016,STEM workers,Unemployed,2,3.5
11002,r084,All workers -> Without a bachelor's degree -> 2016,STEM workers,Not in the labor force,2,11.5
11002,r085,All workers -> Without a bachelor's degree -> 2016,Non-STEM workers,In the labor force,2,84.8
11002,r086,All workers -> Without a bachelor's degree -> 2016,Non-STEM workers,Employed,2,79.7
11002,r087,All workers -> Without a bachelor's degree -> 2016,Non-STEM workers,Unemployed,2,5.1
11002,r088,All workers -> Without a bachelor's degree -> 2016,Non-STEM workers,Not in the labor force,2,15.2
11002,r089,All workers -> Without a bachelor's degree -> 2017,STEM workers,In the labor force,2,88.8
11002,r090,All workers -> Without a bachelor's degree -> 2017,STEM workers,Employed,2,85.7
11002,r091,All workers -> Without a bachelor's degree -> 2017,STEM workers,Unemployed,2,3.1
11002,r092,All workers -> Without a bachelor's degree -> 2017,STEM workers,Not in the labor force,2,11.2
11002,r093,All workers -> Without a bachelor's degree -> 2017,Non-STEM workers,In the labor force,2,84.8
11002,r094,All workers -> Without a bachelor's degree -> 2017,Non-STEM workers,Employed,2,80.2
11002,r095,All workers -> Without a bachelor's degree -> 2017,Non-STEM workers,Unemployed,2,4.7
11002,r096,All workers -> Without a bachelor's degree -> 2017,Non-STEM workers,Not in the labor force,2,15.2
11002,r097,All workers -> Without a bachelor's degree -> 2018,STEM workers,In the labor force,2,88.7
11002,r098,All workers -> Without a bachelor's degree -> 2018,STEM workers,Employed,2,85.9
11002,r099,All workers -> Without a bachelor's degree -> 2018,STEM workers,Unemployed,2,2.8
11002,r100,All workers -> Without a bachelor's degree -> 2018,STEM workers,Not in the labor force,2,11.3
11002,r101,All workers -> Without a bachelor's degree -> 2018,Non-STEM workers,In the labor force,2,85.0
11002,r102,All workers -> Without a bachelor's degree -> 2018,Non-STEM workers,Employed,2,80.5
11002,r103,All workers -> Without a bachelor's degree -> 2018,Non-STEM workers,Unemployed,2,4.4
11002,r104,All workers -> Without a bachelor's degree -> 2018,Non-STEM workers,Not in the labor force,2,15.0
11002,r105,All workers -> Without a bachelor's degree -> 2019,STEM workers,In the labor force,2,88.7
11002,r106,All workers -> Without a bachelor's degree -> 2019,STEM workers,Employed,2,86.0
11002,r107,All workers -> Without a bachelor's degree -> 2019,STEM workers,Unemployed,2,2.7
11002,r108,All workers -> Without a bachelor's degree -> 2019,STEM workers,Not in the labor force,2,11.3
11002,r109,All workers -> Without a bachelor's degree -> 2019,Non-STEM workers,In the labor force,2,85.4
11002,r110,All workers -> Without a bachelor's degree -> 2019,Non-STEM workers,Employed,2,81.3
11002,r111,All workers -> Without a bachelor's degree -> 2019,Non-STEM workers,Unemployed,2,4.1
11002,r112,All workers -> Without a bachelor's degree -> 2019,Non-STEM workers,Not in the labor force,2,14.6
11002,r113,All workers -> Without a bachelor's degree -> 2021,STEM workers,In the labor force,2,87.2
11002,r114,All workers -> Without a bachelor's degree -> 2021,STEM workers,Employed,2,83.1
11002,r115,All workers -> Without a bachelor's degree -> 2021,STEM workers,Unemployed,2,4.1
11002,r116,All workers -> Without a bachelor's degree -> 2021,STEM workers,Not in the labor force,2,12.8
11002,r117,All workers -> Without a bachelor's degree -> 2021,Non-STEM workers,In the labor force,2,83.0
11002,r118,All workers -> Without a bachelor's degree -> 2021,Non-STEM workers,Employed,2,76.8
11002,r119,All workers -> Without a bachelor's degree -> 2021,Non-STEM workers,Unemployed,2,6.2
11002,r120,All workers -> Without a bachelor's degree -> 2021,Non-STEM workers,Not in the labor force,2,17.0
