table_id,row_id,agency_office_and_program_full_path,agency_office_and_program_level_1,agency_office_and_program_level_2,agency_office_and_program_level_3,agency_office_and_program_level_4,agency_office_and_program_hierarchy_depth
1898,r001,Department of Agriculture,Department of Agriculture,,,,1
1898,r002,"Department of Agriculture -> Under Secretary for Research, Education, and Economics",Department of Agriculture,"Under Secretary for Research, Education, and Economics",,,2
1898,r003,"Department of Agriculture -> Under Secretary for Research, Education, and Economics -> Agricultural Research Service (ARS)",Department of Agriculture,"Under Secretary for Research, Education, and Economics",Agricultural Research Service (ARS),,3
1898,r004,"Department of Agriculture -> Under Secretary for Research, Education, and Economics -> Agricultural Research Service (ARS) -> Program name: Agricultural Research Partnerships (ARP) Network",Department of Agriculture,"Under Secretary for Research, Education, and Economics",Agricultural Research Service (ARS),Program name: Agricultural Research Partnerships (ARP) Network,4
1898,r005,"Department of Agriculture -> Under Secretary for Research, Education, and Economics -> Agricultural Research Service (ARS) -> Program goals: The ARS founded the ARP Network to expand the impact of ARS research and provide resources to help ARS commercial partners grow. ",Department of Agriculture,"Under Secretary for Research, Education, and Economics",Agricultural Research Service (ARS),Program goals: The ARS founded the ARP Network to expand the impact of ARS research and provide resources to help ARS commercial partners grow. ,4
1898,r006,"Department of Agriculture -> Under Secretary for Research, Education, and Economics -> Agricultural Research Service (ARS) -> Program activities: The ARP Network matches business needs with ARS innovations and research capabilities and provides business assistance services to help companies and startups solve agricultural problems, develop products, and create new jobs. The ARP Network assists ARS in creating new partnerships and in supporting existing partnerships to advance ARS R&D efforts and subsequent utilization, including commercialization. Some of the ARP Network activities include matching industry needs with ARS patents and researchers for partnering; providing access to ARS research expertise, facilities, and equipment; and assisting in identifying sources of funding. The ARP Network is composed of organizations interested in agriculture-based economic development.",Department of Agriculture,"Under Secretary for Research, Education, and Economics",Agricultural Research Service (ARS),"Program activities: The ARP Network matches business needs with ARS innovations and research capabilities and provides business assistance services to help companies and startups solve agricultural problems, develop products, and create new jobs. The ARP Network assists ARS in creating new partnerships and in supporting existing partnerships to advance ARS R&D efforts and subsequent utilization, including commercialization. Some of the ARP Network activities include matching industry needs with ARS patents and researchers for partnering; providing access to ARS research expertise, facilities, and equipment; and assisting in identifying sources of funding. The ARP Network is composed of organizations interested in agriculture-based economic development.",4
1898,r007,Department of Defense,Department of Defense,,,,1
1898,r008,Department of Defense -> Department wide,Department of Defense,Department wide,,,2
1898,r009,Department of Defense -> Department wide -> Program name: Manufacturing Technology (ManTech) Program,Department of Defense,Department wide,Program name: Manufacturing Technology (ManTech) Program,,3
1898,r010,"Department of Defense -> Department wide -> Program goals: The Defense-Wide ManTech Program was established to address crosscutting, game-changing initiatives that are beyond the scope of any one military department or defense agency. ",Department of Defense,Department wide,"Program goals: The Defense-Wide ManTech Program was established to address crosscutting, game-changing initiatives that are beyond the scope of any one military department or defense agency. ",,3
1898,r011,"Department of Defense -> Department wide -> Program activities: ManTech seeks to address defense manufacturing needs, transition manufacturing R&D processes into production applications, attack manufacturing issues, and explore new opportunities.",Department of Defense,Department wide,"Program activities: ManTech seeks to address defense manufacturing needs, transition manufacturing R&D processes into production applications, attack manufacturing issues, and explore new opportunities.",,3
1898,r012,Department of Health and Human Services,Department of Health and Human Services,,,,1
1898,r013,Department of Health and Human Services -> National Institutes of Health (NIH),Department of Health and Human Services,National Institutes of Health (NIH),,,2
1898,r014,Department of Health and Human Services -> National Institutes of Health (NIH) -> National Center for Advancing Translational Sciences,Department of Health and Human Services,National Institutes of Health (NIH),National Center for Advancing Translational Sciences,,3
1898,r015,Department of Health and Human Services -> National Institutes of Health (NIH) -> National Center for Advancing Translational Sciences -> Program name: Therapeutics for Rare and Neglected Diseases (TRND),Department of Health and Human Services,National Institutes of Health (NIH),National Center for Advancing Translational Sciences,Program name: Therapeutics for Rare and Neglected Diseases (TRND),4
