table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_hierarchy_depth,field_level_of_confidence_in_scientists_a_great_deal,field_level_of_confidence_in_scientists_a_fair_amount,field_level_of_confidence_in_scientists_not_too_much,field_level_of_confidence_in_scientists_none_at_all
10490,r001,"All adults (<i>n</i> = 5,277)","All adults (<i>n</i> = 5,277)",,,1,28,49,18,5
10490,r002,"All adults (<i>n</i> = 5,277) -> Sex","All adults (<i>n</i> = 5,277)",Sex,,2,,,,
10490,r003,"All adults (<i>n</i> = 5,277) -> Sex -> Male (<i>n</i> = 2,314)","All adults (<i>n</i> = 5,277)",Sex,"Male (<i>n</i> = 2,314)",3,30,47,18,5
10490,r004,"All adults (<i>n</i> = 5,277) -> Sex -> Female (<i>n</i> = 2,905)","All adults (<i>n</i> = 5,277)",Sex,"Female (<i>n</i> = 2,905)",3,26,52,18,4
10490,r005,"All adults (<i>n</i> = 5,277) -> Race or ethnicity","All adults (<i>n</i> = 5,277)",Race or ethnicity,,2,,,,
10490,r006,"All adults (<i>n</i> = 5,277) -> Race or ethnicity -> White (<i>n</i> = 3,589)","All adults (<i>n</i> = 5,277)",Race or ethnicity,"White (<i>n</i> = 3,589)",3,29,48,19,4
10490,r007,"All adults (<i>n</i> = 5,277) -> Race or ethnicity -> Black (<i>n</i> = 598)","All adults (<i>n</i> = 5,277)",Race or ethnicity,Black (<i>n</i> = 598),3,26,50,18,5
10490,r008,"All adults (<i>n</i> = 5,277) -> Race or ethnicity -> Hispanic (<i>n</i> = 687)","All adults (<i>n</i> = 5,277)",Race or ethnicity,Hispanic (<i>n</i> = 687),3,23,54,17,5
10490,r009,"All adults (<i>n</i> = 5,277) -> Family income<sup>a</sup>","All adults (<i>n</i> = 5,277)",Family income<sup>a</sup>,,2,,,,
10490,r010,"All adults (<i>n</i> = 5,277) -> Family income<sup>a</sup> -> Upper income (<i>n</i> = 1,299)","All adults (<i>n</i> = 5,277)",Family income<sup>a</sup>,"Upper income (<i>n</i> = 1,299)",3,37,45,14,2
10490,r011,"All adults (<i>n</i> = 5,277) -> Family income<sup>a</sup> -> Middle income (<i>n</i> = 2,564)","All adults (<i>n</i> = 5,277)",Family income<sup>a</sup>,"Middle income (<i>n</i> = 2,564)",3,27,50,18,5
10490,r012,"All adults (<i>n</i> = 5,277) -> Family income<sup>a</sup> -> Lower income (<i>n</i> = 1,138)","All adults (<i>n</i> = 5,277)",Family income<sup>a</sup>,"Lower income (<i>n</i> = 1,138)",3,25,49,19,6
10490,r013,"All adults (<i>n</i> = 5,277) -> Education","All adults (<i>n</i> = 5,277)",Education,,2,,,,
10490,r014,"All adults (<i>n</i> = 5,277) -> Education -> Postgraduate (<i>n</i> = 1,145)","All adults (<i>n</i> = 5,277)",Education,"Postgraduate (<i>n</i> = 1,145)",3,42,44,11,2
10490,r015,"All adults (<i>n</i> = 5,277) -> Education -> College graduate (<i>n</i> = 1,429)","All adults (<i>n</i> = 5,277)",Education,"College graduate (<i>n</i> = 1,429)",3,32,48,16,3
10490,r016,"All adults (<i>n</i> = 5,277) -> Education -> Some college (<i>n</i> = 1,728)","All adults (<i>n</i> = 5,277)",Education,"Some college (<i>n</i> = 1,728)",3,27,51,18,4
10490,r017,"All adults (<i>n</i> = 5,277) -> Education -> High school or less (<i>n</i> = 960)","All adults (<i>n</i> = 5,277)",Education,High school or less (<i>n</i> = 960),3,21,50,21,6
