table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_clinical_trials,field_federal_all_r_d_expenditures,field_federal_clinical_trials,field_nonfederal_all_r_d_expenditures,field_nonfederal_clinical_trials
10165,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r003,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['713,480', '']","['66,549', '']","['421,223', '']","['25,264', '']","['292,257', '']","['41,285', '']"
10165,r004,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['163,204', '']","['2,501', '']","['67,986', '']","['2,496', '']","['95,218', '']","['5', '']"
10165,r005,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['43,491', '']","['994', '']","['23,762', '']","['45', '']","['19,729', '']","['949', '']"
10165,r006,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r007,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r008,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['66,729', '']","['1,424', '']","['43,453', '']","['1,424', '']","['23,276', '']","['0', '']"
10165,r009,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['824,340', '']","['14,157', '']","['374,936', '']","['2,865', '']","['449,404', '']","['11,292', '']"
10165,r010,Arizona -> Private,Arizona,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r011,Arizona -> Private -> Sonoran U. Health Sciences,Arizona,Private,Sonoran U. Health Sciences,3,"['520', '']","['50', '']","['0', '']","['0', '']","['520', '']","['50', '']"
10165,r012,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r013,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r014,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['205,493', '']","['2,789', '']","['95,080', '']","['154', '']","['110,413', '']","['2,635', '']"
10165,r015,California,California,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r016,California -> Public,California,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r017,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['33,155', '']","['933', '']","['15,084', '']","['799', '']","['18,071', '']","['134', '']"
10165,r018,"California -> Public -> California State U., San Bernardino",California,Public,"California State U., San Bernardino",3,"['11,929', '']","['48', '']","['6,693', '']","['48', '']","['5,236', '']","['0', '']"
10165,r019,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['9,238', '']","['91', '']","['7,986', '']","['91', '']","['1,252', '']","['0', '']"
10165,r020,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['36,617', '']","['526', '']","['15,276', '']","['526', '']","['21,341', '']","['0', '']"
10165,r021,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['981,035', '']","['226', '']","['468,542', '']","['226', '']","['512,493', '']","['0', '']"
10165,r022,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['883,807', '']","['17,254', '']","['468,468', '']","['5,059', '']","['415,339', '']","['12,195', '']"
10165,r023,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['534,947', '']","['23,798', '']","['291,393', '']","['6,535', '']","['243,554', '']","['17,263', '']"
10165,r024,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['1,536,197', '']","['102,237', '']","['848,138', '']","['71,343', '']","['688,059', '']","['30,894', '']"
10165,r025,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['1,533,357', '']","['24,361', 'i']","['970,696', '']","['9,209', 'i']","['562,661', '']","['15,152', 'i']"
10165,r026,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['1,805,950', '']","['77,897', '']","['780,318', '']","['36,583', '']","['1,025,632', '']","['41,314', '']"
10165,r027,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r028,California -> Private -> Chapman U.,California,Private,Chapman U.,3,"['34,212', '']","['158', '']","['11,098', '']","['157', '']","['23,114', '']","['1', '']"
10165,r029,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,3,"['14,581', '']","['368', '']","['10,656', '']","['173', '']","['3,925', '']","['195', '']"
10165,r030,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['15,517', '']","['3,384', '']","['9,134', '']","['182', '']","['6,383', '']","['3,202', '']"
10165,r031,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,3,"['12,773', '']","['593', '']","['2,824', '']","['593', '']","['9,949', '']","['0', '']"
10165,r032,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['1,384,555', '']","['165,309', '']","['860,125', '']","['65,286', '']","['524,430', '']","['100,023', '']"
10165,r033,"California -> Private -> Touro U., California",California,Private,"Touro U., California",3,"['2,561', '']","['756', '']","['964', '']","['752', '']","['1,597', '']","['4', '']"
10165,r034,California -> Private -> U. San Diego,California,Private,U. San Diego,3,"['10,143', '']","['6', '']","['2,911', '']","['6', '']","['7,232', '']","['0', '']"
10165,r035,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['1,039,905', '']","['104,815', '']","['601,747', '']","['20,989', '']","['438,158', '']","['83,826', '']"
10165,r036,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['9,029', '']","['286', '']","['7,131', '']","['0', '']","['1,898', '']","['286', '']"
10165,r037,Colorado,Colorado,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r038,Colorado -> Public,Colorado,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r039,"Colorado -> Public -> Colorado State U., Fort Collins",Colorado,Public,"Colorado State U., Fort Collins",3,"['456,911', '']","['309', '']","['316,727', '']","['203', '']","['140,184', '']","['106', '']"
10165,r040,Colorado -> Public -> U. Colorado Anschutz Medical Campus<sup>a</sup>,Colorado,Public,U. Colorado Anschutz Medical Campus<sup>a</sup>,3,"['611,358', '']","['51,338', '']","['429,949', '']","['4,750', '']","['181,409', '']","['46,588', '']"
10165,r041,Colorado -> Private,Colorado,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r042,Colorado -> Private -> U. Denver,Colorado,Private,U. Denver,3,"['45,561', '']","['766', '']","['26,040', '']","['698', '']","['19,521', '']","['68', '']"
10165,r043,Connecticut,Connecticut,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r044,Connecticut -> Public,Connecticut,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r045,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,3,"['367,557', '']","['7,540', '']","['230,752', '']","['5,413', '']","['136,805', '']","['2,127', '']"
10165,r046,Connecticut -> Private,Connecticut,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r047,"Connecticut -> Private -> Trinity C., Hartford",Connecticut,Private,"Trinity C., Hartford",3,"['1,620', '']","['105', '']","['1,049', '']","['105', '']","['571', '']","['0', '']"
10165,r048,Connecticut -> Private -> Yale U.,Connecticut,Private,Yale U.,3,"['1,191,201', '']","['41,353', '']","['689,270', '']","['0', '']","['501,931', '']","['41,353', '']"
10165,r049,Delaware,Delaware,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r050,Delaware -> Public,Delaware,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r051,Delaware -> Public -> U. Delaware,Delaware,Public,U. Delaware,3,"['368,107', '']","['3,402', '']","['194,775', '']","['3,401', '']","['173,332', '']","['1', '']"
10165,r052,District of Columbia,District of Columbia,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
10165,r053,District of Columbia -> Private,District of Columbia,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
