table_id,row_id,characteristics_full_path,characteristics_level_1,characteristics_level_2,characteristics_level_3,characteristics_level_4,characteristics_hierarchy_depth,field_totala,field_u_s_citizen,field_non_u_s_citizen,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_non_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_non_u_s_citizen,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_non_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_non_u_s_citizen,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_non_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_non_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_non_u_s_citizen,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_non_u_s_citizen
2851,r001,All doctorate recipients (number),All doctorate recipients (number),,,,1,55703,35274,18351,2848,1149,120,5,3421,11731,2512,572,24248,3775,1121,144,381,477,623,498
2851,r002,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,,,2,,,,,,,,,,,,,,,,,,,
2851,r003,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Teaching assistantships,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Teaching assistantships,,3,21.4,20.2,23.5,19.2,20.8,11.9,0.0,19.0,24.2,12.1,23.6,21.5,23.0,18.1,20.1,18.9,18.4,18.6,17.6
2851,r004,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Research or other assistantships or traineeships<sup>c</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Research or other assistantships or traineeships<sup>c</sup>,,3,33.4,26.8,46.2,19.1,27.1,12.9,,34.4,52.6,14.5,36.9,28.0,35.0,24.6,,21.5,29.6,25.6,38.5
2851,r005,"All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Fellowships, scholarships, or dissertation grants",All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,"Fellowships, scholarships, or dissertation grants",,3,24.8,27.5,19.6,35.9,27.7,45.5,0.0,31.6,16.2,26.1,21.8,25.6,26.3,34.3,30.9,30.6,29.1,25.6,30.8
2851,r006,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Own resources,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Own resources,,3,15.2,21.1,3.9,22.5,3.4,23.8,,11.6,3.8,41.8,12.5,20.2,3.2,20.0,,21.9,3.9,23.3,3.3
2851,r007,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Employer,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Employer,,3,2.7,3.9,0.6,2.5,0.5,5.0,0.0,2.9,0.4,4.7,1.5,4.1,0.8,2.9,0.0,4.5,1.1,7.0,2.2
2851,r008,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Other,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Other,,3,2.5,0.6,6.2,0.9,20.6,1.0,,0.5,2.8,0.7,3.7,0.6,11.6,0.2,,2.6,17.9,0.0,7.7
2851,r009,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,,,2,,,,,,,,,,,,,,,,,,,
2851,r010,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite postgraduation study,,3,13462,8477,4947,726,349,26,,820,3341,371,130,6140,1015,311,,57,39,26,32
2851,r011,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment,,3,21628,14602,6945,1050,409,52,,1302,4591,1166,209,10368,1536,450,,143,99,71,40
2851,r012,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Seeking employment or study,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Seeking employment or study,,3,14086,9098,4954,803,328,25,,971,3313,733,206,6155,1008,300,,73,39,38,21
2851,r013,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Other status<sup>e</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Other status<sup>e</sup>,,3,1685,1291,370,108,15,2,,203,198,107,15,787,120,50,,22,13,12,5
2851,r014,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation study plans (%)<sup>f</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation study plans (%)<sup>f</sup>,,3,38.4,36.7,41.6,40.9,46.0,33.3,,38.6,42.1,24.1,38.3,37.2,39.8,40.9,,28.5,28.3,26.8,44.4
2851,r015,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,,3,,,,,,,,,,,,,,,,,,,
2851,r016,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Academe,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Academe,4,43.4,45.7,38.8,48.8,50.4,46.2,,34.5,33.2,44.9,48.8,46.9,49.3,44.7,,48.3,46.5,38.0,47.5
2851,r017,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Government,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Government,4,7.6,9.2,4.2,8.6,8.6,15.4,0.0,7.6,3.3,11.9,9.6,9.2,4.2,10.0,,3.5,,11.3,7.5
2851,r018,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Industry or business<sup>h</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Industry or business<sup>h</sup>,4,36.5,29.3,51.6,26.2,32.3,15.4,0.0,46.9,59.1,17.7,31.1,28.8,40.2,29.3,23.3,28.7,32.3,32.4,37.5
2851,r019,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Nonprofit,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Nonprofit,4,6.1,7.6,3.0,8.2,4.4,11.5,0.0,6.4,2.8,10.5,6.2,7.4,2.8,8.2,,6.3,,4.2,0.0
2851,r020,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Other or unknown plans<sup>i</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Other or unknown plans<sup>i</sup>,4,6.4,8.2,2.4,8.3,4.4,11.5,,4.6,1.6,15.0,4.3,7.7,3.5,7.8,5.0,13.3,,14.1,7.5
2851,r021,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,,3,,,,,,,,,,,,,,,,,,,
2851,r022,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup> -> United States,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,United States,4,89.8,98.0,72.6,98.2,58.4,98.1,0.0,96.8,78.4,99.6,64.1,98.1,63.0,96.7,51.7,95.8,44.4,95.8,70.0
2851,r023,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup> -> Not United States,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,Not United States,4,10.1,2.0,27.3,1.8,41.6,0.0,,3.2,21.6,0.4,35.9,1.9,36.8,3.3,,4.2,54.5,4.2,27.5
2851,r024,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup> -> Unknown,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,Unknown,4,0.1,0.0,0.1,0.0,0.0,1.9,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,0.0,1.0,0.0,2.5
2851,r025,All doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number),Age at doctorate (median years),,,2,31.5,31.8,31.1,32.3,33.2,36.3,,31.1,30.4,36.1,34.7,31.6,32.3,31.3,31.8,32.8,31.2,33.0,31.9
2851,r026,All doctorate recipients (number) -> Time to degree (median years),All doctorate recipients (number),Time to degree (median years),,,2,,,,,,,,,,,,,,,,,,,
2851,r027,All doctorate recipients (number) -> Time to degree (median years) -> From bachelor's,All doctorate recipients (number),Time to degree (median years),From bachelor's,,3,8.7,9.0,8.3,9.0,9.5,11.4,,8.5,7.9,12.0,10.7,8.8,9.3,8.5,9.0,10.0,8.6,10.0,8.6
2851,r028,All doctorate recipients (number) -> Time to degree (median years) -> From graduate school start,All doctorate recipients (number),Time to degree (median years),From graduate school start,,3,7.5,7.3,7.7,7.5,8.2,9.3,,7.2,7.3,9.8,8.0,7.3,8.3,7.1,7.3,8.6,8.3,8.5,7.0
2851,r029,All doctorate recipients (number) -> Time to degree (median years) -> From doctoral program start<sup>k</sup>,All doctorate recipients (number),Time to degree (median years),From doctoral program start<sup>k</sup>,,3,5.8,5.8,5.3,5.9,5.3,6.5,,5.8,5.3,5.9,5.0,5.8,5.3,5.8,5.6,6.0,5.3,5.8,5.7
