table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_social_sciences_fields,field_anthropology,field_area_ethnic_cultural_gender_and_group_studies,field_economics,field_political_science_and_government,field_public_policy_analysis,field_sociology_demography_and_population_studies,field_social_sciences_other
9513,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,5049,409,442,1391,678,433,626,1070
9513,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,,,,,,
9513,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,47.7,31.3,35.7,64.3,58.8,36.3,38.0,40.5
9513,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,52.3,68.7,64.0,35.7,41.2,63.7,62.0,59.5
9513,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0
9513,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),,,2,,,,,,,,
9513,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),U.S. citizen or permanent resident,,3,63.2,80.4,74.9,37.0,68.6,75.1,79.2,68.2
9513,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Temporary visa holder,,3,33.0,14.4,19.9,59.1,27.6,19.6,18.1,29.2
9513,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Unknown,,3,3.8,5.1,5.2,3.9,3.8,5.3,2.7,2.6
9513,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,,,,,,
9513,r011,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Never married,,3,32.7,32.5,31.4,36.4,33.0,25.9,30.7,32.0
9513,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,41.1,38.9,36.4,37.2,43.1,47.8,42.8,43.8
9513,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,12.6,15.6,15.4,12.7,11.8,8.8,13.7,11.5
9513,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,4.0,3.7,7.5,2.4,2.8,6.5,5.0,3.9
9513,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,9.7,9.3,9.3,11.3,9.3,11.1,7.8,8.8
9513,r016,All doctorate recipients (number)<sup>a</sup> -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Has dependent age 18 or younger (%),,,2,23.4,20.4,22.1,18.8,23.4,37.4,25.7,24.2
9513,r017,All doctorate recipients (number)<sup>a</sup> -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Has one or more functional limitations (%),,,2,15.8,19.7,23.3,11.0,15.5,12.7,17.1,17.8
9513,r018,All doctorate recipients (number)<sup>a</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Age at doctorate (median years),,,2,33.2,34.2,34.3,31.4,32.8,37.6,33.5,34.1
9513,r019,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,56.4,68.1,33.8,66.5,69.9,36.8,60.2,45.9
9513,r020,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),,,2,89.2,90.6,91.7,83.2,87.9,93.5,93.7,91.9
9513,r021,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),Master's earned at same doctorate institution (%),,3,46.8,57.1,47.4,44.2,55.4,32.5,56.6,40.4
