table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
3149,r001,All HHE institutions,All HHE institutions,,1,-,"['6,390,308', '']","['2,740,764', '']","['658,003', '']","['1,864,998', '']","['375,683', '']","['336,266', '']","['414,594', '']"
3149,r002,All HHE institutions -> U. Texas M. D. Anderson Cancer Center,All HHE institutions,U. Texas M. D. Anderson Cancer Center,2,1,"['969,496', '']","['176,156', '']","['258,019', '']","['214,509', '']","['156,237', '']","['28,010', '']","['136,565', '']"
3149,r003,All HHE institutions -> U. Arizona,All HHE institutions,U. Arizona,2,2,"['734,270', '']","['327,025', '']","['26,071', '']","['220,594', '']","['22,854', '']","['33,423', '']","['104,303', '']"
3149,r004,"All HHE institutions -> U. California, Irvine",All HHE institutions,"U. California, Irvine",2,3,"['448,967', '']","['217,094', '']","['16,787', '']","['119,130', '']","['26,292', '']","['28,066', '']","['41,598', '']"
3149,r005,"All HHE institutions -> U. Illinois, Chicago",All HHE institutions,"U. Illinois, Chicago",2,4,"['382,949', '']","['208,603', '']","['7,828', '']","['122,535', '']","['13,892', '']","['22,626', '']","['7,465', '']"
3149,r006,"All HHE institutions -> U. Texas Health Science Center, Houston",All HHE institutions,"U. Texas Health Science Center, Houston",2,5,"['271,525', '']","['132,647', '']","['38,516', '']","['43,586', '']","['20,549', '']","['22,721', '']","['13,506', '']"
3149,r007,"All HHE institutions -> U. California, Santa Barbara",All HHE institutions,"U. California, Santa Barbara",2,6,"['243,778', '']","['118,517', '']","['4,592', '']","['49,052', '']","['19,264', '']","['32,192', '']","['20,161', '']"
3149,r008,All HHE institutions -> U. New Mexico,All HHE institutions,U. New Mexico,2,7,"['239,696', '']","['159,940', '']","['5,610', '']","['58,200', '']","['2,115', '']","['12,230', '']","['1,601', '']"
3149,r009,All HHE institutions -> Florida International U.,All HHE institutions,Florida International U.,2,8,"['225,864', '']","['96,912', '']","['14,884', '']","['102,581', '']","['1,652', '']","['8,509', '']","['1,326', '']"
3149,r010,All HHE institutions -> U. Central Florida,All HHE institutions,U. Central Florida,2,9,"['225,085', '']","['99,310', '']","['11,312', '']","['86,353', '']","['11,438', '']","['6,768', '']","['9,904', '']"
3149,r011,All HHE institutions -> U. Houston,All HHE institutions,U. Houston,2,10,"['195,398', '']","['68,523', '']","['38,963', '']","['65,710', '']","['8,597', '']","['11,270', '']","['2,335', '']"
3149,r012,All HHE institutions -> Texas Tech U.,All HHE institutions,Texas Tech U.,2,11,"['193,923', '']","['35,136', '']","['23,788', '']","['104,700', '']","['16,210', '']","['13,963', '']","['126', '']"
3149,r013,"All HHE institutions -> U. Texas Health Science Center, San Antonio",All HHE institutions,"U. Texas Health Science Center, San Antonio",2,12,"['188,483', '']","['96,502', '']","['20,807', '']","['42,551', '']","['8,499', '']","['19,715', '']","['409', '']"
3149,r014,"All HHE institutions -> U. California, Riverside",All HHE institutions,"U. California, Riverside",2,13,"['177,655', '']","['81,151', '']","['9,195', '']","['52,805', '']","['8,305', '']","['8,609', '']","['17,590', '']"
3149,r015,"All HHE institutions -> U. California, Santa Cruz",All HHE institutions,"U. California, Santa Cruz",2,14,"['142,958', '']","['74,669', '']","['6,280', '']","['31,144', '']","['5,452', '']","['14,838', '']","['10,575', '']"
3149,r016,"All HHE institutions -> U. Texas, Arlington",All HHE institutions,"U. Texas, Arlington",2,15,"['123,207', '']","['41,764', '']","['16,970', '']","['51,329', '']","['5,018', '']","['6,057', '']","['2,069', '']"
3149,r017,"All HHE institutions -> U. Texas, El Paso",All HHE institutions,"U. Texas, El Paso",2,16,"['106,809', '']","['41,261', '']","['17,507', '']","['33,594', '']","['872', '']","['4,587', '']","['8,988', '']"
3149,r018,All HHE institutions -> New Mexico State U.,All HHE institutions,New Mexico State U.,2,17,"['101,457', '']","['58,022', '']","['20,496', '']","['12,922', '']","['1,022', '']","['3,569', '']","['5,426', '']"
3149,r019,"All HHE institutions -> U. Nevada, Las Vegas",All HHE institutions,"U. Nevada, Las Vegas",2,18,"['99,445', '']","['28,381', '']","['2,494', '']","['63,995', '']","['1,465', '']","['805', '']","['2,305', '']"
3149,r020,All HHE institutions -> Rush U.,All HHE institutions,Rush U.,2,19,"['96,267', '']","['68,941', '']","['2,309', '']","['7,670', '']","['13,761', '']","['3,586', '']","['0', '']"
3149,r021,All HHE institutions -> San Diego State U.,All HHE institutions,San Diego State U.,2,20,"['92,964', '']","['39,515', '']","['1,911', '']","['47,338', '']","['808', '']","['1,631', '']","['1,761', '']"
3149,r022,"All HHE institutions -> U. Texas, San Antonio",All HHE institutions,"U. Texas, San Antonio",2,21,"['84,326', '']","['34,588', '']","['12,247', '']","['27,509', '']","['5,393', '']","['2,408', '']","['2,181', '']"
3149,r023,"All HHE institutions -> U. North Texas, Denton",All HHE institutions,"U. North Texas, Denton",2,22,"['78,691', '']","['17,345', '']","['2,735', '']","['53,843', '']","['1,807', '']","['1,087', '']","['1,874', '']"
3149,r024,All HHE institutions -> Texas State U.,All HHE institutions,Texas State U.,2,23,"['64,554', '']","['29,614', '']","['4,871', '']","['25,361', '']","['725', '']","['3,983', '']","['0', '']"
3149,r025,"All HHE institutions -> CUNY, City C.",All HHE institutions,"CUNY, City C.",2,24,"['52,738', '']","['33,065', '']","['7,584', '']","['10,094', '']","['490', '']","['1,033', '']","['472', '']"
3149,r026,All HHE institutions -> U. Texas Rio Grande Valley,All HHE institutions,U. Texas Rio Grande Valley,2,25,"['52,016', '']","['13,629', '']","['6,309', '']","['27,496', '']","['218', '']","['3,996', '']","['368', '']"
3149,r027,All HHE institutions -> Florida Atlantic U.,All HHE institutions,Florida Atlantic U.,2,26,"['51,085', '']","['21,667', '']","['4,017', '']","['16,253', '']","['1,981', '']","['5,037', '']","['2,130', '']"
3149,r028,"All HHE institutions -> U. Puerto Rico, Medical Sciences Campus",All HHE institutions,"U. Puerto Rico, Medical Sciences Campus",2,27,"['45,014', '']","['34,570', '']","['849', '']","['5,476', '']","['4,091', '']","['0', '']","['28', '']"
3149,r029,"All HHE institutions -> U. California, Merced",All HHE institutions,"U. California, Merced",2,28,"['44,890', '']","['16,850', '']","['3,137', '']","['20,887', '']","['474', '']","['1,937', '']","['1,605', '']"
3149,r030,All HHE institutions -> San Jose State U.,All HHE institutions,San Jose State U.,2,29,"['44,309', '']","['35,143', '']","['2,202', '']","['3,106', '']","['746', '']","['1,111', '']","['2,001', '']"
3149,r031,"All HHE institutions -> CUNY, Hunter C.",All HHE institutions,"CUNY, Hunter C.",2,30,"['37,478', '']","['23,485', '']","['2,788', '']","['10,063', '']","['203', '']","['541', '']","['398', '']"
3149,r032,All HHE institutions -> Texas A&M U.-Corpus Christi,All HHE institutions,Texas A&M U.-Corpus Christi,2,31,"['32,944', '']","['14,451', '']","['8,481', '']","['3,981', '']","['479', '']","['2,548', '']","['3,004', '']"
3149,r033,All HHE institutions -> San Francisco State U.,All HHE institutions,San Francisco State U.,2,32,"['31,888', '']","['15,675', '']","['2,171', '']","['12,800', '']","['65', '']","['1,162', '']","['15', '']"
3149,r034,"All HHE institutions -> U. Puerto Rico, Mayaguez",All HHE institutions,"U. Puerto Rico, Mayaguez",2,33,"['26,877', '']","['15,653', '']","['517', '']","['9,252', '']","['993', '']","['417', '']","['45', '']"
3149,r035,"All HHE institutions -> Rutgers, State U. New Jersey, Newark",All HHE institutions,"Rutgers, State U. New Jersey, Newark",2,34,"['26,661', '']","['15,397', '']","['1,361', '']","['6,607', '']","['548', '']","['1,739', '']","['1,009', '']"
3149,r036,All HHE institutions -> New Mexico Institute of Mining and Technology,All HHE institutions,New Mexico Institute of Mining and Technology,2,35,"['24,616', '']","['22,864', '']","['226', '']","['311', '']","['923', '']","['215', '']","['77', '']"
3149,r037,All HHE institutions -> Nova Southeastern U.,All HHE institutions,Nova Southeastern U.,2,36,"['24,567', '']","['8,965', '']","['2,366', '']","['10,660', '']","['2,035', '']","['398', '']","['143', '']"
3149,r038,All HHE institutions -> Loma Linda U.,All HHE institutions,Loma Linda U.,2,37,"['24,408', 'i']","['16,909', 'i']","['742', 'i']","['3,328', 'i']","['1,828', 'i']","['1,502', 'i']","['99', 'i']"
3149,r039,"All HHE institutions -> U. Puerto Rico, Rio Piedras",All HHE institutions,"U. Puerto Rico, Rio Piedras",2,38,"['24,088', '']","['13,943', '']","['84', '']","['9,791', '']","['117', '']","['110', '']","['43', '']"
3149,r040,"All HHE institutions -> California State U., Sacramento",All HHE institutions,"California State U., Sacramento",2,39,"['23,544', '']","['5,801', '']","['10,720', '']","['5,746', '']","['386', '']","['888', '']","['3', '']"
3149,r041,All HHE institutions -> Texas A&M U.-Kingsville,All HHE institutions,Texas A&M U.-Kingsville,2,40,"['22,268', '']","['8,419', '']","['4,190', '']","['3,985', '']","['451', '']","['5,223', '']","['0', '']"
3149,r042,"All HHE institutions -> California State U., Northridge",All HHE institutions,"California State U., Northridge",2,41,"['21,095', '']","['16,939', '']","['1,606', '']","['1,863', '']","['49', '']","['587', '']","['51', '']"
3149,r043,"All HHE institutions -> California State U., Long Beach",All HHE institutions,"California State U., Long Beach",2,42,"['18,664', '']","['13,579', '']","['1,114', '']","['1,457', '']","['678', '']","['465', '']","['1,371', '']"
3149,r044,"All HHE institutions -> CUNY, Queens C.",All HHE institutions,"CUNY, Queens C.",2,43,"['18,391', '']","['13,457', '']","['975', '']","['3,403', '']","['16', '']","['535', '']","['5', '']"
3149,r045,"All HHE institutions -> California State U., San Bernardino",All HHE institutions,"California State U., San Bernardino",2,44,"['16,062', '']","['8,651', '']","['4,458', '']","['2,903', '']","['30', '']","['20', '']","['0', '']"
3149,r046,All HHE institutions -> Humboldt State U.,All HHE institutions,Humboldt State U.,2,45,"['15,076', '']","['2,103', '']","['5,377', '']","['3,410', '']","['313', '']","['1,899', '']","['1,974', '']"
3149,r047,All HHE institutions -> Charles R. Drew U. of Medicine and Science,All HHE institutions,Charles R. Drew U. of Medicine and Science,2,46,"['13,739', '']","['10,427', '']","['455', '']","['2,622', '']","['0', '']","['235', '']","['0', '']"
3149,r048,"All HHE institutions -> California State U., Los Angeles",All HHE institutions,"California State U., Los Angeles",2,47,"['12,476', '']","['9,288', '']","['103', '']","['2,624', '']","['0', '']","['461', '']","['0', '']"
3149,r049,"All HHE institutions -> CUNY, John Jay C. of Criminal Justice",All HHE institutions,"CUNY, John Jay C. of Criminal Justice",2,48,"['12,295', '']","['4,971', '']","['808', '']","['2,240', '']","['2,421', '']","['512', '']","['1,343', '']"
3149,r050,"All HHE institutions -> Texas Tech U., Health Sciences Center, El Paso",All HHE institutions,"Texas Tech U., Health Sciences Center, El Paso",2,49,"['11,883', '']","['2,279', '']","['2,544', '']","['6,306', '']","['363', '']","['335', '']","['56', '']"
3149,r051,All HHE institutions -> Ponce Health Sciences U.,All HHE institutions,Ponce Health Sciences U.,2,50,"['11,390', '']","['8,339', '']","['450', '']","['0', '']","['0', '']","['0', '']","['2,601', '']"
3149,r052,"All HHE institutions -> California State U., San Marcos",All HHE institutions,"California State U., San Marcos",2,51,"['10,595', '']","['9,134', '']","['1,394', '']","['48', '']","['0', '']","['19', '']","['0', '']"
3149,r053,All HHE institutions -> Montclair State U.,All HHE institutions,Montclair State U.,2,52,"['10,225', '']","['4,164', '']","['331', '']","['904', '']","['117', '']","['4,604', '']","['105', '']"
3149,r054,All HHE institutions -> William Paterson U.,All HHE institutions,William Paterson U.,2,53,"['10,122', '']","['1,592', '']","['0', '']","['8,476', '']","['1', '']","['53', '']","['0', '']"
3149,r055,All HHE institutions -> St. Edward's U.,All HHE institutions,St. Edward's U.,2,54,"['9,650', '']","['6,500', '']","['1,500', '']","['700', '']","['150', '']","['500', '']","['300', '']"
3149,r056,"All HHE institutions -> California State U., Fresno",All HHE institutions,"California State U., Fresno",2,55,"['8,599', '']","['2,900', '']","['2,612', '']","['2,486', '']","['195', '']","['341', '']","['65', '']"
3149,r057,"All HHE institutions -> California State U., Bakersfield",All HHE institutions,"California State U., Bakersfield",2,56,"['7,591', '']","['4,376', '']","['90', '']","['2,753', '']","['60', '']","['0', '']","['312', '']"
