table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2019,field_2020,field_2021_all_non_s_e_fields,field_2021_business_management_and_business_administration,field_2021_communication_and_communications_technologies,field_2021_education,field_2021_humanities,field_2021_law,field_2021_social_work,field_2021_visual_and_performing_arts,field_2021_other
8005,r001,All institutions,All institutions,,1,-,"['1,242,798', '']","['1,235,978', '']","['1,364,942', '']","['97,277', '']","['39,337', '']","['701,430', '']","['56,658', '']","['28,777', '']","['165,278', '']","['11,476', '']","['264,709', '']"
8005,r002,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,1,"['34,540', '']","['37,000', '']","['46,225', '']","['0', '']","['4,762', '']","['26,551', '']","['2,303', '']","['284', '']","['10,429', '']","['161', '']","['1,735', '']"
8005,r003,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,2,"['32,570', '']","['33,733', '']","['35,971', '']","['293', '']","['223', '']","['11,772', '']","['508', '']","['33', '']","['5,709', '']","['394', '']","['17,039', '']"
8005,r004,All institutions -> U. Kansas,All institutions,U. Kansas,2,3,"['28,015', '']","['33,020', '']","['30,542', '']","['245', '']","['534', '']","['19,401', '']","['1,510', '']","['0', '']","['8,557', '']","['0', '']","['295', '']"
8005,r005,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,4,"['787', '']","['753', '']","['27,633', '']","['11', '']","['2', '']","['1,290', '']","['730', '']","['0', '']","['0', '']","['0', '']","['25,600', '']"
8005,r006,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,5,"['12,304', '']","['18,374', '']","['27,114', '']","['649', '']","['0', '']","['4,047', '']","['648', '']","['299', '']","['21,348', '']","['0', '']","['123', '']"
8005,r007,All institutions -> Stanford U.,All institutions,Stanford U.,2,6,"['25,269', '']","['25,472', '']","['26,065', '']","['187', '']","['1,182', '']","['24,633', '']","['40', '']","['0', '']","['0', '']","['0', '']","['23', '']"
8005,r008,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,7,"['20,430', '']","['21,951', '']","['24,298', '']","['636', '']","['1,959', '']","['11,920', '']","['243', '']","['0', '']","['7,985', '']","['0', '']","['1,555', '']"
8005,r009,All institutions -> U. South Florida<sup>a</sup>,All institutions,U. South Florida<sup>a</sup>,2,8,"['17,220', '']","['16,872', '']","['24,086', '']","['1,179', '']","['302', '']","['21,733', '']","['81', '']","['0', '']","['416', '']","['41', '']","['334', '']"
8005,r010,All institutions -> Florida State U.,All institutions,Florida State U.,2,9,"['18,312', '']","['21,067', '']","['22,599', '']","['3', '']","['780', '']","['20,384', '']","['272', '']","['19', '']","['967', '']","['71', '']","['103', '']"
8005,r011,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,10,"['18,990', '']","['20,294', '']","['20,850', '']","['672', '']","['353', '']","['7,942', '']","['39', '']","['0', '']","['9,949', '']","['58', '']","['1,837', '']"
8005,r012,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,11,"['18,754', '']","['20,102', '']","['19,989', '']","['452', '']","['92', '']","['4,788', '']","['1,432', '']","['277', '']","['7,877', '']","['106', '']","['4,965', '']"
8005,r013,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,12,"['16,900', '']","['17,485', '']","['19,474', '']","['0', '']","['9', '']","['16,017', '']","['40', '']","['0', '']","['339', '']","['27', '']","['3,042', '']"
