table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
3184,r001,United States,United States,,,,1,"['83,496,348', '']","['2,639,334', '']","['3,185,089', '']","['48,230,138', '']","['769,722', '']","['5,551,281', '']","['1,322,793', '']","['2,805,477', '']","['915,083', '']","['13,214,359', '']","['4,863,072', '']"
3184,r002,United States -> Public,United States,Public,,,2,"['54,645,841', '']","['1,615,290', '']","['2,545,640', '']","['30,187,596', '']","['481,620', '']","['3,479,429', '']","['986,781', '']","['1,897,340', '']","['711,316', '']","['9,225,250', '']","['3,515,579', '']"
3184,r003,United States -> Private,United States,Private,,,2,"['28,850,507', '']","['1,024,044', '']","['639,449', '']","['18,042,542', '']","['288,102', '']","['2,071,852', '']","['336,012', '']","['908,137', '']","['203,767', '']","['3,989,109', '']","['1,347,493', '']"
3184,r004,United States -> Alabama,United States,Alabama,,,2,"['1,123,491', '']","['51,082', '']","['24,783', '']","['708,999', '']","['6,758', '']","['39,525', '']","['11,013', '']","['19,711', '']","['3,526', '']","['190,034', '']","['68,060', '']"
3184,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['1,102,929', '']","['50,681', '']","['24,783', '']","['700,572', '']","['5,542', '']","['39,362', '']","['11,013', '']","['14,908', '']","['3,346', '']","['184,662', '']","['68,060', '']"
3184,r006,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['12,840', '']","['441', 'i']","['0', 'i']","['7,546', 'i']","['123', 'i']","['932', 'i']","['256', 'i']","['437', 'i']","['0', 'i']","['2,354', 'i']","['751', 'i']"
3184,r007,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['2,577', '']","['0', '']","['0', '']","['2,577', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3184,r008,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['231,619', '']","['4,368', '']","['2,690', '']","['104,935', '']","['3,706', '']","['13,220', '']","['2,457', '']","['5,387', '']","['3,346', '']","['59,742', '']","['31,768', '']"
3184,r009,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['2,429', '']","['31', '']","['0', '']","['114', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['22', '']","['2,262', '']"
3184,r010,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['607,863', '']","['827', '']","['870', '']","['533,536', '']","['876', '']","['5,961', '']","['4,933', '']","['803', '']","['0', '']","['47,555', '']","['12,502', '']"
3184,r011,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['109,744', '']","['29,177', '']","['16,001', '']","['2,815', '']","['627', '']","['12,963', '']","['183', '']","['2,325', '']","['0', '']","['40,733', '']","['4,920', '']"
