table_id,row_id,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_full_path,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_1,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_2,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_3,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_4,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_5,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_level_6,_b_number_source_of_funds_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5401,r001,All institutions,All institutions,,,,,,1,,,,,,,,,,,
5401,r002,All institutions -> Number of institutions with clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,,,,,2,173,178,166,169,176,178,174,181,180,190,188
5401,r003,All institutions -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,,,,3,43587067,46154058,46182393,47521867,48823411,50518176,52974681,56092244,60209082,64940633,67014405
5401,r004,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,,4,1533053,1587503,1667554,1756031,1998453,2138547,2367976,2621635,2938633,3091243,3320934
5401,r005,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,,4,27502023,29715665,28976410,28839622,28242451,28219390,29059366,30420421,32032218,34836936,36181288
5401,r006,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,,5,539834,637812,665163,747442,793733,840757,867041,920753,1031876,1183607,1310818
5401,r007,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,,4,16085044,16438393,17205983,18682245,20580960,22298786,23915315,25671823,28176864,30103697,30833117
5401,r008,All institutions -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,,5,993219,949691,1002391,1008589,1204720,1297790,1500935,1700882,1906757,1907636,2010116
5401,r009,All institutions -> Doctorate,All institutions,Doctorate,,,,,2,,,,,,,,,,,
5401,r010,All institutions -> Doctorate -> Number of institutions with clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,,,,3,147,150,150,154,159,163,159,167,168,177,178
5401,r011,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,,,4,43531732,46058907,46080033,47464317,48764898,50456805,52898447,56018930,60151970,64864524,66944565
5401,r012,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,1525982,1577952,1659319,1748068,1989065,2132071,2361367,2616509,2934654,3087243,3316058
5401,r013,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,27465906,29664114,28918557,28803492,28214054,28191478,29029502,30392429,32006281,34804487,36155946
5401,r014,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,535066,631248,658212,740173,785860,835589,862211,916381,1028638,1180524,1307375
5401,r015,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,5,16065826,16394793,17161476,18660825,20550844,22265327,23868945,25626501,28145689,30060037,30788619
5401,r016,All institutions -> Doctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Doctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,6,990916,946704,1001107,1007895,1203205,1296482,1499156,1700128,1906016,1906719,2008683
5401,r017,All institutions -> Nondoctorate,All institutions,Nondoctorate,,,,,2,,,,,,,,,,,
5401,r018,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,,,,3,26,28,16,15,17,15,15,14,12,13,10
5401,r019,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,,,4,55335,95151,102360,57550,58513,61371,76234,73314,57112,76109,69840
5401,r020,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,7071,9551,8235,7963,9388,6476,6609,5126,3979,4000,4876
5401,r021,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,36117,51551,57853,36130,28397,27912,29864,27992,25937,32449,25342
5401,r022,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,4768,6564,6951,7269,7873,5168,4830,4372,3238,3083,3443
5401,r023,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,5,19218,43600,44507,21420,30116,33459,46370,45322,31175,43660,44498
5401,r024,All institutions -> Nondoctorate -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Nondoctorate,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,6,2303,2987,1284,694,1515,1308,1779,754,741,917,1433
5401,r025,All institutions -> Public,All institutions,Public,,,,,2,,,,,,,,,,,
5401,r026,All institutions -> Public -> Number of institutions with clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,,,,3,100,101,96,100,106,111,107,111,114,124,124
5401,r027,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,,,4,27143937,29081518,28993617,29832528,30727888,31975939,33203172,34968934,37922227,41069526,42543456
5401,r028,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,578615,599545,633542,709889,754804,802818,948240,1070820,1210863,1292386,1417760
5401,r029,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,15921337,17253156,16779967,16830718,16417539,16462490,17021809,17749111,18811258,20604047,21461470
5401,r030,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,162213,204202,223816,244240,235778,246200,263574,265194,304928,388288,441685
5401,r031,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,5,11222600,11828362,12213650,13001810,14310349,15513449,16181363,17219823,19110969,20465479,21081986
5401,r032,All institutions -> Public -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Public,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,6,416402,395343,409726,465649,519026,556618,684666,805626,905935,904098,976075
5401,r033,All institutions -> Private,All institutions,Private,,,,,2,,,,,,,,,,,
5401,r034,All institutions -> Private -> Number of institutions with clinical trials R&D,All institutions,Private,Number of institutions with clinical trials R&D,,,,3,73,77,70,69,70,67,67,70,66,66,64
5401,r035,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,,,4,16443130,17072540,17188776,17689339,18095523,18542237,19771509,21123310,22286855,23871107,24470949
5401,r036,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> All clinical trials R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,All clinical trials R&D,,5,954438,987958,1034012,1046142,1243649,1335729,1419736,1550815,1727770,1798857,1903174
5401,r037,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,Federal R&D,,5,11580686,12462509,12196443,12008904,11824912,11756900,12037557,12671310,13220960,14232889,14719818
5401,r038,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> Federal R&D -> Federal clinical trials R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,Federal R&D,Federal clinical trials R&D,6,377621,433610,441347,503202,557955,594557,603467,655559,726948,795319,869133
5401,r039,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,,5,4862444,4610031,4992333,5680435,6270611,6785337,7733952,8452000,9065895,9638218,9751131
5401,r040,All institutions -> Private -> Number of institutions with clinical trials R&D -> All R&D -> Nonfederal R&D -> Nonfederal clinical trials R&D,All institutions,Private,Number of institutions with clinical trials R&D,All R&D,Nonfederal R&D,Nonfederal clinical trials R&D,6,576817,554348,592665,542940,685694,741172,816269,895256,1000822,1003538,1034041
