table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_level_5,field_of_study_and_sex_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_tenured_number,field_tenured_se,field_not_tenured_on_tenure_track_number,field_not_tenured_on_tenure_track_se,field_not_tenured_not_on_tenure_track_number,field_not_tenured_not_on_tenure_track_se,field_tenure_not_applicable_number,field_tenure_not_applicable_se
8199,r001,All fields,All fields,,,,,1,340950,2450,157000,1775,50550,1025,53550,1225,79850,1425
8199,r002,All fields -> Male,All fields,Male,,,,2,204700,2175,104600,1650,28350,825,29400,875,42400,1175
8199,r003,All fields -> Female,All fields,Female,,,,2,136250,1375,52400,1000,22200,625,24200,800,37450,900
8199,r004,All fields -> Science,All fields,Science,,,,2,272450,2175,125900,1600,38000,950,43150,1025,65400,1350
8199,r005,All fields -> Science -> Male,All fields,Science,Male,,,3,160900,1875,82550,1350,20700,725,23700,825,33950,1050
8199,r006,All fields -> Science -> Female,All fields,Science,Female,,,3,111550,1300,43350,925,17300,525,19450,700,31450,875
8199,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,95500,1375,35900,1000,12550,550,18150,650,28900,850
8199,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,,4,53800,1150,23850,875,6550,400,9850,475,13600,575
8199,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,,4,41700,875,12050,550,6000,325,8300,475,15350,625
8199,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,7350,350,3700,250,950,125,1150,175,1550,200
8199,r011,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Male,5,5000,300,2950,250,500,100,650,125,900,175
8199,r012,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Female,5,2350,175,750,100,450,75,450,100,650,100
8199,r013,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,,4,11150,550,4500,375,900,175,2350,275,3400,325
8199,r014,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Male,5,7150,450,3300,325,600,150,1600,250,1650,225
8199,r015,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Female,5,4050,325,1250,200,350,100,750,125,1700,275
8199,r016,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",,4,12900,525,4250,375,1400,225,2200,275,5050,425
8199,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",Male,5,6850,450,2450,325,700,150,1300,200,2400,325
8199,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",Female,5,6100,350,1800,200,700,175,900,175,2650,250
8199,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,,4,9050,425,2950,275,1250,175,1700,250,3200,300
