table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences
11709,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,57862,45973,1278,9724,2297,10724,1216,2746,2056,1704,5443,3793,4992
11709,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,,,,,,,,,,,
11709,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,52.5,55.4,44.8,45.6,74.4,73.4,54.9,28.7,72.0,61.3,66.0,23.3,48.7
11709,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,47.5,44.6,55.2,54.4,25.6,26.6,45.0,71.3,28.0,38.7,34.0,76.6,51.2
11709,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.05,0.05,0.0,0.05,0.0,0.0,0.1,0.0,0.05,0.0,0.05,0.05,0.05
11709,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),,,2,,,,,,,,,,,,,
11709,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),U.S. citizen or permanent resident,,3,61.5,58.8,60.9,72.0,35.7,42.4,63.6,71.1,45.2,48.5,57.7,83.8,61.4
11709,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Temporary visa holder,,3,33.5,36.6,35.5,24.2,58.2,52.6,32.0,22.7,51.0,47.7,38.5,8.8,34.4
11709,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Unknown,,3,5.0,4.7,3.6,3.8,6.1,5.0,4.4,6.2,3.8,3.8,3.8,7.4,4.2
11709,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,,,,,,,,,,,
11709,r011,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Never married,,3,38.6,41.8,36.5,42.8,42.0,46.0,41.6,25.9,54.0,42.1,50.8,30.7,34.5
11709,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,37.2,34.6,39.3,33.9,35.7,33.5,33.1,47.9,24.9,36.2,27.3,35.3,40.9
11709,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,9.3,9.8,9.1,12.5,6.1,7.3,13.2,6.6,9.0,8.3,10.3,13.4,10.8
11709,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,3.0,2.4,2.4,1.9,2.4,1.3,2.7,5.3,1.5,2.7,1.2,4.0,4.2
11709,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,12.0,11.3,12.8,8.9,13.8,12.0,9.3,14.3,10.6,10.7,10.3,16.6,9.7
11709,r016,All doctorate recipients (number)<sup>a</sup> -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Has dependent age 18 or younger (%),,,2,19.2,15.9,21.6,13.3,16.3,14.3,14.9,33.6,9.4,15.2,9.5,18.7,21.6
11709,r017,All doctorate recipients (number)<sup>a</sup> -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Has one or more functional limitations (%),,,2,14.2,13.6,16.7,14.9,12.1,10.2,16.1,12.6,11.1,13.1,13.9,17.1,15.8
11709,r018,All doctorate recipients (number)<sup>a</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Age at doctorate (median years),,,2,31.4,30.7,31.9,30.4,30.8,30.1,30.8,34.8,29.2,31.1,29.3,31.3,33.1
11709,r019,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,60.6,64.3,48.4,64.2,38.8,78.4,49.8,46.4,80.6,14.0,77.2,70.9,55.2
11709,r020,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),,,2,73.2,68.0,77.9,44.6,74.7,74.4,68.9,80.9,68.8,76.4,50.3,89.0,89.0
11709,r021,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),Master's earned at same doctorate institution (%),,3,44.6,48.6,36.5,38.5,50.1,51.2,45.2,32.1,53.2,48.6,56.8,65.4,46.2
11709,r022,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),,,2,,,,,,,,,,,,,
11709,r023,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),Years since earning bachelor's degree,,3,8.6,8.0,9.0,7.8,8.2,7.4,8.1,11.4,7.0,8.3,6.7,8.6,10.2
11709,r024,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From graduate school start,,3,7.2,6.8,7.3,6.4,7.0,6.6,6.8,9.0,6.0,7.0,6.0,6.9,8.7
11709,r025,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From doctoral program start<sup>c</sup>,,3,5.7,5.6,5.0,5.8,5.7,5.3,5.7,5.0,5.3,5.3,5.7,5.9,6.0
11709,r026,All doctorate recipients (number)<sup>a</sup> -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Received tuition remission (%),,,2,85.6,87.4,88.0,90.4,86.1,86.5,88.0,72.1,93.8,86.1,91.4,81.5,89.6
11709,r027,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),,,2,30356,25480,572,4433,1710,7873,668,789,1480,1044,3594,885,2432
11709,r028,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),,3,,,,,,,,,,,,,
11709,r029,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,54.9,52.3,56.6,70.2,35.0,40.4,57.0,62.6,46.8,44.1,55.7,82.3,56.2
11709,r030,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,40.2,43.1,39.9,25.7,59.6,55.0,38.2,31.1,48.9,52.2,40.5,8.9,39.5
11709,r031,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Unknown,4,4.9,4.6,3.5,4.1,5.4,4.6,4.8,6.3,4.4,3.7,3.9,8.8,4.3
11709,r032,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,,,,,,,,,,
11709,r033,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,42.1,44.9,36.4,44.1,44.2,46.9,43.1,31.1,56.6,45.7,51.6,31.5,35.4
11709,r034,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Married,4,35.9,33.7,40.9,33.2,34.9,33.7,34.7,44.1,23.0,36.2,27.5,35.5,42.1
11709,r035,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,8.4,8.6,8.6,11.8,5.8,6.6,10.9,7.0,8.2,7.6,9.2,12.8,9.3
11709,r036,"All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,1.9,1.7,1.2,1.6,2.3,1.1,2.2,2.9,1.1,1.5,1.1,3.1,3.2
11709,r037,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,11.7,11.1,12.9,9.3,12.9,11.6,9.0,15.0,11.1,9.0,10.5,17.2,9.9
11709,r038,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has dependent age 18 or younger (%),,3,18.4,15.6,24.7,14.2,15.7,15.7,18.5,29.2,7.9,13.6,10.6,20.6,21.7
11709,r039,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has one or more functional limitations (%),,3,12.3,11.8,15.7,13.3,11.8,9.3,12.2,11.9,10.0,13.1,12.9,15.5,14.0
11709,r040,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,31.2,30.6,32.3,30.8,30.6,30.3,31.3,32.9,29.2,31.0,29.5,32.3,33.1
11709,r041,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,63.4,66.0,50.8,62.3,39.7,80.1,50.6,37.2,80.5,14.5,77.6,66.0,58.9
11709,r042,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),,3,71.5,67.6,80.6,45.0,73.4,75.3,72.6,74.5,67.4,74.7,52.2,87.1,87.0
11709,r043,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,44.8,48.0,36.7,36.5,50.7,50.6,43.9,32.2,51.3,50.1,55.7,62.6,43.6
