table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
6117,r001,Institutions,Institutions,,,,1,116,16.3,84,11.8
6117,r002,Schools,Schools,,,,1,125,15.5,87,10.8
6117,r003,Units,Units,,,,1,156,0.7,102,0.5
6117,r004,All individuals,All individuals,,,,1,1696,100.0,525,100.0
6117,r005,All individuals -> Male,All individuals,Male,,,2,1089,64.2,332,63.2
6117,r006,All individuals -> Female,All individuals,Female,,,2,607,35.8,193,36.8
6117,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,726,42.8,na,na
6117,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,39,2.3,na,na
6117,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,
6117,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,3,0.2,na,na
6117,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,201,11.9,na,na
6117,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,30,1.8,na,na
6117,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,0,0.0,na,na
6117,r014,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,386,22.8,na,na
6117,r015,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,17,1.0,na,na
6117,r016,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,50,2.9,na,na
6117,r017,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,970,57.2,na,na
6117,r018,Primary source of support,Primary source of support,,,,1,,,,
6117,r019,Primary source of support -> Federal,Primary source of support,Federal,,,2,976,57.5,na,na
6117,r020,Primary source of support -> Nonfederal<sup>b</sup>,Primary source of support,Nonfederal<sup>b</sup>,,,2,639,37.7,na,na
6117,r021,Primary source of support -> Personal resources,Primary source of support,Personal resources,,,2,5,0.3,na,na
6117,r022,Primary source of support -> Unknown or not stated,Primary source of support,Unknown or not stated,,,2,76,4.5,na,na
6117,r023,Primary mechanism of support,Primary mechanism of support,,,,1,,,,
6117,r024,Primary mechanism of support -> Fellowships,Primary mechanism of support,Fellowships,,,2,157,9.3,na,na
6117,r025,Primary mechanism of support -> Research grants,Primary mechanism of support,Research grants,,,2,1226,72.3,na,na
6117,r026,Primary mechanism of support -> Traineeships,Primary mechanism of support,Traineeships,,,2,48,2.8,na,na
6117,r027,Primary mechanism of support -> Other types of support,Primary mechanism of support,Other types of support,,,2,265,15.6,na,na
6117,r028,Degree type<sup>c</sup>,Degree type<sup>c</sup>,,,,1,,,,
6117,r029,Degree type<sup>c</sup> -> Doctoral degree,Degree type<sup>c</sup>,Doctoral degree,,,2,1260,74.3,431,82.1
6117,r030,Degree type<sup>c</sup> -> Professional degree,Degree type<sup>c</sup>,Professional degree,,,2,42,2.5,19,3.6
6117,r031,Degree type<sup>c</sup> -> Dual degree,Degree type<sup>c</sup>,Dual degree,,,2,23,1.4,4,0.8
6117,r032,Degree type<sup>c</sup> -> Doctoral degree type unknown,Degree type<sup>c</sup>,Doctoral degree type unknown,,,2,371,21.9,71,13.5
6117,r033,Degree origin,Degree origin,,,,1,,,,
6117,r034,Degree origin -> United States,Degree origin,United States,,,2,640,37.7,na,na
6117,r035,Degree origin -> Foreign country,Degree origin,Foreign country,,,2,433,25.5,na,na
6117,r036,Degree origin -> Unknown,Degree origin,Unknown,,,2,623,36.7,na,na
