table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,characteristic_hierarchy_depth,field_all_engineering_fields,field_aerospace_aeronautical_and_astronautical_engineering,field_bioengineering_and_biomedical_engineering,field_chemical_engineering,field_civil_engineering,field_electrical_electronics_and_communications_engineering,field_industrial_and_manufacturing_engineering,field_materials_science_engineering,field_mechanical_engineering,field_other_engineering
1789,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,,,1,10183,383,1134,981,677,1951,272,995,1504,2286
1789,r002,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,,,,,2,,,,,,,,,,
1789,r003,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study,,,,3,2088,72,355,202,157,285,30,235,314,438
1789,r004,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment,,,,3,4021,173,279,349,239,1004,136,326,548,967
1789,r005,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Seeking employment or study,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Seeking employment or study,,,,3,3015,91,378,333,191,470,79,343,474,656
1789,r006,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Other<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Other<sup>c</sup>,,,,3,205,6,62,16,13,26,1,9,26,46
1789,r007,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,,,,3,,,,,,,,,,
1789,r008,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup> -> Postdoc fellowship or research associateship,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,Postdoc fellowship or research associateship,,,4,95.4,100.0,95.8,97.5,91.7,91.9,100.0,97.4,97.1,94.1
1789,r009,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup> -> Other or unknown<sup>e</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,Other or unknown<sup>e</sup>,,,4,4.6,0.0,4.2,2.5,8.3,8.1,0.0,2.6,2.9,5.9
1789,r010,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,,,,3,,,,,,,,,,
1789,r011,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Academe,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Academe,,,4,16.0,13.3,19.4,7.7,27.6,10.5,35.3,9.2,21.0,18.1
1789,r012,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Government,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Government,,,4,8.0,26.0,3.9,3.4,,5.4,7.4,,7.3,10.5
1789,r013,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Industry or business<sup>g</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Industry or business<sup>g</sup>,,,4,70.7,52.6,70.6,84.8,56.9,79.0,50.7,79.4,65.7,66.3
1789,r014,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Nonprofit organization,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Nonprofit organization,,,4,3.3,6.4,2.9,1.7,,3.8,4.4,,4.0,2.9
1789,r015,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Other or unknown<sup>h</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Other or unknown<sup>h</sup>,,,4,2.1,1.7,3.2,2.3,2.5,1.4,2.2,3.1,2.0,2.2
1789,r016,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,,,4,,,,,,,,,,
1789,r017,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> R&D,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,R&D,,5,74.2,82.4,65.2,82.2,41.3,86.8,51.5,83.0,74.2,67.8
1789,r018,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Teaching,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Teaching,,5,9.0,4.2,7.6,4.9,17.4,5.6,23.9,4.2,13.3,10.1
1789,r019,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Management or administration,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Management or administration,,5,3.9,,6.8,,7.4,1.7,9.7,2.3,2.5,6.0
1789,r020,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Professional services,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Professional services,,5,12.4,,20.1,,33.5,5.0,14.9,9.2,9.4,16.0
1789,r021,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Other,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Other,,5,0.5,0.6,0.4,0.0,0.4,0.9,0.0,1.3,0.6,0.1
1789,r022,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,,,4,,,,,,,,,,
1789,r023,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> R&D,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,R&D,,5,12.3,8.5,12.1,4.3,27.0,7.4,20.9,5.6,13.8,17.4
