table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_product_or_business_process_innovation_number_yes,field_product_or_business_process_innovation_number_no,field_product_or_business_process_innovation_percent_yes,field_product_or_business_process_innovation_percent_no
5660,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['    4,805,151 ', '&nbsp;']","['    1,428,609 ', '&nbsp;']","['    3,376,542 ', '&nbsp;']","['    29.7 ', '&nbsp;']","['    70.3 ', '&nbsp;']"
5660,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5660,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['    4,170,180 ', '&nbsp;']","['    1,200,084 ', '&nbsp;']","['    2,970,096 ', '&nbsp;']","['    28.8 ', '&nbsp;']","['    71.2 ', '&nbsp;']"
5660,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['    473,828 ', '&nbsp;']","['    175,829 ', '&nbsp;']","['    297,999 ', '&nbsp;']","['    37.1 ', '&nbsp;']","['    62.9 ', '&nbsp;']"
5660,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['    94,492 ', '&nbsp;']","['    32,606 ', '&nbsp;']","['    61,886 ', '&nbsp;']","['    34.5 ', '&nbsp;']","['    65.5 ', '&nbsp;']"
5660,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['    21,567 ', '&nbsp;']","['    6,760 ', '&nbsp;']","['    14,807 ', '&nbsp;']","['    31.3 ', '&nbsp;']","['    68.7 ', '&nbsp;']"
5660,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['    5,446 ', '&nbsp;']","['    1,412 ', '&nbsp;']","['    4,034 ', '&nbsp;']","['    25.9 ', '&nbsp;']","['    74.1 ', '&nbsp;']"
5660,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5660,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['    271,545 ', '&nbsp;']","['    98,245 ', '&nbsp;']","['    173,300 ', '&nbsp;']","['    36.2 ', '&nbsp;']","['    63.8 ', '&nbsp;']"
5660,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['    41,138 ', '&nbsp;']","['    13,972 ', '&nbsp;']","['    27,166 ', '&nbsp;']","['    34.0 ', '&nbsp;']","['    66.0 ', '&nbsp;']"
5660,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['    4,449,259 ', '&nbsp;']","['    1,303,116 ', '&nbsp;']","['    3,146,143 ', '&nbsp;']","['    29.3 ', '&nbsp;']","['    70.7 ', '&nbsp;']"
5660,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5660,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['    853,539 ', '&nbsp;']","['    309,153 ', '&nbsp;']","['    544,386 ', '&nbsp;']","['    36.2 ', '&nbsp;']","['    63.8 ', '&nbsp;']"
5660,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['    376,112 ', '&nbsp;']","['    132,508 ', '&nbsp;']","['    243,604 ', '&nbsp;']","['    35.2 ', '&nbsp;']","['    64.8 ', '&nbsp;']"
5660,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['    71,956 ', '&nbsp;']","['    23,872 ', '&nbsp;']","['    48,084 ', '&nbsp;']","['    33.2 ', '&nbsp;']","['    66.8 ', '&nbsp;']"
5660,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['    3,836,446 ', '&nbsp;']","['    1,082,306 ', '&nbsp;']","['    2,754,140 ', '&nbsp;']","['    28.2 ', '&nbsp;']","['    71.8 ', '&nbsp;']"
5660,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['    43,211 ', '&nbsp;']","['    13,279 ', '&nbsp;']","['    29,932 ', '&nbsp;']","['    30.7 ', '&nbsp;']","['    69.3 ', '&nbsp;']"
