table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_level_4,demographic_characteristic_hierarchy_depth,field_all_doctorate_recipients,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
1764,r001,All doctorate recipients,All doctorate recipients,,,,1,17.8,21.2,15.5,11.3,19.4,12.5,27.0,17.2,16.7
1764,r002,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,2,,,,,,,,,
1764,r003,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,3,16.6,20.7,15.0,11.2,19.1,12.5,28.7,18.4,16.0
1764,r004,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,3,19.4,21.7,16.5,11.9,19.6,12.7,26.3,16.1,17.4
1764,r005,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,2,,,,,,,,,
1764,r006,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,,3,24.3,26.3,22.1,19.7,24.2,20.9,31.1,20.4,25.1
1764,r007,All doctorate recipients -> Citizenship status -> Temporary visa holder,All doctorate recipients,Citizenship status,Temporary visa holder,,3,6.6,9.2,6.2,5.0,5.3,6.9,6.7,4.5,5.3
1764,r008,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,
1764,r009,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,33.1,35.4,29.9,30.9,32.5,27.9,45.0,27.3,28.4
1764,r010,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,
1764,r011,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,42.6,38.1,,,47.1,,39.1,58.3,
1764,r012,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,16.8,17.5,19.1,13.0,18.8,14.6,22.4,12.3,14.8
1764,r013,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,25.4,29.0,22.3,18.8,24.6,25.1,26.2,18.0,26.6
1764,r014,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,24.3,26.7,22.0,20.8,23.5,21.6,31.4,20.1,25.3
1764,r015,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,29.3,28.4,25.7,19.0,28.1,27.1,35.0,33.9,42.6
1764,r016,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,20.8,19.2,,,23.7,,25.0,24.1,
1764,r017,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,10.5,15.0,6.1,0.0,12.2,7.4,18.3,5.4,12.1
