table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_totala,field_u_s_citizen,field_non_u_s_citizen,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_non_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_non_u_s_citizen,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_non_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_non_u_s_citizen,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_non_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_non_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_non_u_s_citizen,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_non_u_s_citizen
7656,r001,All doctorate recipients (number),All doctorate recipients (number),,,,1,47433,30374,16814,2729,1127,91,,2937,11352,2328,576,20717,3290,1074,,306,240,192,113
7656,r002,All doctorate recipients (number) -> Definite postdoctoral training plans,All doctorate recipients (number),Definite postdoctoral training plans,,,2,28.9,27.5,31.6,28.9,34.6,25.3,,28.4,31.7,17.1,21.4,28.3,31.9,30.6,,20.9,27.9,19.3,33.6
7656,r003,All doctorate recipients (number) -> Definite employment plans,All doctorate recipients (number),Definite employment plans,,,2,41.0,42.8,37.8,40.9,36.1,51.6,,39.9,37.9,50.3,37.2,42.6,37.5,40.9,,46.4,43.3,44.3,37.2
7656,r004,All doctorate recipients (number) -> Seeking employment or study,All doctorate recipients (number),Seeking employment or study,,,2,26.9,26.0,28.6,26.5,27.1,20.9,,26.3,28.8,28.8,39.2,25.7,27.9,24.2,,26.8,20.8,24.5,19.5
7656,r005,All doctorate recipients (number) -> Other status<sup>b</sup>,All doctorate recipients (number),Other status<sup>b</sup>,,,2,3.1,3.7,2.0,3.6,2.2,2.2,0.0,5.4,1.6,3.7,2.1,3.3,2.5,4.3,1.8,5.6,7.5,11.5,6.2
7656,r006,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup>,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,,,2,,,,,,,,,,,,,,,,,,,
7656,r007,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Academe,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Academe,,3,38.4,40.1,35.0,42.1,46.7,61.7,,31.1,30.4,42.7,37.4,40.9,45.1,38.3,57.4,35.9,,35.3,28.6
7656,r008,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Academe -> In tenure track faculty position (%),All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Academe,In tenure track faculty position (%),4,45.4,35.5,68.5,39.4,66.8,31.0,,38.7,71.1,37.8,47.5,34.3,65.5,33.3,74.1,43.1,,33.3,66.7
7656,r009,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Academe -> Not in tenure track position (%),All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Academe,Not in tenure track position (%),4,50.8,61.6,26.0,58.7,27.4,62.1,,57.1,24.3,58.0,40.0,63.0,28.2,62.5,25.9,52.9,,63.3,16.7
7656,r010,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Government,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Government,,3,7.9,10.0,3.9,10.0,8.4,10.6,,7.6,2.8,12.5,9.8,9.8,5.0,9.8,,14.1,,16.5,7.1
7656,r011,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Industry or business<sup>d</sup>,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Industry or business<sup>d</sup>,,3,40.9,33.7,55.8,30.0,38.6,,,49.8,62.5,21.7,41.1,33.8,43.8,34.4,29.8,,,30.6,50.0
7656,r012,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Nonprofit organization,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Nonprofit organization,,3,6.5,8.2,3.2,8.3,4.7,,,7.7,2.8,9.7,8.9,7.8,2.8,9.1,,,,9.4,2.4
7656,r013,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Other or unknown<sup>e</sup>,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Other or unknown<sup>e</sup>,,3,6.2,8.1,2.2,9.6,1.7,10.6,0.0,3.8,1.5,13.4,2.8,7.7,3.3,8.4,8.5,8.5,9.6,8.2,11.9
7656,r014,All doctorate recipients (number) -> Postgraduation location (%)<sup>f</sup>,All doctorate recipients (number),Postgraduation location (%)<sup>f</sup>,,,2,,,,,,,,,,,,,,,,,,,
7656,r015,All doctorate recipients (number) -> Postgraduation location (%)<sup>f</sup> -> United States,All doctorate recipients (number),Postgraduation location (%)<sup>f</sup>,United States,,3,89.5,98.0,72.1,98.7,67.8,,,97.5,77.4,98.8,60.7,97.9,59.3,98.2,53.2,,,95.3,85.7
7656,r016,All doctorate recipients (number) -> Postgraduation location (%)<sup>f</sup> -> Outside the United States,All doctorate recipients (number),Postgraduation location (%)<sup>f</sup>,Outside the United States,,3,10.5,2.0,27.8,1.2,32.2,,,2.5,22.5,1.1,39.3,2.1,40.6,1.8,,,,3.5,14.3
7656,r017,All doctorate recipients (number) -> Postgraduation location (%)<sup>f</sup> -> Location unknown,All doctorate recipients (number),Postgraduation location (%)<sup>f</sup>,Location unknown,,3,0.1,0.05,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.1,0.0,0.0,0.0,1.0,1.2,0.0
7656,r018,All doctorate recipients (number) -> Postgraduation location in same state as doctorate institution (%),All doctorate recipients (number),Postgraduation location in same state as doctorate institution (%),,,2,22.9,29.3,11.1,29.8,10.3,40.0,,27.5,11.2,34.3,11.3,28.9,11.8,27.5,7.1,34.0,,30.3,10.0
