table_id,row_id,occupation_employer_tenure_status_and_sex_full_path,occupation_employer_tenure_status_and_sex_level_1,occupation_employer_tenure_status_and_sex_level_2,occupation_employer_tenure_status_and_sex_level_3,occupation_employer_tenure_status_and_sex_level_4,occupation_employer_tenure_status_and_sex_level_5,occupation_employer_tenure_status_and_sex_level_6,occupation_employer_tenure_status_and_sex_level_7,occupation_employer_tenure_status_and_sex_hierarchy_depth,field_total,field_all_employed_benefit_available_on_principal_job_health_insurance,field_all_employed_benefit_available_on_principal_job_pension_or_retirement_plan,field_all_employed_benefit_available_on_principal_job_profit_sharing_plan,field_all_employed_benefit_available_on_principal_job_paid_vacation_sick_or_personal_days,field_median_salary_for_full_time_employed_a
3327,r001,All occupations,All occupations,,,,,,,1,857200,754600,697400,175900,692250,119000
3327,r002,All occupations -> 4-year educational institutions<sup>b</sup>,All occupations,4-year educational institutions<sup>b</sup>,,,,,,2,344350,328400,314900,19200,266750,95000
3327,r003,All occupations -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,,,,3,211350,208850,206050,11150,159900,104000
3327,r004,All occupations -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,,,,3,133000,119550,108850,8050,106850,75000
3327,r005,All occupations -> Other educational institutions<sup>c</sup>,All occupations,Other educational institutions<sup>c</sup>,,,,,,2,30900,25500,25300,1750,24700,76000
3327,r006,All occupations -> Government,All occupations,Government,,,,,,2,77800,73750,70450,8200,73350,120000
3327,r007,All occupations -> Private sector (profit and nonprofit),All occupations,Private sector (profit and nonprofit),,,,,,2,404200,326950,286750,146750,327450,142000
3327,r008,All occupations -> Female,All occupations,Female,,,,,,2,311200,264350,245550,51600,243700,100000
3327,r009,All occupations -> Female -> 4-year educational institutions<sup>b</sup>,All occupations,Female,4-year educational institutions<sup>b</sup>,,,,,3,132500,125000,119000,8150,103800,86000
3327,r010,All occupations -> Female -> 4-year educational institutions<sup>b</sup> -> Tenure or on tenure track,All occupations,Female,4-year educational institutions<sup>b</sup>,Tenure or on tenure track,,,,4,71950,70950,69700,4150,55000,95000
3327,r011,All occupations -> Female -> 4-year educational institutions<sup>b</sup> -> Not tenure track or tenure not applicable,All occupations,Female,4-year educational institutions<sup>b</sup>,Not tenure track or tenure not applicable,,,,4,60550,54050,49300,4000,48800,72000
3327,r012,All occupations -> Female -> Other educational institutions<sup>c</sup>,All occupations,Female,Other educational institutions<sup>c</sup>,,,,,3,16600,13250,13100,1050,13350,76000
