table_id,row_id,business_sector,abbreviation_where_applicable_,nice_class,class_description
1948,r001,Agricultural products and services,Agriculture,,
1948,r002,,,29,"Meat, fish, poultry, and game; meat extracts; preserved, frozen, dried, and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk, cheese, butter, yogurt, and other milk products; oils and fats for food."
1948,r003,,,30,"Coffee, tea, cocoa, and artificial coffee; rice, pasta, and noodles; tapioca and sago; flour and preparations made from cereals; bread, pastries, and confectionery; chocolate; ice cream, sorbets, and other edible ices; sugar, honey, treacle; yeast, baking powder; salt, seasonings, spices, preserved herbs; vinegar, sauces, and other condiments; ice (frozen water)."
1948,r004,,,31,"Raw and unprocessed agricultural, aquacultural, horticultural, and forestry products; raw and unprocessed grains and seeds; fresh fruits and vegetables, fresh herbs; natural plants and flowers; bulbs, seedlings, and seeds for planting; live animals; foodstuffs and beverages for animals; malt."
1948,r005,,,32,Beers; non-alcoholic beverages; mineral and aerated waters; fruit beverages and fruit juices; syrups and other non-alcoholic preparations for making beverages.
1948,r006,,,33,"Alcoholic beverages, except beers; alcoholic preparations for making beverages."
1948,r007,,,43,Services for providing food and drink; temporary accommodation.
1948,r008,Chemicals ,,,
1948,r009,,,1,"Chemicals for use in industry, science, and photography, as well as in agriculture, horticulture, and forestry; unprocessed artificial resins, unprocessed plastics; fire extinguishing and fire prevention compositions; tempering and soldering preparations; substances for tanning animal skins and hides; adhesives for use in industry; putties and other paste fillers; compost, manures, fertilizers; biological preparations for use in industry and science."
1948,r010,,,2,"Paints, varnishes, lacquers; preservatives against rust and against deterioration of wood; colorants, dyes; inks for printing, marking, and engraving; raw natural resins; metals in foil and powder form for use in painting, decorating, printing, and art. "
1948,r011,,,4,"Industrial oils and greases, wax; lubricants; dust-absorbing, wetting, and binding compositions; fuels and illuminants; candles and wicks for lighting. "
1948,r012,Construction and infrastructure,Construction,,
1948,r013,,,6,"Common metals and their alloys, ores; metal materials for building and construction; transportable buildings of metal; non-electric cables and wires of common metal; small items of metal hardware; metal containers for storage or transport; safes. "
1948,r014,,,17,"Unprocessed and semi-processed rubber, gutta-percha, gum, asbestos, mica, and substitutes for all these materials; plastics and resins in extruded form for use in manufacture; packing, stopping, and insulating materials; flexible pipes, tubes, and hoses, not of metal."
1948,r015,,,19,"Materials, not of metal, for building and construction; rigid pipes, not of metal, for building; asphalt, pitch, tar, and bitumen; transportable buildings, not of metal; monuments, not of metal."
1948,r016,,,37,Building construction; repair; installation services. 
1948,r017,,,40,Treatment of materials.
1948,r018,Household equipment,,,
1948,r019,,,8,"Hand tools and implements, hand-operated; cutlery; side arms, except firearms; razors. "
1948,r020,,,11,"Apparatus and installations for lighting, heating, cooling, steam generating, cooking, drying, ventilating, water supply, and sanitary purposes. "
1948,r021,,,20,"Furniture, mirrors, picture frames; containers, not of metal, for storage or transport; unworked or semi-worked bone, horn, whalebone, or mother-of-pearl; shells; meerschaum; yellow amber."
1948,r022,,,21,"Household or kitchen utensils and containers; cookware and tableware, except forks, knives, and spoons; combs and sponges; brushes, except paintbrushes; brush-making materials; articles for cleaning purposes; unworked or semi-worked glass, except building glass; glassware, porcelain, and earthenware."
1948,r023,"Leisure, education, and training",Leisure and education,,
1948,r024,,,13,Firearms; ammunition and projectiles; explosives; fireworks.
1948,r025,,,15,Musical instruments; music stands and stands for musical instruments; conductors' batons.
1948,r026,,,16,"Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; drawing materials and materials for artists; paintbrushes; instructional and teaching materials; plastic sheets, films, and bags for wrapping and packaging; printers' type, printing blocks."
1948,r027,,,28,"Games, toys, and playthings; video game apparatus; gymnastic and sporting articles; decorations for Christmas trees."
1948,r028,,,41,Education; providing of training; entertainment; sporting and cultural activities.
1948,r029,"Management, communications, real estate, and financial services",Business services,,
1948,r030,,,35,Advertising; business management; business administration; office functions. 
1948,r031,,,36,Insurance; financial affairs; monetary affairs; real estate affairs.
1948,r032,"Pharmaceuticals, health, and cosmetics",Health,,
1948,r033,,,3,"Non-medicated cosmetics and toiletry preparations; non-medicated dentifrices; perfumery, essential oils; bleaching preparations and other substances for laundry use; cleaning, polishing, scouring, and abrasive preparations. "
1948,r034,,,5,"Pharmaceuticals, medical, and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical or veterinary use, food for babies; dietary supplements for human beings and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. "
1948,r035,,,10,"Surgical, medical, dental, and veterinary apparatus and instruments; artificial limbs, eyes, and teeth; orthopedic articles; suture materials; therapeutic and assistive devices adapted for the disabled; massage apparatus; apparatus, devices, and articles for nursing infants; sexual activity apparatus, devices, and articles."
1948,r036,,,44,"Medical services; veterinary services; hygienic and beauty care for human beings or animals; agriculture, horticulture, and forestry services. "
1948,r037,"Scientific research, information, and communication technology",Research and technology,,
1948,r038,,,9,"Scientific, research, navigation, surveying, photographic, cinematographic, audiovisual, optical, weighing, measuring, signaling, detecting, testing, inspecting, life-saving, and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating, or controlling the distribution or use of electricity; apparatus and instruments for recording, transmitting, reproducing, or processing sound, images, or data; recorded and downloadable media, computer software, blank digital or analogue recording and storage media; mechanisms for coin-operated apparatus; cash registers, calculating devices; computers and computer peripheral devices; diving suits, divers' masks, ear plugs for divers, nose clips for divers and swimmers, gloves for divers, breathing apparatus for underwater swimming; fire-extinguishing apparatus."
1948,r039,,,38,Telecommunications.
1948,r040,,,42,Scientific and technological services and research and design relating thereto; industrial analysis and industrial research services; design and development of computer hardware and software.
1948,r041,,,45,Legal services; security services for the physical protection of tangible property and individuals; personal and social services rendered by others to meet the needs of individuals.
1948,r042,Textiles – clothing and accessories,Clothing,,
1948,r043,,,14,"Precious metals and their alloys; jewelry, precious and semi-precious stones; horological and chronometric instruments."
1948,r044,,,18,"Leather and imitations of leather; animal skins and hides; luggage and carrying bags; umbrellas and parasols; walking sticks; whips, harnesses, and saddlery; collars, leashes, and clothing for animals."
1948,r045,,,22,"Ropes and string; nets; tents and tarpaulins; awnings of textile or synthetic materials; sails; sacks for the transport and storage of materials in bulk; padding, cushioning, and stuffing materials, except of paper, cardboard, rubber, or plastics; raw fibrous textile materials and substitutes therefor."
1948,r046,,,23,Yarns and threads for textile use.
1948,r047,,,24,Textiles and substitutes for textiles; household linen; curtains of textile or plastic.
1948,r048,,,25,"Clothing, footwear, headwear."
1948,r049,,,26,"Lace, braid and embroidery, and haberdashery ribbons and bows; buttons, hooks and eyes, pins and needles; artificial flowers; hair decorations; false hair."
1948,r050,,,27,"Carpets, rugs, mats and matting, linoleum, and other materials for covering existing floors; wall hangings, not of textile."
1948,r051,,,34,Tobacco and tobacco substitutes; cigarettes and cigars; electronic cigarettes and oral vaporizers for smokers; smokers' articles; matches.
1948,r052,Transportation and logistics,Transportation,,
1948,r053,,,7,"Machines, machine tools, power-operated tools; motors and engines, except for land vehicles; machine coupling and transmission components, except for land vehicles; agricultural implements, other than hand-operated hand tools; incubators for eggs; automatic vending machines. "
1948,r054,,,12,"Vehicles; apparatus for locomotion by land, air, or water."
1948,r055,,,39,Transport; packaging and storage of goods; travel arrangement.
