table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2021,field_2022,field_2023_all_non_s_e_fields,field_2023_business_management_and_business_administration,field_2023_communication_and_communications_technologies,field_2023_education,field_2023_humanities,field_2023_law,field_2023_social_work,field_2023_visual_and_performing_arts,field_2023_non_s_e_nec
12706,r001,All institutions,All institutions,,1,-,"['1,355,900', '']","['1,491,165', '']","['1,724,799', '']","['109,626', '']","['58,280', '']","['890,786', '']","['65,170', '']","['35,110', '']","['205,510', '']","['20,717', '']","['339,600', '']"
12706,r002,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,1,"['14,801', '']","['25,882', '']","['43,949', '']","['48', '']","['16', '']","['36,587', '']","['2,193', '']","['101', '']","['0', '']","['25', '']","['4,979', '']"
12706,r003,All institutions -> U. Kansas,All institutions,U. Kansas,2,2,"['30,542', '']","['35,791', '']","['40,003', '']","['317', '']","['660', '']","['23,649', '']","['879', '']","['0', '']","['13,384', '']","['425', '']","['689', '']"
12706,r004,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,3,"['46,225', '']","['49,224', '']","['39,722', '']","['0', '']","['5,248', '']","['18,206', '']","['3,015', '']","['50', '']","['11,578', '']","['189', '']","['1,436', '']"
12706,r005,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,4,"['24,298', '']","['29,763', '']","['39,549', '']","['1,598', '']","['2,036', '']","['21,143', '']","['538', '']","['0', '']","['7,489', '']","['40', '']","['6,705', '']"
12706,r006,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,5,"['20,850', '']","['30,311', '']","['35,576', '']","['835', '']","['279', '']","['8,381', '']","['280', '']","['16', '']","['11,815', '']","['139', '']","['13,831', '']"
12706,r007,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,6,"['17,666', '']","['20,599', '']","['35,314', '']","['3,607', '']","['201', '']","['20,481', '']","['682', '']","['70', '']","['7,487', '']","['2,786', '']","['0', '']"
12706,r008,All institutions -> Florida State U.,All institutions,Florida State U.,2,7,"['22,599', '']","['24,597', '']","['31,072', '']","['0', '']","['1,703', '']","['28,235', '']","['225', '']","['0', '']","['686', '']","['43', '']","['180', '']"
12706,r009,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,8,"['35,971', '']","['42,579', '']","['30,212', '']","['303', '']","['45', '']","['13,777', '']","['649', '']","['73', '']","['5,369', '']","['327', '']","['9,669', '']"
12706,r010,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,9,"['27,633', '']","['12,527', '']","['29,890', '']","['3,271', '']","['319', '']","['8,746', '']","['899', '']","['0', '']","['0', '']","['93', '']","['16,562', '']"
