table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_level_5,_b_field_of_doctorate_b_hierarchy_depth,field_2021,field_2022
9478,r028,"All fields -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Computational biology",All fields,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Computational biology,5,106,154
9478,r029,"All fields -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Bioinformatics, biostatistics, and computational biology nec",All fields,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology","Bioinformatics, biostatistics, and computational biology nec",5,97,105
9478,r030,All fields -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy,All fields,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,,4,657,689
9478,r031,All fields -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy -> Cell/ cellular and molecular biology,All fields,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,Cell/ cellular and molecular biology,5,482,526
9478,r032,All fields -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy -> Developmental biology and embryology,All fields,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,Developmental biology and embryology,5,103,115
9478,r033,All fields -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy -> Cell/ cellular biology and anatomy nec,All fields,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,Cell/ cellular biology and anatomy nec,5,72,48
9478,r034,"All fields -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",All fields,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",,4,981,1120
9478,r035,"All fields -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Ecology",All fields,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Ecology,5,227,238
9478,r036,"All fields -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Ecology and evolutionary biology",All fields,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Ecology and evolutionary biology,5,243,270
9478,r037,"All fields -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Epidemiology",All fields,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Epidemiology,5,296,386
9478,r038,"All fields -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Epidemiology and biostatistics",All fields,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Epidemiology and biostatistics,5,54,45
9478,r039,"All fields -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Evolutionary biology",All fields,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",Evolutionary biology,5,68,83
9478,r040,"All fields -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology -> Ecology, evolutionary biology, and epidemiology nec",All fields,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology","Ecology, evolutionary biology, and epidemiology nec",5,93,98
9478,r041,All fields -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics,All fields,Science and engineering,Biological and biomedical sciences,Genetics and genomics,,4,398,436
9478,r042,"All fields -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Genetics, general",All fields,Science and engineering,Biological and biomedical sciences,Genetics and genomics,"Genetics, general",5,121,122
9478,r043,All fields -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Genome sciences and genomics,All fields,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Genome sciences and genomics,5,72,97
9478,r044,All fields -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Human/ medical genetics,All fields,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Human/ medical genetics,5,62,81
9478,r045,All fields -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Molecular genetics,All fields,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Molecular genetics,5,72,66
9478,r046,All fields -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics -> Genetics and genomics nec,All fields,Science and engineering,Biological and biomedical sciences,Genetics and genomics,Genetics and genomics nec,5,71,70
9478,r047,All fields -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology,All fields,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,,4,973,1089
9478,r048,All fields -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Immunology,All fields,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Immunology,5,304,343
9478,r049,All fields -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Microbiology and immunology,All fields,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Microbiology and immunology,5,215,266
9478,r050,"All fields -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Microbiology, general",All fields,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,"Microbiology, general",5,257,270
9478,r051,All fields -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Virology,All fields,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Virology,5,107,123
9478,r052,All fields -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology -> Microbiology and immunology nec,All fields,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,Microbiology and immunology nec,5,90,87
9478,r053,All fields -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences,All fields,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,,4,1014,1177
9478,r054,All fields -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Cognitive neuroscience,All fields,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Cognitive neuroscience,5,102,131
9478,r055,All fields -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Neurobiology,All fields,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Neurobiology,5,138,79
9478,r056,All fields -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Neuroscience,All fields,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Neuroscience,5,686,824
9478,r057,All fields -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences -> Neurobiology and neurosciences nec,All fields,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,Neurobiology and neurosciences nec,5,88,143
9478,r058,All fields -> Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology,All fields,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,,4,311,386
9478,r059,All fields -> Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology -> Pharmacology,All fields,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,Pharmacology,5,131,164
9478,r060,All fields -> Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology -> Toxicology,All fields,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,Toxicology,5,106,125
9478,r061,All fields -> Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology -> Pharmacology and toxicology nec,All fields,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,Pharmacology and toxicology nec,5,74,97
9478,r062,"All fields -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology",All fields,Science and engineering,Biological and biomedical sciences,"Physiology, oncology, and cancer biology",,4,713,768
9478,r063,"All fields -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology -> Biomechanics",All fields,Science and engineering,Biological and biomedical sciences,"Physiology, oncology, and cancer biology",Biomechanics,5,77,69
9478,r064,"All fields -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology -> Exercise physiology and kinesiology",All fields,Science and engineering,Biological and biomedical sciences,"Physiology, oncology, and cancer biology",Exercise physiology and kinesiology,5,76,96
9478,r065,"All fields -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology -> Oncology and cancer biology",All fields,Science and engineering,Biological and biomedical sciences,"Physiology, oncology, and cancer biology",Oncology and cancer biology,5,316,320
9478,r066,"All fields -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology -> Physiology, general",All fields,Science and engineering,Biological and biomedical sciences,"Physiology, oncology, and cancer biology","Physiology, general",5,75,99
9478,r067,"All fields -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology -> Physiology, oncology, and cancer biology nec",All fields,Science and engineering,Biological and biomedical sciences,"Physiology, oncology, and cancer biology","Physiology, oncology, and cancer biology nec",5,169,184
9478,r068,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other",All fields,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",,4,1295,1478
9478,r069,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Biology/ biological sciences, general",All fields,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other","Biology/ biological sciences, general",5,330,473
9478,r070,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Biomedical sciences, general",All fields,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other","Biomedical sciences, general",5,330,374
9478,r071,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Botany and plant biology",All fields,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Botany and plant biology,5,62,45
9478,r072,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Entomology",All fields,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Entomology,5,114,134
9478,r073,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Plant pathology and phytopathology",All fields,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Plant pathology and phytopathology,5,119,98
9478,r074,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Plant physiology and biology nec",All fields,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Plant physiology and biology nec,5,60,70
9478,r075,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Zoology and animal biology",All fields,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Zoology and animal biology,5,96,84
9478,r076,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other -> Biological and biomedical sciences nec",All fields,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",Biological and biomedical sciences nec,5,184,200
9478,r077,All fields -> Science and engineering -> Computer and information sciences,All fields,Science and engineering,Computer and information sciences,,,3,2194,2188
9478,r078,All fields -> Science and engineering -> Computer and information sciences -> Computer science,All fields,Science and engineering,Computer and information sciences,Computer science,,4,1545,1484
9478,r079,All fields -> Science and engineering -> Computer and information sciences -> Computer science -> Computer science,All fields,Science and engineering,Computer and information sciences,Computer science,Computer science,5,1545,1484
9478,r080,"All fields -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other",All fields,Science and engineering,Computer and information sciences,"Computer and information sciences, other",,4,649,704
9478,r081,"All fields -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Artificial intelligence",All fields,Science and engineering,Computer and information sciences,"Computer and information sciences, other",Artificial intelligence,5,167,205
9478,r082,"All fields -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Computer and information sciences, general",All fields,Science and engineering,Computer and information sciences,"Computer and information sciences, other","Computer and information sciences, general",5,109,130
9478,r083,"All fields -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Computer systems networking and telecommunications",All fields,Science and engineering,Computer and information sciences,"Computer and information sciences, other",Computer systems networking and telecommunications,5,113,116
9478,r084,"All fields -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Informatics and information technology",All fields,Science and engineering,Computer and information sciences,"Computer and information sciences, other",Informatics and information technology,5,88,94
9478,r085,"All fields -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Information sciences/ studies",All fields,Science and engineering,Computer and information sciences,"Computer and information sciences, other",Information sciences/ studies,5,103,92
9478,r086,"All fields -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other -> Computer and information sciences nec",All fields,Science and engineering,Computer and information sciences,"Computer and information sciences, other",Computer and information sciences nec,5,69,67
9478,r087,All fields -> Science and engineering -> Engineering,All fields,Science and engineering,Engineering,,,3,9579,10763
9478,r088,"All fields -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",All fields,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",,4,1071,1236
9478,r089,"All fields -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering -> Bioengineering and biomedical engineering",All fields,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",Bioengineering and biomedical engineering,5,978,1135
9478,r090,"All fields -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering -> Biological/ biosystems engineering and biomedical technology",All fields,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",Biological/ biosystems engineering and biomedical technology,5,93,101
9478,r091,All fields -> Science and engineering -> Engineering -> Chemical and petroleum engineering,All fields,Science and engineering,Engineering,Chemical and petroleum engineering,,4,1202,1255
9478,r092,All fields -> Science and engineering -> Engineering -> Chemical and petroleum engineering -> Chemical and biomolecular engineering,All fields,Science and engineering,Engineering,Chemical and petroleum engineering,Chemical and biomolecular engineering,5,189,205
9478,r093,All fields -> Science and engineering -> Engineering -> Chemical and petroleum engineering -> Chemical engineering,All fields,Science and engineering,Engineering,Chemical and petroleum engineering,Chemical engineering,5,801,885
9478,r094,All fields -> Science and engineering -> Engineering -> Chemical and petroleum engineering -> Petroleum engineering,All fields,Science and engineering,Engineering,Chemical and petroleum engineering,Petroleum engineering,5,132,102
9478,r095,All fields -> Science and engineering -> Engineering -> Chemical and petroleum engineering -> Chemical and petroleum engineering nec,All fields,Science and engineering,Engineering,Chemical and petroleum engineering,Chemical and petroleum engineering nec,5,80,63
9478,r096,"All fields -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering",All fields,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",,4,1012,1315
9478,r097,"All fields -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Civil engineering",All fields,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Civil engineering,5,571,330
9478,r098,"All fields -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Civil and environmental engineering ",All fields,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Civil and environmental engineering ,5,na,503
9478,r099,"All fields -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Environmental/ environmental health engineering",All fields,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Environmental/ environmental health engineering,5,93,65
9478,r100,"All fields -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Geotechnical and geoenvironmental engineering",All fields,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Geotechnical and geoenvironmental engineering,5,76,87
9478,r101,"All fields -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Structural engineering",All fields,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Structural engineering,5,127,130
9478,r102,"All fields -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Transportation and highway engineering",All fields,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",Transportation and highway engineering,5,76,112
9478,r103,"All fields -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering -> Civil, environmental, and transportation engineering nec",All fields,Science and engineering,Engineering,"Civil, environmental, and transportation engineering","Civil, environmental, and transportation engineering nec",5,69,88
9478,r104,All fields -> Science and engineering -> Engineering -> Electrical and computer engineering,All fields,Science and engineering,Engineering,Electrical and computer engineering,,4,2047,2132
9478,r105,All fields -> Science and engineering -> Engineering -> Electrical and computer engineering -> Computer engineering,All fields,Science and engineering,Engineering,Electrical and computer engineering,Computer engineering,5,264,263
9478,r106,All fields -> Science and engineering -> Engineering -> Electrical and computer engineering -> Electrical and computer engineering,All fields,Science and engineering,Engineering,Electrical and computer engineering,Electrical and computer engineering,5,1205,1357
9478,r107,All fields -> Science and engineering -> Engineering -> Electrical and computer engineering -> Electrical and electronics engineering,All fields,Science and engineering,Engineering,Electrical and computer engineering,Electrical and electronics engineering,5,512,438
9478,r108,All fields -> Science and engineering -> Engineering -> Electrical and computer engineering -> Electrical and computer engineering nec,All fields,Science and engineering,Engineering,Electrical and computer engineering,Electrical and computer engineering nec,5,66,74
9478,r109,All fields -> Science and engineering -> Engineering -> Engineering technologies,All fields,Science and engineering,Engineering,Engineering technologies,,4,452,361
9478,r110,All fields -> Science and engineering -> Engineering -> Engineering technologies -> Electrical and electronic engineering technologies,All fields,Science and engineering,Engineering,Engineering technologies,Electrical and electronic engineering technologies,5,80,55
9478,r111,All fields -> Science and engineering -> Engineering -> Engineering technologies -> Electromechanical technologies,All fields,Science and engineering,Engineering,Engineering technologies,Electromechanical technologies,5,59,90
9478,r112,All fields -> Science and engineering -> Engineering -> Engineering technologies -> Environmental control technologies,All fields,Science and engineering,Engineering,Engineering technologies,Environmental control technologies,5,148,58
9478,r113,All fields -> Science and engineering -> Engineering -> Engineering technologies -> Engineering technologies nec,All fields,Science and engineering,Engineering,Engineering technologies,Engineering technologies nec,5,165,158
9478,r114,All fields -> Science and engineering -> Engineering -> Industrial engineering and operations research,All fields,Science and engineering,Engineering,Industrial engineering and operations research,,4,604,655
9478,r115,All fields -> Science and engineering -> Engineering -> Industrial engineering and operations research -> Industrial engineering,All fields,Science and engineering,Engineering,Industrial engineering and operations research,Industrial engineering,5,325,211
9478,r116,All fields -> Science and engineering -> Engineering -> Industrial engineering and operations research -> Industrial and systems engineering,All fields,Science and engineering,Engineering,Industrial engineering and operations research,Industrial and systems engineering,5,na,127
9478,r117,All fields -> Science and engineering -> Engineering -> Industrial engineering and operations research -> Operations research,All fields,Science and engineering,Engineering,Industrial engineering and operations research,Operations research,5,160,183
9478,r118,All fields -> Science and engineering -> Engineering -> Industrial engineering and operations research -> Systems and manufacturing engineering,All fields,Science and engineering,Engineering,Industrial engineering and operations research,Systems and manufacturing engineering,5,119,134
9478,r119,All fields -> Science and engineering -> Engineering -> Materials and mining engineering,All fields,Science and engineering,Engineering,Materials and mining engineering,,4,670,925
9478,r120,All fields -> Science and engineering -> Engineering -> Materials and mining engineering -> Materials engineering,All fields,Science and engineering,Engineering,Materials and mining engineering,Materials engineering,5,193,85
9478,r121,All fields -> Science and engineering -> Engineering -> Materials and mining engineering -> Materials science and engineering,All fields,Science and engineering,Engineering,Materials and mining engineering,Materials science and engineering,5,429,783
9478,r122,All fields -> Science and engineering -> Engineering -> Materials and mining engineering -> Materials and mining engineering nec,All fields,Science and engineering,Engineering,Materials and mining engineering,Materials and mining engineering nec,5,48,57
9478,r123,All fields -> Science and engineering -> Engineering -> Mechanical engineering,All fields,Science and engineering,Engineering,Mechanical engineering,,4,1501,1545
9478,r124,"All fields -> Science and engineering -> Engineering -> Mechanical engineering -> Mechanical engineering, general",All fields,Science and engineering,Engineering,Mechanical engineering,"Mechanical engineering, general",5,1413,1440
9478,r125,All fields -> Science and engineering -> Engineering -> Mechanical engineering -> Mechanical engineering nec,All fields,Science and engineering,Engineering,Mechanical engineering,Mechanical engineering nec,5,88,105
9478,r126,"All fields -> Science and engineering -> Engineering -> Engineering, other",All fields,Science and engineering,Engineering,"Engineering, other",,4,1020,1339
9478,r127,"All fields -> Science and engineering -> Engineering -> Engineering, other -> Aerospace, aeronautical, astronautical, and space engineering",All fields,Science and engineering,Engineering,"Engineering, other","Aerospace, aeronautical, astronautical, and space engineering",5,372,374
9478,r128,"All fields -> Science and engineering -> Engineering -> Engineering, other -> Engineering mechanics, physics, and science",All fields,Science and engineering,Engineering,"Engineering, other","Engineering mechanics, physics, and science",5,111,166
9478,r129,"All fields -> Science and engineering -> Engineering -> Engineering, other -> Mechanical and aerospace engineering ",All fields,Science and engineering,Engineering,"Engineering, other",Mechanical and aerospace engineering ,5,na,213
9478,r130,"All fields -> Science and engineering -> Engineering -> Engineering, other -> Nanotechnology",All fields,Science and engineering,Engineering,"Engineering, other",Nanotechnology,5,60,54
9478,r131,"All fields -> Science and engineering -> Engineering -> Engineering, other -> Nuclear engineering",All fields,Science and engineering,Engineering,"Engineering, other",Nuclear engineering,5,155,163
9478,r132,"All fields -> Science and engineering -> Engineering -> Engineering, other -> Engineering nec",All fields,Science and engineering,Engineering,"Engineering, other",Engineering nec,5,322,369
9478,r133,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,,3,1044,1165
9478,r134,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,,4,613,658
9478,r135,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Geochemistry",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,Geochemistry,5,60,42
