table_id,row_id,field_sex_race_ethnicity_and_disability_status_full_path,field_sex_race_ethnicity_and_disability_status_level_1,field_sex_race_ethnicity_and_disability_status_level_2,field_sex_race_ethnicity_and_disability_status_level_3,field_sex_race_ethnicity_and_disability_status_level_4,field_sex_race_ethnicity_and_disability_status_hierarchy_depth,field_total,field_full_time_student,field_employed_in_s_e_or_s_e_related_occupationsa,field_employed_in_non_s_e_occupationsb,field_not_employed,field_median_salary_for_full_time_employedc_
3299,r001,All S&E and health fields,All S&E and health fields,,,,1,3606000,585000,1587000,1211000,224000,54000
3299,r002,All S&E and health fields -> Female,All S&E and health fields,Female,,,2,1993000,360000,781000,728000,124000,50000
3299,r003,All S&E and health fields -> Male,All S&E and health fields,Male,,,2,1613000,225000,805000,483000,100000,60000
3299,r004,All S&E and health fields -> White,All S&E and health fields,White,,,2,2221000,311000,1028000,760000,123000,55000
3299,r005,All S&E and health fields -> Asian,All S&E and health fields,Asian,,,2,390000,90000,174000,103000,23000,60000
3299,r006,All S&E and health fields -> Underrepresented minority<sup>d</sup>,All S&E and health fields,Underrepresented minority<sup>d</sup>,,,2,841000,154000,321000,308000,59000,50000
3299,r007,All S&E and health fields -> Without disability,All S&E and health fields,Without disability,,,2,3269000,537000,1469000,1094000,169000,54000
3299,r008,All S&E and health fields -> With disability,All S&E and health fields,With disability,,,2,338000,48000,118000,117000,56000,51000
3299,r009,All S&E and health fields -> Science,All S&E and health fields,Science,,,2,2275000,429000,710000,957000,179000,48000
3299,r010,All S&E and health fields -> Science -> Female,All S&E and health fields,Science,Female,,3,1222000,256000,280000,585000,100000,42000
3299,r011,All S&E and health fields -> Science -> Male,All S&E and health fields,Science,Male,,3,1053000,173000,429000,372000,79000,54000
3299,r012,All S&E and health fields -> Science -> White,All S&E and health fields,Science,White,,3,1387000,225000,430000,624000,108000,48000
3299,r013,All S&E and health fields -> Science -> Asian,All S&E and health fields,Science,Asian,,3,243000,59000,102000,66000,16000,55000
3299,r014,All S&E and health fields -> Science -> Underrepresented minority<sup>d</sup>,All S&E and health fields,Science,Underrepresented minority<sup>d</sup>,,3,538000,120000,145000,234000,40000,42000
3299,r015,All S&E and health fields -> Science -> Without disability,All S&E and health fields,Science,Without disability,,3,2025000,393000,644000,853000,135000,48000
3299,r016,All S&E and health fields -> Science -> With disability,All S&E and health fields,Science,With disability,,3,250000,35000,66000,105000,44000,49000
3299,r017,All S&E and health fields -> Science -> Biological/ life sciences,All S&E and health fields,Science,Biological/ life sciences,,3,659000,175000,200000,226000,58000,43000
3299,r018,All S&E and health fields -> Science -> Biological/ life sciences -> Female,All S&E and health fields,Science,Biological/ life sciences,Female,4,343000,100000,89000,116000,38000,39000
3299,r019,All S&E and health fields -> Science -> Biological/ life sciences -> Male,All S&E and health fields,Science,Biological/ life sciences,Male,4,316000,75000,111000,110000,20000,47000
3299,r020,All S&E and health fields -> Science -> Biological/ life sciences -> White,All S&E and health fields,Science,Biological/ life sciences,White,4,413000,90000,113000,178000,31000,43000
3299,r021,All S&E and health fields -> Science -> Biological/ life sciences -> Asian,All S&E and health fields,Science,Biological/ life sciences,Asian,4,81000,28000,34000,12000,7000,42000
3299,r022,All S&E and health fields -> Science -> Biological/ life sciences -> Underrepresented minority<sup>d</sup>,All S&E and health fields,Science,Biological/ life sciences,Underrepresented minority<sup>d</sup>,4,126000,44000,44000,27000,S,38000
3299,r023,All S&E and health fields -> Science -> Biological/ life sciences -> Without disability,All S&E and health fields,Science,Biological/ life sciences,Without disability,4,599000,164000,189000,202000,44000,42000
3299,r024,All S&E and health fields -> Science -> Biological/ life sciences -> With disability,All S&E and health fields,Science,Biological/ life sciences,With disability,4,60000,S,11000,24000,S,42000
3299,r025,All S&E and health fields -> Science -> Computer and information sciences,All S&E and health fields,Science,Computer and information sciences,,3,325000,13000,237000,52000,23000,68000
3299,r026,All S&E and health fields -> Science -> Computer and information sciences -> Female,All S&E and health fields,Science,Computer and information sciences,Female,4,76000,4000,57000,11000,4000,57000
3299,r027,All S&E and health fields -> Science -> Computer and information sciences -> Male,All S&E and health fields,Science,Computer and information sciences,Male,4,250000,S,181000,41000,19000,70000
3299,r028,All S&E and health fields -> Science -> Computer and information sciences -> White,All S&E and health fields,Science,Computer and information sciences,White,4,185000,S,128000,33000,16000,67000
3299,r029,All S&E and health fields -> Science -> Computer and information sciences -> Asian,All S&E and health fields,Science,Computer and information sciences,Asian,4,49000,4000,42000,2000,,78000
3299,r030,All S&E and health fields -> Science -> Computer and information sciences -> Underrepresented minority<sup>d</sup>,All S&E and health fields,Science,Computer and information sciences,Underrepresented minority<sup>d</sup>,4,75000,,55000,13000,S,50000
3299,r031,All S&E and health fields -> Science -> Computer and information sciences -> Without disability,All S&E and health fields,Science,Computer and information sciences,Without disability,4,287000,13000,207000,50000,17000,70000
3299,r032,All S&E and health fields -> Science -> Computer and information sciences -> With disability,All S&E and health fields,Science,Computer and information sciences,With disability,4,38000,,30000,S,S,65000
3299,r033,All S&E and health fields -> Science -> Mathematical sciences,All S&E and health fields,Science,Mathematical sciences,,3,93000,12000,45000,30000,S,55000
3299,r034,All S&E and health fields -> Science -> Mathematical sciences -> Female,All S&E and health fields,Science,Mathematical sciences,Female,4,50000,5000,26000,18000,S,55000
3299,r035,All S&E and health fields -> Science -> Mathematical sciences -> Male,All S&E and health fields,Science,Mathematical sciences,Male,4,43000,S,19000,S,S,55000
3299,r036,All S&E and health fields -> Science -> Mathematical sciences -> White,All S&E and health fields,Science,Mathematical sciences,White,4,59000,5000,32000,S,,55000
3299,r037,All S&E and health fields -> Science -> Mathematical sciences -> Asian,All S&E and health fields,Science,Mathematical sciences,Asian,4,17000,S,5000,5000,S,75000
3299,r038,All S&E and health fields -> Science -> Mathematical sciences -> Underrepresented minority<sup>d</sup>,All S&E and health fields,Science,Mathematical sciences,Underrepresented minority<sup>d</sup>,4,15000,S,6000,6000,,52000
3299,r039,All S&E and health fields -> Science -> Mathematical sciences -> Without disability,All S&E and health fields,Science,Mathematical sciences,Without disability,4,88000,11000,42000,29000,S,55000
3299,r040,All S&E and health fields -> Science -> Mathematical sciences -> With disability,All S&E and health fields,Science,Mathematical sciences,With disability,4,5000,,S,,,S
