table_id,row_id,carnegie_classification_and_institutional_control_full_path,carnegie_classification_and_institutional_control_level_1,carnegie_classification_and_institutional_control_level_2,carnegie_classification_and_institutional_control_level_3,carnegie_classification_and_institutional_control_hierarchy_depth,field_all_doctorate_recipients,field_fellowship_or_traineeship,field_grant,field_teaching_assistantship,field_research_assistantship,field_personal,field_other,field_unknown
1552,r001,All institutions (number)<sup>a</sup>,All institutions (number)<sup>a</sup>,,,1,41909,9332,594,7226,14176,4088,1626,4867
1552,r002,All institutions (number)<sup>a</sup> -> Doctoral: Highest research activity,All institutions (number)<sup>a</sup>,Doctoral: Highest research activity,,2,100.0,23.8,1.4,17.9,36.4,6.5,3.4,10.6
1552,r003,All institutions (number)<sup>a</sup> -> Doctoral: Highest research activity -> Public institutions,All institutions (number)<sup>a</sup>,Doctoral: Highest research activity,Public institutions,3,100.0,18.3,1.0,20.8,39.5,7.3,3.6,9.4
1552,r004,All institutions (number)<sup>a</sup> -> Doctoral: Highest research activity -> Private nonprofit institutions,All institutions (number)<sup>a</sup>,Doctoral: Highest research activity,Private nonprofit institutions,3,100.0,38.5,2.4,9.9,28.2,4.3,2.8,14.0
1552,r005,All institutions (number)<sup>a</sup> -> Doctoral: Higher research activity,All institutions (number)<sup>a</sup>,Doctoral: Higher research activity,,2,100.0,14.5,1.2,21.2,30.2,14.6,5.2,13.0
1552,r006,All institutions (number)<sup>a</sup> -> Doctoral: Higher research activity -> Public institutions,All institutions (number)<sup>a</sup>,Doctoral: Higher research activity,Public institutions,3,100.0,12.4,1.3,23.5,32.2,13.2,5.3,12.1
1552,r007,All institutions (number)<sup>a</sup> -> Doctoral: Higher research activity -> Private nonprofit institutions,All institutions (number)<sup>a</sup>,Doctoral: Higher research activity,Private nonprofit institutions,3,100.0,20.2,1.0,15.4,24.9,18.3,4.8,15.3
1552,r008,All institutions (number)<sup>a</sup> -> Doctoral: Moderate research activity,All institutions (number)<sup>a</sup>,Doctoral: Moderate research activity,,2,100.0,9.2,s,7.8,8.7,47.5,s,19.6
1552,r009,All institutions (number)<sup>a</sup> -> Doctoral: Moderate research activity -> Public institutions,All institutions (number)<sup>a</sup>,Doctoral: Moderate research activity,Public institutions,3,100.0,s,0.0,s,s,s,9.6,15.1
1552,r010,All institutions (number)<sup>a</sup> -> Doctoral: Moderate research activity -> Private nonprofit institutions,All institutions (number)<sup>a</sup>,Doctoral: Moderate research activity,Private nonprofit institutions,3,100.0,11.0,s,7.8,8.0,35.2,s,34.6
1552,r011,All institutions (number)<sup>a</sup> -> Doctoral: Moderate research activity -> Private for-profit institutions,All institutions (number)<sup>a</sup>,Doctoral: Moderate research activity,Private for-profit institutions,3,100.0,s,0.0,s,s,s,8.0,9.9
1552,r012,All institutions (number)<sup>a</sup> -> Medical schools and medical centers,All institutions (number)<sup>a</sup>,Medical schools and medical centers,,2,100.0,39.1,3.9,1.9,27.4,14.3,4.6,8.6
1552,r013,All institutions (number)<sup>a</sup> -> Medical schools and medical centers -> Public institutions,All institutions (number)<sup>a</sup>,Medical schools and medical centers,Public institutions,3,100.0,36.9,3.1,2.7,34.0,12.0,5.0,6.2
1552,r014,All institutions (number)<sup>a</sup> -> Medical schools and medical centers -> Private nonprofit institutions,All institutions (number)<sup>a</sup>,Medical schools and medical centers,Private nonprofit institutions,3,100.0,44.3,5.8,0.0,12.0,19.8,3.8,14.3
1552,r015,All institutions (number)<sup>a</sup> -> Other or not classified,All institutions (number)<sup>a</sup>,Other or not classified,,2,100.0,20.9,s,2.6,15.3,24.1,s,28.8
1552,r016,All institutions (number)<sup>a</sup> -> Other or not classified -> Public institutions,All institutions (number)<sup>a</sup>,Other or not classified,Public institutions,3,100.0,s,2.5,s,s,s,10.2,20.0
1552,r017,All institutions (number)<sup>a</sup> -> Other or not classified -> Private nonprofit institutions,All institutions (number)<sup>a</sup>,Other or not classified,Private nonprofit institutions,3,100.0,13.0,s,2.0,5.0,33.5,s,40.8
1552,r018,All institutions (number)<sup>a</sup> -> Other or not classified -> Private for-profit institutions,All institutions (number)<sup>a</sup>,Other or not classified,Private for-profit institutions,3,100.0,s,0.0,0.0,0.0,s,0.0,58.3
