table_id,row_id,teaching_field_and_selected_school_characteristic_full_path,teaching_field_and_selected_school_characteristic_level_1,teaching_field_and_selected_school_characteristic_level_2,teaching_field_and_selected_school_characteristic_level_3,teaching_field_and_selected_school_characteristic_level_4,teaching_field_and_selected_school_characteristic_hierarchy_depth,field_in_fielda,field_related_fieldb,field_general_educationc,field_otherd
4108,r001,Public middle school,Public middle school,,,,1,,,,
4108,r002,Public middle school -> Mathematics,Public middle school,Mathematics,,,2,69,2,24,5
4108,r003,Public middle school -> Mathematics -> Minority enrollment (percent),Public middle school,Mathematics,Minority enrollment (percent),,3,,,,
4108,r004,Public middle school -> Mathematics -> Minority enrollment (percent) -> 0&#8211;24,Public middle school,Mathematics,Minority enrollment (percent),0&#8211;24,4,75,3,20,2
4108,r005,Public middle school -> Mathematics -> Minority enrollment (percent) -> 25&#8211;49,Public middle school,Mathematics,Minority enrollment (percent),25&#8211;49,4,75,s,20,4
4108,r006,Public middle school -> Mathematics -> Minority enrollment (percent) -> 50&#8211;74,Public middle school,Mathematics,Minority enrollment (percent),50&#8211;74,4,63,s,30,6
4108,r007,Public middle school -> Mathematics -> Minority enrollment (percent) -> 75 or more,Public middle school,Mathematics,Minority enrollment (percent),75 or more,4,61,2,29,8
4108,r008,Public middle school -> Mathematics -> School poverty level (percent)<sup>e</sup>,Public middle school,Mathematics,School poverty level (percent)<sup>e</sup>,,3,,,,
4108,r009,Public middle school -> Mathematics -> School poverty level (percent)<sup>e</sup> -> 0&#8211;34,Public middle school,Mathematics,School poverty level (percent)<sup>e</sup>,0&#8211;34,4,76,2,20,3
4108,r010,Public middle school -> Mathematics -> School poverty level (percent)<sup>e</sup> -> 35&#8211;49,Public middle school,Mathematics,School poverty level (percent)<sup>e</sup>,35&#8211;49,4,73,s,19,7
4108,r011,Public middle school -> Mathematics -> School poverty level (percent)<sup>e</sup> -> 50&#8211;74,Public middle school,Mathematics,School poverty level (percent)<sup>e</sup>,50&#8211;74,4,67,2,27,3
4108,r012,Public middle school -> Mathematics -> School poverty level (percent)<sup>e</sup> -> 75 or more,Public middle school,Mathematics,School poverty level (percent)<sup>e</sup>,75 or more,4,62,2,28,7
4108,r013,Public middle school -> Mathematics -> Community type ,Public middle school,Mathematics,Community type ,,3,,,,
4108,r014,Public middle school -> Mathematics -> Community type  -> City,Public middle school,Mathematics,Community type ,City,4,67,1,26,6
4108,r015,Public middle school -> Mathematics -> Community type  -> Suburban,Public middle school,Mathematics,Community type ,Suburban,4,71,2,22,5
4108,r016,Public middle school -> Mathematics -> Community type  -> Town,Public middle school,Mathematics,Community type ,Town,4,68,2,26,5
4108,r017,Public middle school -> Mathematics -> Community type  -> Rural,Public middle school,Mathematics,Community type ,Rural,4,72,s,25,s
4108,r018,Public middle school -> Mathematics -> Region,Public middle school,Mathematics,Region,,3,,,,
4108,r019,Public middle school -> Mathematics -> Region -> Northeast,Public middle school,Mathematics,Region,Northeast,4,75,3,15,7
4108,r020,Public middle school -> Mathematics -> Region -> Midwest,Public middle school,Mathematics,Region,Midwest,4,72,3,22,s
4108,r021,Public middle school -> Mathematics -> Region -> South,Public middle school,Mathematics,Region,South,4,65,s,29,5
4108,r022,Public middle school -> Mathematics -> Region -> West,Public middle school,Mathematics,Region,West,4,71,2,23,4
4108,r023,Public middle school -> Science,Public middle school,Science,,,2,76,na,20,4
4108,r024,Public middle school -> Science -> Minority enrollment (percent),Public middle school,Science,Minority enrollment (percent),,3,,,,
4108,r025,Public middle school -> Science -> Minority enrollment (percent) -> 0&#8211;24,Public middle school,Science,Minority enrollment (percent),0&#8211;24,4,77,na,19,4
