table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other_fields_of_s_e
12845,r001,All institutions,All institutions,,1,-,"['240,156', '']","['31,502', '']","['61,176', '']","['4,987', '']","['42,041', '']","['9,201', '']","['39,984', '']","['1,879', '']","['5,126', '']","['24,735', '']","['6,060', '']","['6,654', '']","['6,812', '']"
12845,r002,All institutions -> U. Georgia,All institutions,U. Georgia,2,1,"['3,978', '']","['1,987', '']","['396', '']","['3', '']","['187', '']","['232', '']","['418', '']","['*', '']","['305', '']","['98', '']","['41', '']","['15', '']","['297', '']"
12845,r003,All institutions -> U. Florida,All institutions,U. Florida,2,2,"['3,884', '']","['1,586', '']","['572', '']","['21', '']","['432', '']","['23', '']","['558', '']","['5', '']","['97', '']","['217', '']","['36', '']","['44', '']","['294', '']"
12845,r004,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,3,"['3,765', '']","['1,395', '']","['531', '']","['15', '']","['311', '']","['165', '']","['781', '']","['48', '']","['109', '']","['202', '']","['113', '']","['95', '']","['*', '']"
12845,r005,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,4,"['3,704', '']","['0', '']","['684', '']","['199', '']","['1,362', '']","['33', '']","['600', '']","['22', '']","['0', '']","['404', '']","['90', '']","['68', '']","['242', '']"
12845,r006,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,5,"['3,312', '']","['974', '']","['432', '']","['148', '']","['656', '']","['20', '']","['47', '']","['6', '']","['379', '']","['202', '']","['73', '']","['24', '']","['352', '']"
12845,r007,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,6,"['3,293', '']","['790', '']","['620', '']","['5', '']","['983', '']","['119', '']","['163', '']","['30', '']","['35', '']","['295', '']","['85', '']","['85', '']","['84', '']"
12845,r008,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,7,"['3,244', '']","['911', '']","['964', '']","['*', '']","['350', '']","['30', '']","['402', '']","['15', '']","['103', '']","['174', '']","['37', '']","['70', '']","['187', '']"
12845,r009,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,8,"['3,240', '']","['413', '']","['903', '']","['31', '']","['451', '']","['108', '']","['636', '']","['7', '']","['35', '']","['340', '']","['146', '']","['106', '']","['63', '']"
12845,r010,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,9,"['3,079', '']","['1,114', '']","['661', '']","['24', '']","['409', '']","['62', '']","['567', '']","['3', '']","['55', '']","['102', '']","['48', '']","['33', '']","['0', '']"
12845,r011,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,10,"['2,877', '']","['0', '']","['406', '']","['31', '']","['264', '']","['124', '']","['1,216', '']","['40', '']","['19', '']","['322', '']","['81', '']","['148', '']","['226', '']"
12845,r012,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,11,"['2,764', '']","['1,202', '']","['450', '']","['39', '']","['688', '']","['61', '']","['8', '']","['63', '']","['43', '']","['148', '']","['13', '']","['39', '']","['11', '']"
12845,r013,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,12,"['2,708', '']","['74', '']","['722', '']","['80', '']","['612', '']","['72', '']","['58', '']","['36', '']","['288', '']","['387', '']","['44', '']","['219', '']","['117', '']"
12845,r014,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,13,"['2,704', '']","['0', '']","['99', '']","['72', '']","['2,314', '']","['19', '']","['25', '']","['0', '']","['0', '']","['113', '']","['24', '']","['5', '']","['31', '']"
12845,r015,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,14,"['2,659', '']","['0', '']","['344', '']","['0', '']","['539', '']","['348', '']","['734', '']","['26', '']","['0', '']","['269', '']","['54', '']","['117', '']","['229', '']"
12845,r016,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,15,"['2,620', '']","['907', '']","['528', '']","['23', '']","['221', '']","['24', '']","['127', '']","['14', '']","['99', '']","['426', '']","['48', '']","['74', '']","['128', '']"
12845,r017,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,16,"['2,611', '']","['386', '']","['570', '']","['22', '']","['738', '']","['64', '']","['369', '']","['20', '']","['108', '']","['226', '']","['41', '']","['66', '']","['0', '']"
12845,r018,All institutions -> Yale U.,All institutions,Yale U.,2,17,"['2,590', '']","['0', '']","['777', '']","['34', '']","['116', '']","['41', '']","['1,051', '']","['18', '']","['48', '']","['241', '']","['41', '']","['179', '']","['44', '']"
12845,r019,All institutions -> Harvard U.,All institutions,Harvard U.,2,18,"['2,548', '']","['32', '']","['1,171', '']","['40', '']","['209', '']","['145', '']","['66', '']","['69', '']","['0', '']","['400', '']","['61', '']","['306', '']","['51', '']"
12845,r020,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,19,"['2,479', '']","['0', '']","['403', '']","['19', '']","['385', '']","['24', '']","['877', '']","['22', '']","['9', '']","['277', '']","['43', '']","['153', '']","['268', '']"
12845,r021,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,20,"['2,477', '']","['764', '']","['657', '']","['9', '']","['313', '']","['98', '']","['489', '']","['5', '']","['16', '']","['86', '']","['21', '']","['20', '']","['0', '']"
12845,r022,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,21,"['2,355', '']","['786', '']","['216', '']","['40', '']","['752', '']","['31', '']","['173', '']","['8', '']","['30', '']","['258', '']","['41', '']","['20', '']","['0', '']"
12845,r023,"All institutions -> U. Nebraska, Lincoln and Medical Center",All institutions,"U. Nebraska, Lincoln and Medical Center",2,22,"['2,283', '']","['893', '']","['526', '']","['14', '']","['143', '']","['9', '']","['461', '']","['0', '']","['47', '']","['95', '']","['13', '']","['61', '']","['21', '']"
12845,r024,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,23,"['2,251', '']","['1,117', '']","['101', '']","['11', '']","['547', '']","['28', '']","['219', '']","['12', '']","['26', '']","['90', '']","['23', '']","['78', '']","['0', '']"
12845,r025,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,24,"['2,246', '']","['0', '']","['404', '']","['68', '']","['373', '']","['145', '']","['883', '']","['0', '']","['103', '']","['191', '']","['25', '']","['32', '']","['23', '']"
12845,r026,All institutions -> Washington State U.,All institutions,Washington State U.,2,25,"['2,174', '']","['928', '']","['374', '']","['21', '']","['239', '']","['24', '']","['337', '']","['6', '']","['22', '']","['150', '']","['40', '']","['32', '']","['0', '']"
