table_id,row_id,_b_field_and_demographic_characteristic_b_full_path,_b_field_and_demographic_characteristic_b_level_1,_b_field_and_demographic_characteristic_b_level_2,_b_field_and_demographic_characteristic_b_level_3,_b_field_and_demographic_characteristic_b_level_4,_b_field_and_demographic_characteristic_b_level_5,_b_field_and_demographic_characteristic_b_hierarchy_depth,field_median_age_at_doctorate_years_,field_all_ages,field_25_and_under,field_26_30,field_31_35,field_36_40,field_41_45,field_over_45
11678,r001,Doctorate recipients reporting birth year,Doctorate recipients reporting birth year,,,,,1,31.4,100.0,0.7,45.3,31.1,11.4,5.1,6.4
11678,r002,Doctorate recipients reporting birth year -> Science and engineering ,Doctorate recipients reporting birth year,Science and engineering ,,,,2,30.7,100.0,0.9,52.3,30.6,9.1,3.3,3.8
11678,r003,Doctorate recipients reporting birth year -> Science and engineering  -> Agricultural sciences and natural resources,Doctorate recipients reporting birth year,Science and engineering ,Agricultural sciences and natural resources,,,3,31.9,100.0,0.5,41.0,36.0,12.8,5.3,4.4
11678,r004,Doctorate recipients reporting birth year -> Science and engineering  -> Biological and biomedical sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Biological and biomedical sciences  ,,,3,30.4,100.0,0.7,56.3,32.4,7.1,2.1,1.4
11678,r005,Doctorate recipients reporting birth year -> Science and engineering  -> Computer and information sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Computer and information sciences  ,,,3,30.8,100.0,1.1,51.0,30.9,9.0,3.2,4.7
11678,r006,Doctorate recipients reporting birth year -> Science and engineering  -> Engineering  ,Doctorate recipients reporting birth year,Science and engineering ,Engineering  ,,,3,30.1,100.0,1.2,59.1,28.7,7.1,2.0,1.9
11678,r007,"Doctorate recipients reporting birth year -> Science and engineering  -> Geosciences, atmospheric, and ocean sciences  ",Doctorate recipients reporting birth year,Science and engineering ,"Geosciences, atmospheric, and ocean sciences  ",,,3,30.8,100.0,0.8,50.0,32.0,10.5,2.9,3.7
11678,r008,Doctorate recipients reporting birth year -> Science and engineering  -> Health sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Health sciences  ,,,3,34.8,100.0,0.7,26.0,29.0,16.4,9.2,18.6
11678,r009,Doctorate recipients reporting birth year -> Science and engineering  -> Mathematics and statistics  ,Doctorate recipients reporting birth year,Science and engineering ,Mathematics and statistics  ,,,3,29.2,100.0,2.1,66.9,23.3,4.8,1.7,1.2
11678,r010,Doctorate recipients reporting birth year -> Science and engineering  -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting birth year,Science and engineering ,Multidisciplinary/ interdisciplinary sciences,,,3,31.1,100.0,0.5,48.5,31.1,10.3,4.4,5.2
11678,r011,Doctorate recipients reporting birth year -> Science and engineering  -> Physical sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Physical sciences  ,,,3,29.3,100.0,1.2,70.3,21.4,4.9,1.6,0.6
