table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
8015,r001,United States,United States,,,,1,"['89,723,447', '']","['2,951,923', '']","['3,295,883', '']","['52,364,596', '']","['772,935', '']","['5,740,630', '']","['1,326,030', '']","['2,842,033', '']","['1,022,500', '']","['14,293,487', '']","['5,113,430', '']"
8015,r002,United States -> Public,United States,Public,,,2,"['58,667,378', '']","['1,745,125', '']","['2,603,049', '']","['32,705,100', '']","['456,440', '']","['3,554,573', '']","['990,639', '']","['1,910,306', '']","['825,708', '']","['10,119,360', '']","['3,757,078', '']"
8015,r003,United States -> Private,United States,Private,,,2,"['31,056,069', '']","['1,206,798', '']","['692,834', '']","['19,659,496', '']","['316,495', '']","['2,186,057', '']","['335,391', '']","['931,727', '']","['196,792', '']","['4,174,127', '']","['1,356,352', '']"
8015,r004,United States -> Alabama,United States,Alabama,,,2,"['1,272,489', '']","['72,739', '']","['31,203', '']","['747,632', '']","['7,120', '']","['50,685', '']","['15,182', '']","['23,557', '']","['2,093', '']","['237,714', '']","['84,564', '']"
8015,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['1,251,134', '']","['72,276', '']","['31,203', '']","['739,496', '']","['5,974', '']","['50,516', '']","['15,182', '']","['17,729', '']","['2,008', '']","['232,186', '']","['84,564', '']"
8015,r006,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['9,065', 'i']","['307', 'i']","['0', 'i']","['5,357', 'i']","['74', 'i']","['627', 'i']","['171', 'i']","['283', 'i']","['0', 'i']","['1,714', 'i']","['532', 'i']"
8015,r007,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['2,631', '']","['0', '']","['0', '']","['2,265', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['366', '']","['0', '']"
8015,r008,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['266,374', '']","['5,127', '']","['4,008', '']","['111,491', '']","['3,471', '']","['15,214', '']","['3,137', '']","['6,228', '']","['1,998', '']","['78,720', '']","['36,980', '']"
8015,r009,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['275', '']","['0', '']","['0', '']","['61', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['6', '']","['208', '']"
8015,r010,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['1,548', '']","['0', '']","['31', '']","['250', '']","['0', '']","['1,102', '']","['1', '']","['10', '']","['0', '']","['0', '']","['154', '']"
8015,r011,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['644,330', '']","['1,356', '']","['436', '']","['571,525', '']","['383', '']","['9,885', '']","['5,695', '']","['317', '']","['10', '']","['46,844', '']","['7,879', '']"
8015,r012,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['149,792', '']","['48,967', '']","['17,960', '']","['2,620', '']","['709', '']","['15,071', '']","['233', '']","['820', '']","['0', '']","['55,510', '']","['7,902', '']"
8015,r013,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['129,509', '']","['12,797', '']","['4,302', '']","['14,565', '']","['1,174', '']","['7,991', '']","['5,384', '']","['9,556', '']","['0', '']","['43,941', '']","['29,799', '']"
8015,r014,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['47,610', '']","['3,722', '']","['4,466', '']","['31,362', '']","['163', '']","['626', '']","['561', '']","['515', '']","['0', '']","['5,085', '']","['1,110', '']"
8015,r015,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['21,355', '']","['463', '']","['0', '']","['8,136', '']","['1,146', '']","['169', '']","['0', '']","['5,828', '']","['85', '']","['5,528', '']","['0', '']"
8015,r016,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['21,355', '']","['463', '']","['0', '']","['8,136', '']","['1,146', '']","['169', '']","['0', '']","['5,828', '']","['85', '']","['5,528', '']","['0', '']"
8015,r017,United States -> Alaska,United States,Alaska,,,2,"['196,501', '']","['1,282', '']","['102,679', '']","['46,675', '']","['191', '']","['17,668', '']","['277', '']","['4,277', '']","['1,682', '']","['18,992', '']","['2,778', '']"
8015,r018,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['195,465', '']","['1,282', '']","['101,674', '']","['46,646', '']","['191', '']","['17,668', '']","['277', '']","['4,277', '']","['1,682', '']","['18,992', '']","['2,776', '']"
