table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_level_4,demographic_characteristic_hierarchy_depth,field_all_fields_master_s,field_all_fields_related_master_s,field_life_sciencesa_master_s,field_life_sciencesa_related_master_s,field_physical_sciences_and_earth_sciences_master_s,field_physical_sciences_and_earth_sciences_related_master_s,field_mathematics_and_computer_sciences_master_s,field_mathematics_and_computer_sciences_related_master_s,field_psychology_and_social_sciences_master_s,field_psychology_and_social_sciences_related_master_s,field_engineering_master_s,field_engineering_related_master_s,field_education_master_s,field_education_related_master_s,field_humanities_and_arts_master_s,field_humanities_and_arts_related_master_s,field_otherb_master_s,field_otherb_related_master_s
1763,r001,All doctorate recipients,All doctorate recipients,,,,1,69.6,54.7,50.8,33.9,53.7,45.4,72.4,61.6,82.6,65.1,71.2,65.0,88.8,57.8,84.2,67.7,79.8,59.9
1763,r002,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,2,,,,,,,,,,,,,,,,,,
1763,r003,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,3,68.6,55.5,48.5,31.8,55.3,46.9,71.5,61.2,82.0,64.2,72.3,66.2,87.8,54.8,83.8,69.4,79.7,59.0
1763,r004,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,3,70.9,53.7,52.6,35.6,50.4,42.4,75.2,63.3,83.1,65.8,68.0,61.3,89.3,59.2,84.7,66.1,80.2,60.8
1763,r005,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,2,,,,,,,,,,,,,,,,,,
1763,r006,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,,3,70.6,54.7,46.9,31.8,50.4,43.8,75.1,64.6,86.1,68.0,68.0,62.4,92.5,60.2,88.6,71.8,85.6,64.5
1763,r007,All doctorate recipients -> Citizenship status -> Temporary visa holder,All doctorate recipients,Citizenship status,Temporary visa holder,,3,75.4,60.6,66.4,43.0,62.7,51.2,74.8,63.3,87.9,68.7,77.9,70.9,88.3,58.1,85.6,65.3,84.9,63.2
1763,r008,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,
1763,r009,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,71.3,55.4,44.2,30.5,54.8,45.7,79.8,70.2,84.1,67.3,68.6,63.9,94.4,58.3,87.4,71.6,88.9,71.6
1763,r010,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,
1763,r011,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,77.4,55.7,85.7,71.4,,,,,79.4,52.9,62.5,,87.0,56.5,91.7,75.0,,
1763,r012,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,67.4,53.6,47.0,32.6,55.1,43.5,76.2,62.8,84.6,68.9,72.4,67.7,91.7,57.6,87.2,70.9,80.2,62.3
1763,r013,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,81.2,53.0,63.7,40.5,48.5,37.9,75.0,60.9,90.8,56.9,71.9,61.7,94.2,56.8,87.3,54.6,88.7,63.5
1763,r014,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,70.8,55.8,46.1,31.3,50.1,44.4,76.0,66.0,87.2,70.2,67.8,62.0,93.1,62.2,90.3,74.6,87.1,66.0
1763,r015,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,72.7,55.5,43.5,30.9,52.5,45.5,77.6,70.7,91.3,73.1,66.7,60.5,97.4,59.0,94.6,70.5,89.4,55.3
1763,r016,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,61.5,46.1,43.3,26.9,,,,,69.7,55.3,55.9,,96.4,60.7,82.8,55.2,,
1763,r017,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,27.2,20.9,20.6,13.1,20.4,16.3,21.2,18.2,27.6,22.4,38.2,36.8,36.7,25.0,18.9,10.8,42.4,33.3
